,Median value (dollars),Total homes
"Rensselaer County, New York: Summary level: 050, state:36> county:083",187100,73266
"Chautauqua County, New York: Summary level: 050, state:36> county:013",86700,67661
"Clinton County, New York: Summary level: 050, state:36> county:019",135500,36732
"New York County, New York: Summary level: 050, state:36> county:061",1013400,886282
"Saratoga County, New York: Summary level: 050, state:36> county:091",267200,107379
"Tompkins County, New York: Summary level: 050, state:36> county:109",215800,43883
"Oneida County, New York: Summary level: 050, state:36> county:065",135100,105447
"Oswego County, New York: Summary level: 050, state:36> county:075",111400,54624
"Nassau County, New York: Summary level: 050, state:36> county:059",517500,473454
"Orange County, New York: Summary level: 050, state:36> county:071",282200,144234
"Rockland County, New York: Summary level: 050, state:36> county:087",454500,106723
"Ontario County, New York: Summary level: 050, state:36> county:069",166200,51224
"Chemung County, New York: Summary level: 050, state:36> county:015",105300,38924
"Jefferson County, New York: Summary level: 050, state:36> county:045",145600,60041
"Erie County, New York: Summary level: 050, state:36> county:029",160200,429704
"Ulster County, New York: Summary level: 050, state:36> county:111",243700,85431
"Westchester County, New York: Summary level: 050, state:36> county:119",560800,375864
"Warren County, New York: Summary level: 050, state:36> county:113",195200,40207
"Niagara County, New York: Summary level: 050, state:36> county:063",132700,100617
"Putnam County, New York: Summary level: 050, state:36> county:079",354800,38679
"Livingston County, New York: Summary level: 050, state:36> county:051",134900,27616
"Suffolk County, New York: Summary level: 050, state:36> county:103",409400,576845
"Cayuga County, New York: Summary level: 050, state:36> county:011",137500,37162
"Kings County, New York: Summary level: 050, state:36> county:047",759400,1053667
"Onondaga County, New York: Summary level: 050, state:36> county:067",148800,209344
"Albany County, New York: Summary level: 050, state:36> county:001",224300,142306
"Madison County, New York: Summary level: 050, state:36> county:053",133800,32391
"Queens County, New York: Summary level: 050, state:36> county:081",577400,865809
"Wayne County, New York: Summary level: 050, state:36> county:117",130600,41788
"Bronx County, New York: Summary level: 050, state:36> county:005",436100,532509
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",98400,53374
"Richmond County, New York: Summary level: 050, state:36> county:085",556000,181186
"Schenectady County, New York: Summary level: 050, state:36> county:093",174200,69948
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",86200,41648
"Monroe County, New York: Summary level: 050, state:36> county:055",151800,329236
"Sullivan County, New York: Summary level: 050, state:36> county:105",179900,50941
"Broome County, New York: Summary level: 050, state:36> county:007",119500,91258
"Dutchess County, New York: Summary level: 050, state:36> county:027",291600,121187
"Steuben County, New York: Summary level: 050, state:36> county:101",102600,49684
