,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",221500,139522
"Bronx County, New York: Summary level: 050, state:36> county:005",378000,525788
"Broome County, New York: Summary level: 050, state:36> county:007",121600,89618
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",83200,40931
"Cayuga County, New York: Summary level: 050, state:36> county:011",127000,36463
"Chautauqua County, New York: Summary level: 050, state:36> county:013",87000,66566
"Chemung County, New York: Summary level: 050, state:36> county:015",111600,38323
"Clinton County, New York: Summary level: 050, state:36> county:019",130500,36025
"Dutchess County, New York: Summary level: 050, state:36> county:027",279300,119291
"Erie County, New York: Summary level: 050, state:36> county:029",146400,422428
"Jefferson County, New York: Summary level: 050, state:36> county:045",149600,59116
"Kings County, New York: Summary level: 050, state:36> county:047",667000,1031125
"Livingston County, New York: Summary level: 050, state:36> county:051",126800,27361
"Madison County, New York: Summary level: 050, state:36> county:053",142400,31804
"Monroe County, New York: Summary level: 050, state:36> county:055",143100,326652
"Nassau County, New York: Summary level: 050, state:36> county:059",471900,466987
"New York County, New York: Summary level: 050, state:36> county:061",1003400,875990
"Niagara County, New York: Summary level: 050, state:36> county:063",122900,99122
"Oneida County, New York: Summary level: 050, state:36> county:065",125000,103763
"Onondaga County, New York: Summary level: 050, state:36> county:067",139800,205492
"Ontario County, New York: Summary level: 050, state:36> county:069",154300,50328
"Orange County, New York: Summary level: 050, state:36> county:071",258800,141147
"Oswego County, New York: Summary level: 050, state:36> county:075",101100,53673
"Putnam County, New York: Summary level: 050, state:36> county:079",362300,38328
"Queens County, New York: Summary level: 050, state:36> county:081",508000,851576
"Rensselaer County, New York: Summary level: 050, state:36> county:083",184200,71946
"Richmond County, New York: Summary level: 050, state:36> county:085",477100,179391
"Rockland County, New York: Summary level: 050, state:36> county:087",431600,105171
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",87700,52386
"Saratoga County, New York: Summary level: 050, state:36> county:091",250400,104117
"Schenectady County, New York: Summary level: 050, state:36> county:093",168100,68492
"Steuben County, New York: Summary level: 050, state:36> county:101",100700,48703
"Suffolk County, New York: Summary level: 050, state:36> county:103",386400,570952
"Sullivan County, New York: Summary level: 050, state:36> county:105",167200,49896
"Tompkins County, New York: Summary level: 050, state:36> county:109",201400,42445
"Ulster County, New York: Summary level: 050, state:36> county:111",224800,83934
"Warren County, New York: Summary level: 050, state:36> county:113",197300,39384
"Wayne County, New York: Summary level: 050, state:36> county:117",119400,41545
"Westchester County, New York: Summary level: 050, state:36> county:119",516500,369652
