,Median value (dollars),Total homes
"Bronx County, New York: Summary level: 050, state:36> county:005",466900,537197
"Onondaga County, New York: Summary level: 050, state:36> county:067",152100,209759
"Clinton County, New York: Summary level: 050, state:36> county:019",152000,36836
"Putnam County, New York: Summary level: 050, state:36> county:079",362700,38711
"Ontario County, New York: Summary level: 050, state:36> county:069",164300,51695
"Steuben County, New York: Summary level: 050, state:36> county:101",106600,49796
"Chautauqua County, New York: Summary level: 050, state:36> county:013",95000,67779
"Kings County, New York: Summary level: 050, state:36> county:047",793600,1065363
"Saratoga County, New York: Summary level: 050, state:36> county:091",273300,108296
"Westchester County, New York: Summary level: 050, state:36> county:119",559400,377263
"Richmond County, New York: Summary level: 050, state:36> county:085",586500,181765
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",101800,53488
"Tompkins County, New York: Summary level: 050, state:36> county:109",205700,44633
"Warren County, New York: Summary level: 050, state:36> county:113",204500,40284
"Dutchess County, New York: Summary level: 050, state:36> county:027",290200,121547
"Monroe County, New York: Summary level: 050, state:36> county:055",155600,330262
"Oneida County, New York: Summary level: 050, state:36> county:065",137700,105623
"Ulster County, New York: Summary level: 050, state:36> county:111",238900,85616
"Chemung County, New York: Summary level: 050, state:36> county:015",110900,39081
"Livingston County, New York: Summary level: 050, state:36> county:051",140200,27720
"Madison County, New York: Summary level: 050, state:36> county:053",140400,32461
"Albany County, New York: Summary level: 050, state:36> county:001",235000,142884
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",93700,41741
"Schenectady County, New York: Summary level: 050, state:36> county:093",183700,70111
"Rensselaer County, New York: Summary level: 050, state:36> county:083",201800,73431
"Queens County, New York: Summary level: 050, state:36> county:081",620100,869346
"New York County, New York: Summary level: 050, state:36> county:061",1128300,892930
"Cayuga County, New York: Summary level: 050, state:36> county:011",132400,37227
"Rockland County, New York: Summary level: 050, state:36> county:087",468800,106991
"Niagara County, New York: Summary level: 050, state:36> county:063",136500,100704
"Nassau County, New York: Summary level: 050, state:36> county:059",561400,474127
"Jefferson County, New York: Summary level: 050, state:36> county:045",150600,60160
"Suffolk County, New York: Summary level: 050, state:36> county:103",430500,577470
"Oswego County, New York: Summary level: 050, state:36> county:075",106600,54734
"Wayne County, New York: Summary level: 050, state:36> county:117",124000,41905
"Broome County, New York: Summary level: 050, state:36> county:007",118000,91402
"Erie County, New York: Summary level: 050, state:36> county:029",165500,430732
"Sullivan County, New York: Summary level: 050, state:36> county:105",173100,51276
"Orange County, New York: Summary level: 050, state:36> county:071",294600,145217
