,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",227000,141630
"Bronx County, New York: Summary level: 050, state:36> county:005",400300,528851
"Broome County, New York: Summary level: 050, state:36> county:007",114200,90924
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",88300,41588
"Cayuga County, New York: Summary level: 050, state:36> county:011",120900,37085
"Chautauqua County, New York: Summary level: 050, state:36> county:013",87500,67598
"Chemung County, New York: Summary level: 050, state:36> county:015",112900,38840
"Clinton County, New York: Summary level: 050, state:36> county:019",136900,36588
"Dutchess County, New York: Summary level: 050, state:36> county:027",279300,120743
"Erie County, New York: Summary level: 050, state:36> county:029",153300,428565
"Jefferson County, New York: Summary level: 050, state:36> county:045",148300,59946
"Kings County, New York: Summary level: 050, state:36> county:047",701800,1044287
"Livingston County, New York: Summary level: 050, state:36> county:051",135300,27523
"Madison County, New York: Summary level: 050, state:36> county:053",145800,32306
"Monroe County, New York: Summary level: 050, state:36> county:055",147700,328357
"Nassau County, New York: Summary level: 050, state:36> county:059",489900,472366
"New York County, New York: Summary level: 050, state:36> county:061",976100,886384
"Niagara County, New York: Summary level: 050, state:36> county:063",124900,100444
"Oneida County, New York: Summary level: 050, state:36> county:065",124000,105238
"Onondaga County, New York: Summary level: 050, state:36> county:067",146700,208531
"Ontario County, New York: Summary level: 050, state:36> county:069",166100,50926
"Orange County, New York: Summary level: 050, state:36> county:071",269100,143292
"Oswego County, New York: Summary level: 050, state:36> county:075",103300,54528
"Putnam County, New York: Summary level: 050, state:36> county:079",359700,38645
"Queens County, New York: Summary level: 050, state:36> county:081",545800,857250
"Rensselaer County, New York: Summary level: 050, state:36> county:083",196000,73118
"Richmond County, New York: Summary level: 050, state:36> county:085",501300,180572
"Rockland County, New York: Summary level: 050, state:36> county:087",439100,106220
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",94300,53298
"Saratoga County, New York: Summary level: 050, state:36> county:091",258600,106302
"Schenectady County, New York: Summary level: 050, state:36> county:093",164400,69732
"Steuben County, New York: Summary level: 050, state:36> county:101",97500,49497
"Suffolk County, New York: Summary level: 050, state:36> county:103",394600,576138
"Sullivan County, New York: Summary level: 050, state:36> county:105",177500,50690
"Tompkins County, New York: Summary level: 050, state:36> county:109",205300,43453
"Ulster County, New York: Summary level: 050, state:36> county:111",233000,85141
"Warren County, New York: Summary level: 050, state:36> county:113",194200,40054
"Wayne County, New York: Summary level: 050, state:36> county:117",125000,41761
"Westchester County, New York: Summary level: 050, state:36> county:119",547800,374912
