,Median value (dollars),Total homes
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",289600,14783
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",129200,1898
"Brewster village, New York: Summary level: 160, state:36> place:08070",286800,974
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",325600,625
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",694900,2763
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1000001,2395
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",82700,673
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",45000,216
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",170500,16624
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",520700,1076
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",293300,997
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",135300,762
"Brockport village, New York: Summary level: 160, state:36> place:08466",115400,2784
"Brocton village, New York: Summary level: 160, state:36> place:08488",73100,711
"Bronxville village, New York: Summary level: 160, state:36> place:08532",915700,2408
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",413100,1274
"Brookville village, New York: Summary level: 160, state:36> place:10132",1000001,875
"Brownville village, New York: Summary level: 160, state:36> place:10231",132100,386
"Brushton village, New York: Summary level: 160, state:36> place:10286",64500,220
"Buchanan village, New York: Summary level: 160, state:36> place:10341",369800,903
"Buffalo city, New York: Summary level: 160, state:36> place:11000",66600,134839
"Burdett village, New York: Summary level: 160, state:36> place:11132",101600,178
"Burke village, New York: Summary level: 160, state:36> place:11154",85000,79
"Busti CDP, New York: Summary level: 160, state:36> place:11440",99400,161
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",93300,50
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",131000,688
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",136300,1578
"Caledonia village, New York: Summary level: 160, state:36> place:11704",114800,984
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",168800,109
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",231400,3231
"Cambridge village, New York: Summary level: 160, state:36> place:11825",140200,807
"Camden village, New York: Summary level: 160, state:36> place:11847",95100,1075
"Camillus village, New York: Summary level: 160, state:36> place:11902",108900,625
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",75900,360
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",100400,961
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",147500,5441
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",60000,329
"Canastota village, New York: Summary level: 160, state:36> place:12188",100300,2203
"Candor village, New York: Summary level: 160, state:36> place:12210",84500,361
"Canisteo village, New York: Summary level: 160, state:36> place:12254",70700,954
"Canton village, New York: Summary level: 160, state:36> place:12331",151900,1837
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",150500,478
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",469200,1926
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",430500,2449
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",89600,820
"Carthage village, New York: Summary level: 160, state:36> place:12683",128300,1622
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",103200,348
"Castile village, New York: Summary level: 160, state:36> place:12771",85400,452
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",161900,595
"Castorland village, New York: Summary level: 160, state:36> place:12881",111800,118
"Cato village, New York: Summary level: 160, state:36> place:12958",93800,216
"Catskill village, New York: Summary level: 160, state:36> place:13002",178000,1595
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",67600,522
"Cayuga village, New York: Summary level: 160, state:36> place:13068",105400,262
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",338300,1583
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",195400,1130
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",530100,2354
"Celoron village, New York: Summary level: 160, state:36> place:13288",59300,595
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",343600,10428
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",404100,3064
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",564600,2107
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",151700,274
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",276900,10371
"Central Square village, New York: Summary level: 160, state:36> place:13585",139900,889
"Centre Island village, New York: Summary level: 160, state:36> place:13618",1000001,208
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",86600,772
"Champlain village, New York: Summary level: 160, state:36> place:13739",96400,574
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",532700,494
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",68200,361
"Chatham village, New York: Summary level: 160, state:36> place:14003",212500,850
"Chaumont village, New York: Summary level: 160, state:36> place:14036",126400,274
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",569400,1357
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",124600,207
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",96900,35346
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",150300,1235
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",69400,208
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",110500,266
"Chester village, New York: Summary level: 160, state:36> place:15297",226300,1760
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",196400,367
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",444100,2558
"Chittenango village, New York: Summary level: 160, state:36> place:15561",123100,2177
"Churchville village, New York: Summary level: 160, state:36> place:15638",124100,846
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",215400,1040
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",198100,775
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",85700,1082
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",135000,1661
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",223100,478
"Clayton village, New York: Summary level: 160, state:36> place:16089",158100,1042
"Clayville village, New York: Summary level: 160, state:36> place:16111",69600,225
"Cleveland village, New York: Summary level: 160, state:36> place:16188",89300,364
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",125300,919
"Clinton village, New York: Summary level: 160, state:36> place:16419",164600,1034
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",259200,540
"Clyde village, New York: Summary level: 160, state:36> place:16573",68500,906
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",163000,1878
"Cohocton village, New York: Summary level: 160, state:36> place:16727",75700,430
"Cohoes city, New York: Summary level: 160, state:36> place:16749",148400,8448
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",76100,152
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",369900,989
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",796000,1804
"Colonie village, New York: Summary level: 160, state:36> place:17332",199100,3328
"Colton CDP, New York: Summary level: 160, state:36> place:17398",91300,207
"Commack CDP, New York: Summary level: 160, state:36> place:17530",473300,11931
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",109500,139
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",192500,2119
"Congers CDP, New York: Summary level: 160, state:36> place:17739",444400,2958
"Constableville village, New York: Summary level: 160, state:36> place:17882",68600,155
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",114300,605
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",81800,247
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",297600,1214
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",273500,895
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",106800,288
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",334500,8027
"Coram CDP, New York: Summary level: 160, state:36> place:18157",316000,15528
"Corfu village, New York: Summary level: 160, state:36> place:18201",103600,332
"Corinth village, New York: Summary level: 160, state:36> place:18212",126300,1041
"Corning city, New York: Summary level: 160, state:36> place:18256",90800,5726
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",324100,1252
"Cortland city, New York: Summary level: 160, state:36> place:18388",93300,7406
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",160000,501
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",261900,771
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",1000001,151
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",178500,1294
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",223600,368
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",268200,429
"Croghan village, New York: Summary level: 160, state:36> place:19070",120800,275
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",496500,769
