,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",209300,138718
"Bronx County, New York: Summary level: 050, state:36> county:005",368500,523735
"Broome County, New York: Summary level: 050, state:36> county:007",111900,89649
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",88100,40929
"Cayuga County, New York: Summary level: 050, state:36> county:011",122600,36463
"Chautauqua County, New York: Summary level: 050, state:36> county:013",86300,66684
"Chemung County, New York: Summary level: 050, state:36> county:015",98600,38343
"Clinton County, New York: Summary level: 050, state:36> county:019",128700,35966
"Dutchess County, New York: Summary level: 050, state:36> county:027",268100,119240
"Erie County, New York: Summary level: 050, state:36> county:029",139800,421859
"Jefferson County, New York: Summary level: 050, state:36> county:045",155600,59129
"Kings County, New York: Summary level: 050, state:36> county:047",638500,1025815
"Livingston County, New York: Summary level: 050, state:36> county:051",117200,27367
"Madison County, New York: Summary level: 050, state:36> county:053",134500,31755
"Monroe County, New York: Summary level: 050, state:36> county:055",143100,324862
"Nassau County, New York: Summary level: 050, state:36> county:059",458800,466846
"New York County, New York: Summary level: 050, state:36> county:061",867600,869890
"Niagara County, New York: Summary level: 050, state:36> county:063",115700,99135
"Oneida County, New York: Summary level: 050, state:36> county:065",117000,103850
"Onondaga County, New York: Summary level: 050, state:36> county:067",139500,205015
"Ontario County, New York: Summary level: 050, state:36> county:069",156400,49912
"Orange County, New York: Summary level: 050, state:36> county:071",262500,140299
"Oswego County, New York: Summary level: 050, state:36> county:075",102000,53675
"Putnam County, New York: Summary level: 050, state:36> county:079",344400,38331
"Queens County, New York: Summary level: 050, state:36> county:081",487400,849552
"Rensselaer County, New York: Summary level: 050, state:36> county:083",182100,71867
"Richmond County, New York: Summary level: 050, state:36> county:085",457700,178986
"Rockland County, New York: Summary level: 050, state:36> county:087",430600,104836
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",89700,52250
"Saratoga County, New York: Summary level: 050, state:36> county:091",241600,102560
"Schenectady County, New York: Summary level: 050, state:36> county:093",167000,68188
"Steuben County, New York: Summary level: 050, state:36> county:101",92400,48774
"Suffolk County, New York: Summary level: 050, state:36> county:103",381700,570701
"Sullivan County, New York: Summary level: 050, state:36> county:105",168500,49753
"Tompkins County, New York: Summary level: 050, state:36> county:109",195100,42265
"Ulster County, New York: Summary level: 050, state:36> county:111",216900,83808
"Warren County, New York: Summary level: 050, state:36> county:113",187800,39194
"Wayne County, New York: Summary level: 050, state:36> county:117",120900,41450
"Westchester County, New York: Summary level: 050, state:36> county:119",514700,369678
