,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",207800,138192
"Bronx County, New York: Summary level: 050, state:36> county:005",372100,512320
"Broome County, New York: Summary level: 050, state:36> county:007",109400,90667
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",81600,41141
"Cayuga County, New York: Summary level: 050, state:36> county:011",102300,36531
"Chautauqua County, New York: Summary level: 050, state:36> county:013",81500,67001
"Chemung County, New York: Summary level: 050, state:36> county:015",96900,38371
"Clinton County, New York: Summary level: 050, state:36> county:019",115800,36089
"Dutchess County, New York: Summary level: 050, state:36> county:027",287400,119432
"Erie County, New York: Summary level: 050, state:36> county:029",124400,419402
"Jefferson County, New York: Summary level: 050, state:36> county:045",127800,58228
"Kings County, New York: Summary level: 050, state:36> county:047",563200,1001296
"Livingston County, New York: Summary level: 050, state:36> county:051",118400,27361
"Madison County, New York: Summary level: 050, state:36> county:053",122500,32039
"Monroe County, New York: Summary level: 050, state:36> county:055",135100,321846
"Nassau County, New York: Summary level: 050, state:36> county:059",450200,468651
"New York County, New York: Summary level: 050, state:36> county:061",856700,846177
"Niagara County, New York: Summary level: 050, state:36> county:063",102300,99355
"Oneida County, New York: Summary level: 050, state:36> county:065",111300,104244
"Onondaga County, New York: Summary level: 050, state:36> county:067",134000,202544
"Ontario County, New York: Summary level: 050, state:36> county:069",137100,48667
"Orange County, New York: Summary level: 050, state:36> county:071",272400,137574
"Oswego County, New York: Summary level: 050, state:36> county:075",94700,53601
"Putnam County, New York: Summary level: 050, state:36> county:079",359900,38423
"Queens County, New York: Summary level: 050, state:36> county:081",440700,832195
"Rensselaer County, New York: Summary level: 050, state:36> county:083",178600,71835
"Richmond County, New York: Summary level: 050, state:36> county:085",441000,176821
"Rockland County, New York: Summary level: 050, state:36> county:087",426800,104539
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",86800,52283
"Saratoga County, New York: Summary level: 050, state:36> county:091",226100,99507
"Schenectady County, New York: Summary level: 050, state:36> county:093",169200,68363
"Steuben County, New York: Summary level: 050, state:36> county:101",85700,49078
"Suffolk County, New York: Summary level: 050, state:36> county:103",383400,573034
"Sullivan County, New York: Summary level: 050, state:36> county:105",168100,49361
"Tompkins County, New York: Summary level: 050, state:36> county:109",168500,41783
"Ulster County, New York: Summary level: 050, state:36> county:111",235200,83852
"Warren County, New York: Summary level: 050, state:36> county:113",195000,38949
"Wayne County, New York: Summary level: 050, state:36> county:117",106900,41195
"Westchester County, New York: Summary level: 050, state:36> county:119",518800,371637
