,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",213300,137751
"Bronx County, New York: Summary level: 050, state:36> county:005",388900,512024
"Broome County, New York: Summary level: 050, state:36> county:007",107300,90542
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77800,41106
"Cayuga County, New York: Summary level: 050, state:36> county:011",102400,36478
"Chautauqua County, New York: Summary level: 050, state:36> county:013",84300,66901
"Chemung County, New York: Summary level: 050, state:36> county:015",92100,38361
"Clinton County, New York: Summary level: 050, state:36> county:019",131100,35910
"Dutchess County, New York: Summary level: 050, state:36> county:027",299100,118676
"Erie County, New York: Summary level: 050, state:36> county:029",123700,419978
"Jefferson County, New York: Summary level: 050, state:36> county:045",128200,57979
"Kings County, New York: Summary level: 050, state:36> county:047",566700,1000000
"Livingston County, New York: Summary level: 050, state:36> county:051",110400,27128
"Madison County, New York: Summary level: 050, state:36> county:053",118900,31759
"Monroe County, New York: Summary level: 050, state:36> county:055",134600,320711
"Nassau County, New York: Summary level: 050, state:36> county:059",463200,468196
"New York County, New York: Summary level: 050, state:36> county:061",825900,846962
"Niagara County, New York: Summary level: 050, state:36> county:063",107700,99150
"Oneida County, New York: Summary level: 050, state:36> county:065",105600,104191
"Onondaga County, New York: Summary level: 050, state:36> county:067",134700,202420
"Ontario County, New York: Summary level: 050, state:36> county:069",134500,48256
"Orange County, New York: Summary level: 050, state:36> county:071",286600,137107
"Oswego County, New York: Summary level: 050, state:36> county:075",92700,53633
"Putnam County, New York: Summary level: 050, state:36> county:079",390400,38228
"Queens County, New York: Summary level: 050, state:36> county:081",464800,834965
"Rensselaer County, New York: Summary level: 050, state:36> county:083",177200,71493
"Richmond County, New York: Summary level: 050, state:36> county:085",452300,176696
"Rockland County, New York: Summary level: 050, state:36> county:087",448300,104066
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",85300,52120
"Saratoga County, New York: Summary level: 050, state:36> county:091",236200,98772
"Schenectady County, New York: Summary level: 050, state:36> county:093",168000,68200
"Steuben County, New York: Summary level: 050, state:36> county:101",86300,48861
"Suffolk County, New York: Summary level: 050, state:36> county:103",390800,570021
"Sullivan County, New York: Summary level: 050, state:36> county:105",183800,49216
"Tompkins County, New York: Summary level: 050, state:36> county:109",167600,41687
"Ulster County, New York: Summary level: 050, state:36> county:111",234300,83643
"Warren County, New York: Summary level: 050, state:36> county:113",205600,38741
"Wayne County, New York: Summary level: 050, state:36> county:117",104200,41066
"Westchester County, New York: Summary level: 050, state:36> county:119",526000,370748
