,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",206900,137713
"Bronx County, New York: Summary level: 050, state:36> county:005",357700,514051
"Broome County, New York: Summary level: 050, state:36> county:007",109000,90109
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",81500,41047
"Cayuga County, New York: Summary level: 050, state:36> county:011",108600,36422
"Chautauqua County, New York: Summary level: 050, state:36> county:013",84800,66736
"Chemung County, New York: Summary level: 050, state:36> county:015",95500,38335
"Clinton County, New York: Summary level: 050, state:36> county:019",131400,35900
"Dutchess County, New York: Summary level: 050, state:36> county:027",275900,118733
"Erie County, New York: Summary level: 050, state:36> county:029",127200,419905
"Jefferson County, New York: Summary level: 050, state:36> county:045",128500,58197
"Kings County, New York: Summary level: 050, state:36> county:047",537500,1003114
"Livingston County, New York: Summary level: 050, state:36> county:051",123900,27175
"Madison County, New York: Summary level: 050, state:36> county:053",120700,31731
"Monroe County, New York: Summary level: 050, state:36> county:055",136900,320979
"Nassau County, New York: Summary level: 050, state:36> county:059",442500,466820
"New York County, New York: Summary level: 050, state:36> county:061",742700,850490
"Niagara County, New York: Summary level: 050, state:36> county:063",107600,99074
"Oneida County, New York: Summary level: 050, state:36> county:065",112400,103950
"Onondaga County, New York: Summary level: 050, state:36> county:067",133500,203164
"Ontario County, New York: Summary level: 050, state:36> county:069",134800,48599
"Orange County, New York: Summary level: 050, state:36> county:071",263200,138349
"Oswego County, New York: Summary level: 050, state:36> county:075",94400,53703
"Putnam County, New York: Summary level: 050, state:36> county:079",356200,38281
"Queens County, New York: Summary level: 050, state:36> county:081",439400,840147
"Rensselaer County, New York: Summary level: 050, state:36> county:083",181800,71582
"Richmond County, New York: Summary level: 050, state:36> county:085",434000,177479
"Rockland County, New York: Summary level: 050, state:36> county:087",415300,104210
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",89500,52149
"Saratoga County, New York: Summary level: 050, state:36> county:091",228200,100047
"Schenectady County, New York: Summary level: 050, state:36> county:093",169300,68040
"Steuben County, New York: Summary level: 050, state:36> county:101",89300,48955
"Suffolk County, New York: Summary level: 050, state:36> county:103",374800,569423
"Sullivan County, New York: Summary level: 050, state:36> county:105",165900,49434
"Tompkins County, New York: Summary level: 050, state:36> county:109",174600,41765
"Ulster County, New York: Summary level: 050, state:36> county:111",220600,83706
"Warren County, New York: Summary level: 050, state:36> county:113",185000,38847
"Wayne County, New York: Summary level: 050, state:36> county:117",103800,41050
"Westchester County, New York: Summary level: 050, state:36> county:119",506200,369968
