,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",122551
"Bronx County, New York: Summary level: 050, state:36> county:005",467138
"Broome County, New York: Summary level: 050, state:36> county:007",79727
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31938
"Cayuga County, New York: Summary level: 050, state:36> county:011",31533
"Chautauqua County, New York: Summary level: 050, state:36> county:013",56033
"Chemung County, New York: Summary level: 050, state:36> county:015",35644
"Clinton County, New York: Summary level: 050, state:36> county:019",32323
"Dutchess County, New York: Summary level: 050, state:36> county:027",107263
"Erie County, New York: Summary level: 050, state:36> county:029",379687
"Jefferson County, New York: Summary level: 050, state:36> county:045",46322
"Kings County, New York: Summary level: 050, state:36> county:047",901062
"Livingston County, New York: Summary level: 050, state:36> county:051",24342
"Madison County, New York: Summary level: 050, state:36> county:053",26805
"Monroe County, New York: Summary level: 050, state:36> county:055",296558
"Nassau County, New York: Summary level: 050, state:36> county:059",442039
"New York County, New York: Summary level: 050, state:36> county:061",728520
"Niagara County, New York: Summary level: 050, state:36> county:063",87848
"Oneida County, New York: Summary level: 050, state:36> county:065",91133
"Onondaga County, New York: Summary level: 050, state:36> county:067",181113
"Ontario County, New York: Summary level: 050, state:36> county:069",45029
"Orange County, New York: Summary level: 050, state:36> county:071",125643
"Oswego County, New York: Summary level: 050, state:36> county:075",44297
"Putnam County, New York: Summary level: 050, state:36> county:079",35352
"Queens County, New York: Summary level: 050, state:36> county:081",764825
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62712
"Richmond County, New York: Summary level: 050, state:36> county:085",161785
"Rockland County, New York: Summary level: 050, state:36> county:087",98214
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40937
"Saratoga County, New York: Summary level: 050, state:36> county:091",90230
"Schenectady County, New York: Summary level: 050, state:36> county:093",57691
"Steuben County, New York: Summary level: 050, state:36> county:101",41843
"Suffolk County, New York: Summary level: 050, state:36> county:103",500776
"Sullivan County, New York: Summary level: 050, state:36> county:105",27431
"Tompkins County, New York: Summary level: 050, state:36> county:109",39145
"Ulster County, New York: Summary level: 050, state:36> county:111",69127
"Warren County, New York: Summary level: 050, state:36> county:113",27884
"Wayne County, New York: Summary level: 050, state:36> county:117",36428
"Westchester County, New York: Summary level: 050, state:36> county:119",343481
