,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",123862
"Bronx County, New York: Summary level: 050, state:36> county:005",495513
"Broome County, New York: Summary level: 050, state:36> county:007",78398
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31174
"Cayuga County, New York: Summary level: 050, state:36> county:011",31368
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51579
"Chemung County, New York: Summary level: 050, state:36> county:015",34546
"Clinton County, New York: Summary level: 050, state:36> county:019",31249
"Dutchess County, New York: Summary level: 050, state:36> county:027",106319
"Erie County, New York: Summary level: 050, state:36> county:029",383099
"Jefferson County, New York: Summary level: 050, state:36> county:045",43145
"Kings County, New York: Summary level: 050, state:36> county:047",940176
"Livingston County, New York: Summary level: 050, state:36> county:051",24189
"Madison County, New York: Summary level: 050, state:36> county:053",26305
"Monroe County, New York: Summary level: 050, state:36> county:055",298151
"Nassau County, New York: Summary level: 050, state:36> county:059",436567
"New York County, New York: Summary level: 050, state:36> county:061",751244
"Niagara County, New York: Summary level: 050, state:36> county:063",84893
"Oneida County, New York: Summary level: 050, state:36> county:065",90396
"Onondaga County, New York: Summary level: 050, state:36> county:067",182581
"Ontario County, New York: Summary level: 050, state:36> county:069",43692
"Orange County, New York: Summary level: 050, state:36> county:071",125470
"Oswego County, New York: Summary level: 050, state:36> county:075",45115
"Putnam County, New York: Summary level: 050, state:36> county:079",34181
"Queens County, New York: Summary level: 050, state:36> county:081",774752
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62585
"Richmond County, New York: Summary level: 050, state:36> county:085",167462
"Rockland County, New York: Summary level: 050, state:36> county:087",99875
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42771
"Saratoga County, New York: Summary level: 050, state:36> county:091",90999
"Schenectady County, New York: Summary level: 050, state:36> county:093",52514
"Steuben County, New York: Summary level: 050, state:36> county:101",39517
"Suffolk County, New York: Summary level: 050, state:36> county:103",481796
"Sullivan County, New York: Summary level: 050, state:36> county:105",28394
"Tompkins County, New York: Summary level: 050, state:36> county:109",38112
"Ulster County, New York: Summary level: 050, state:36> county:111",69594
"Warren County, New York: Summary level: 050, state:36> county:113",24222
"Wayne County, New York: Summary level: 050, state:36> county:117",35841
"Westchester County, New York: Summary level: 050, state:36> county:119",338319
