,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",120485
"Bronx County, New York: Summary level: 050, state:36> county:005",471912
"Broome County, New York: Summary level: 050, state:36> county:007",80018
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32183
"Cayuga County, New York: Summary level: 050, state:36> county:011",30975
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55362
"Chemung County, New York: Summary level: 050, state:36> county:015",35534
"Clinton County, New York: Summary level: 050, state:36> county:019",31659
"Dutchess County, New York: Summary level: 050, state:36> county:027",106934
"Erie County, New York: Summary level: 050, state:36> county:029",376954
"Jefferson County, New York: Summary level: 050, state:36> county:045",45163
"Kings County, New York: Summary level: 050, state:36> county:047",905317
"Livingston County, New York: Summary level: 050, state:36> county:051",23854
"Madison County, New York: Summary level: 050, state:36> county:053",26243
"Monroe County, New York: Summary level: 050, state:36> county:055",294661
"Nassau County, New York: Summary level: 050, state:36> county:059",442729
"New York County, New York: Summary level: 050, state:36> county:061",726090
"Niagara County, New York: Summary level: 050, state:36> county:063",87627
"Oneida County, New York: Summary level: 050, state:36> county:065",89382
"Onondaga County, New York: Summary level: 050, state:36> county:067",184589
"Ontario County, New York: Summary level: 050, state:36> county:069",43670
"Orange County, New York: Summary level: 050, state:36> county:071",124627
"Oswego County, New York: Summary level: 050, state:36> county:075",44780
"Putnam County, New York: Summary level: 050, state:36> county:079",34727
"Queens County, New York: Summary level: 050, state:36> county:081",772332
"Rensselaer County, New York: Summary level: 050, state:36> county:083",65219
"Richmond County, New York: Summary level: 050, state:36> county:085",163816
"Rockland County, New York: Summary level: 050, state:36> county:087",98207
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",43123
"Saratoga County, New York: Summary level: 050, state:36> county:091",90445
"Schenectady County, New York: Summary level: 050, state:36> county:093",58773
"Steuben County, New York: Summary level: 050, state:36> county:101",41052
"Suffolk County, New York: Summary level: 050, state:36> county:103",496266
"Sullivan County, New York: Summary level: 050, state:36> county:105",31599
"Tompkins County, New York: Summary level: 050, state:36> county:109",37812
"Ulster County, New York: Summary level: 050, state:36> county:111",68581
"Warren County, New York: Summary level: 050, state:36> county:113",28809
"Wayne County, New York: Summary level: 050, state:36> county:117",36603
"Westchester County, New York: Summary level: 050, state:36> county:119",344475
