,Total households
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41680
"Ulster County, New York: Summary level: 050, state:36> county:111",69154
"Onondaga County, New York: Summary level: 050, state:36> county:067",185046
"Ontario County, New York: Summary level: 050, state:36> county:069",44079
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64614
"Warren County, New York: Summary level: 050, state:36> county:113",28007
"Wayne County, New York: Summary level: 050, state:36> county:117",35927
"Bronx County, New York: Summary level: 050, state:36> county:005",507370
"Chautauqua County, New York: Summary level: 050, state:36> county:013",53429
"Chemung County, New York: Summary level: 050, state:36> county:015",34325
"Nassau County, New York: Summary level: 050, state:36> county:059",447123
"Orange County, New York: Summary level: 050, state:36> county:071",128259
"Jefferson County, New York: Summary level: 050, state:36> county:045",44657
"Niagara County, New York: Summary level: 050, state:36> county:063",89765
"Putnam County, New York: Summary level: 050, state:36> county:079",35425
"Rockland County, New York: Summary level: 050, state:36> county:087",99502
"Sullivan County, New York: Summary level: 050, state:36> county:105",28900
"Albany County, New York: Summary level: 050, state:36> county:001",126578
"Broome County, New York: Summary level: 050, state:36> county:007",75539
"Clinton County, New York: Summary level: 050, state:36> county:019",31392
"Dutchess County, New York: Summary level: 050, state:36> county:027",108071
"Erie County, New York: Summary level: 050, state:36> county:029",390341
"Livingston County, New York: Summary level: 050, state:36> county:051",23746
"New York County, New York: Summary level: 050, state:36> county:061",752258
"Saratoga County, New York: Summary level: 050, state:36> county:091",94156
"Suffolk County, New York: Summary level: 050, state:36> county:103",496784
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32079
"Cayuga County, New York: Summary level: 050, state:36> county:011",30083
"Kings County, New York: Summary level: 050, state:36> county:047",969317
"Madison County, New York: Summary level: 050, state:36> county:053",26127
"Monroe County, New York: Summary level: 050, state:36> county:055",301668
"Tompkins County, New York: Summary level: 050, state:36> county:109",40250
"Oneida County, New York: Summary level: 050, state:36> county:065",88871
"Oswego County, New York: Summary level: 050, state:36> county:075",46270
"Queens County, New York: Summary level: 050, state:36> county:081",788110
"Richmond County, New York: Summary level: 050, state:36> county:085",167441
"Steuben County, New York: Summary level: 050, state:36> county:101",40578
"Westchester County, New York: Summary level: 050, state:36> county:119",352498
"Schenectady County, New York: Summary level: 050, state:36> county:093",55262
