,Total households
"Bronx County, New York: Summary level: 050, state:36> county:005",513890
"Onondaga County, New York: Summary level: 050, state:36> county:067",183218
"Clinton County, New York: Summary level: 050, state:36> county:019",31422
"Putnam County, New York: Summary level: 050, state:36> county:079",34470
"Ontario County, New York: Summary level: 050, state:36> county:069",46025
"Steuben County, New York: Summary level: 050, state:36> county:101",39283
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55345
"Kings County, New York: Summary level: 050, state:36> county:047",978091
"Saratoga County, New York: Summary level: 050, state:36> county:091",93547
"Westchester County, New York: Summary level: 050, state:36> county:119",355136
"Richmond County, New York: Summary level: 050, state:36> county:085",166297
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42832
"Tompkins County, New York: Summary level: 050, state:36> county:109",40322
"Warren County, New York: Summary level: 050, state:36> county:113",29593
"Dutchess County, New York: Summary level: 050, state:36> county:027",110529
"Monroe County, New York: Summary level: 050, state:36> county:055",305284
"Oneida County, New York: Summary level: 050, state:36> county:065",90273
"Ulster County, New York: Summary level: 050, state:36> county:111",69376
"Chemung County, New York: Summary level: 050, state:36> county:015",33490
"Livingston County, New York: Summary level: 050, state:36> county:051",23409
"Albany County, New York: Summary level: 050, state:36> county:001",128284
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",33056
"Madison County, New York: Summary level: 050, state:36> county:053",25986
"Schenectady County, New York: Summary level: 050, state:36> county:093",62534
"Rensselaer County, New York: Summary level: 050, state:36> county:083",65790
"Queens County, New York: Summary level: 050, state:36> county:081",784552
"New York County, New York: Summary level: 050, state:36> county:061",768203
"Cayuga County, New York: Summary level: 050, state:36> county:011",31489
"Rockland County, New York: Summary level: 050, state:36> county:087",101424
"Niagara County, New York: Summary level: 050, state:36> county:063",90625
"Nassau County, New York: Summary level: 050, state:36> county:059",449798
"Jefferson County, New York: Summary level: 050, state:36> county:045",41214
"Suffolk County, New York: Summary level: 050, state:36> county:103",499744
"Oswego County, New York: Summary level: 050, state:36> county:075",46640
"Wayne County, New York: Summary level: 050, state:36> county:117",36634
"Broome County, New York: Summary level: 050, state:36> county:007",79309
"Erie County, New York: Summary level: 050, state:36> county:029",398326
"Sullivan County, New York: Summary level: 050, state:36> county:105",28960
"Orange County, New York: Summary level: 050, state:36> county:071",131421
