,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",121119
"Bronx County, New York: Summary level: 050, state:36> county:005",475978
"Broome County, New York: Summary level: 050, state:36> county:007",81687
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32347
"Cayuga County, New York: Summary level: 050, state:36> county:011",30354
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51814
"Chemung County, New York: Summary level: 050, state:36> county:015",34867
"Clinton County, New York: Summary level: 050, state:36> county:019",32451
"Dutchess County, New York: Summary level: 050, state:36> county:027",107106
"Erie County, New York: Summary level: 050, state:36> county:029",379094
"Jefferson County, New York: Summary level: 050, state:36> county:045",45845
"Kings County, New York: Summary level: 050, state:36> county:047",919333
"Livingston County, New York: Summary level: 050, state:36> county:051",24038
"Madison County, New York: Summary level: 050, state:36> county:053",25991
"Monroe County, New York: Summary level: 050, state:36> county:055",298715
"Nassau County, New York: Summary level: 050, state:36> county:059",441732
"New York County, New York: Summary level: 050, state:36> county:061",746686
"Niagara County, New York: Summary level: 050, state:36> county:063",88995
"Oneida County, New York: Summary level: 050, state:36> county:065",90571
"Onondaga County, New York: Summary level: 050, state:36> county:067",185985
"Ontario County, New York: Summary level: 050, state:36> county:069",44328
"Orange County, New York: Summary level: 050, state:36> county:071",125228
"Oswego County, New York: Summary level: 050, state:36> county:075",45480
"Putnam County, New York: Summary level: 050, state:36> county:079",34050
"Queens County, New York: Summary level: 050, state:36> county:081",780349
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64581
"Richmond County, New York: Summary level: 050, state:36> county:085",163468
"Rockland County, New York: Summary level: 050, state:36> county:087",97934
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42436
"Saratoga County, New York: Summary level: 050, state:36> county:091",87414
"Schenectady County, New York: Summary level: 050, state:36> county:093",57463
"Steuben County, New York: Summary level: 050, state:36> county:101",41597
"Suffolk County, New York: Summary level: 050, state:36> county:103",496353
"Sullivan County, New York: Summary level: 050, state:36> county:105",29222
"Tompkins County, New York: Summary level: 050, state:36> county:109",38269
"Ulster County, New York: Summary level: 050, state:36> county:111",70353
"Warren County, New York: Summary level: 050, state:36> county:113",27530
"Wayne County, New York: Summary level: 050, state:36> county:117",37027
"Westchester County, New York: Summary level: 050, state:36> county:119",340097
