,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",123251
"Bronx County, New York: Summary level: 050, state:36> county:005",481143
"Broome County, New York: Summary level: 050, state:36> county:007",76714
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32271
"Cayuga County, New York: Summary level: 050, state:36> county:011",30784
"Chautauqua County, New York: Summary level: 050, state:36> county:013",54551
"Chemung County, New York: Summary level: 050, state:36> county:015",35838
"Clinton County, New York: Summary level: 050, state:36> county:019",31862
"Dutchess County, New York: Summary level: 050, state:36> county:027",107752
"Erie County, New York: Summary level: 050, state:36> county:029",381927
"Jefferson County, New York: Summary level: 050, state:36> county:045",42466
"Kings County, New York: Summary level: 050, state:36> county:047",925489
"Livingston County, New York: Summary level: 050, state:36> county:051",23853
"Madison County, New York: Summary level: 050, state:36> county:053",26518
"Monroe County, New York: Summary level: 050, state:36> county:055",298314
"Nassau County, New York: Summary level: 050, state:36> county:059",438588
"New York County, New York: Summary level: 050, state:36> county:061",726357
"Niagara County, New York: Summary level: 050, state:36> county:063",87970
"Oneida County, New York: Summary level: 050, state:36> county:065",89648
"Onondaga County, New York: Summary level: 050, state:36> county:067",184316
"Ontario County, New York: Summary level: 050, state:36> county:069",43028
"Orange County, New York: Summary level: 050, state:36> county:071",123977
"Oswego County, New York: Summary level: 050, state:36> county:075",45327
"Putnam County, New York: Summary level: 050, state:36> county:079",32251
"Queens County, New York: Summary level: 050, state:36> county:081",784243
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63981
"Richmond County, New York: Summary level: 050, state:36> county:085",167629
"Rockland County, New York: Summary level: 050, state:36> county:087",98294
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41299
"Saratoga County, New York: Summary level: 050, state:36> county:091",90397
"Schenectady County, New York: Summary level: 050, state:36> county:093",57526
"Steuben County, New York: Summary level: 050, state:36> county:101",41241
"Suffolk County, New York: Summary level: 050, state:36> county:103",496958
"Sullivan County, New York: Summary level: 050, state:36> county:105",27508
"Tompkins County, New York: Summary level: 050, state:36> county:109",37524
"Ulster County, New York: Summary level: 050, state:36> county:111",68650
"Warren County, New York: Summary level: 050, state:36> county:113",27228
"Wayne County, New York: Summary level: 050, state:36> county:117",35349
"Westchester County, New York: Summary level: 050, state:36> county:119",341755
