,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",124716
"Bronx County, New York: Summary level: 050, state:36> county:005",492481
"Broome County, New York: Summary level: 050, state:36> county:007",78810
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",30735
"Cayuga County, New York: Summary level: 050, state:36> county:011",31290
"Chautauqua County, New York: Summary level: 050, state:36> county:013",52916
"Chemung County, New York: Summary level: 050, state:36> county:015",34617
"Clinton County, New York: Summary level: 050, state:36> county:019",31426
"Dutchess County, New York: Summary level: 050, state:36> county:027",104190
"Erie County, New York: Summary level: 050, state:36> county:029",383657
"Jefferson County, New York: Summary level: 050, state:36> county:045",43516
"Kings County, New York: Summary level: 050, state:36> county:047",942402
"Livingston County, New York: Summary level: 050, state:36> county:051",25334
"Madison County, New York: Summary level: 050, state:36> county:053",25932
"Monroe County, New York: Summary level: 050, state:36> county:055",298271
"Nassau County, New York: Summary level: 050, state:36> county:059",440168
"New York County, New York: Summary level: 050, state:36> county:061",762228
"Niagara County, New York: Summary level: 050, state:36> county:063",86907
"Oneida County, New York: Summary level: 050, state:36> county:065",90583
"Onondaga County, New York: Summary level: 050, state:36> county:067",185474
"Ontario County, New York: Summary level: 050, state:36> county:069",43581
"Orange County, New York: Summary level: 050, state:36> county:071",124587
"Oswego County, New York: Summary level: 050, state:36> county:075",45646
"Putnam County, New York: Summary level: 050, state:36> county:079",34234
"Queens County, New York: Summary level: 050, state:36> county:081",785985
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63289
"Richmond County, New York: Summary level: 050, state:36> county:085",164971
"Rockland County, New York: Summary level: 050, state:36> county:087",98873
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40286
"Saratoga County, New York: Summary level: 050, state:36> county:091",90964
"Schenectady County, New York: Summary level: 050, state:36> county:093",56255
"Steuben County, New York: Summary level: 050, state:36> county:101",41046
"Suffolk County, New York: Summary level: 050, state:36> county:103",493287
"Sullivan County, New York: Summary level: 050, state:36> county:105",27524
"Tompkins County, New York: Summary level: 050, state:36> county:109",38120
"Ulster County, New York: Summary level: 050, state:36> county:111",69522
"Warren County, New York: Summary level: 050, state:36> county:113",26193
"Wayne County, New York: Summary level: 050, state:36> county:117",35577
"Westchester County, New York: Summary level: 050, state:36> county:119",342557
