,Total households
"Malverne village, New York: Summary level: 160, state:36> place:44787",3108
"Plandome village, New York: Summary level: 160, state:36> place:58475",395
"New Square village, New York: Summary level: 160, state:36> place:50705",1431
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1163
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1729
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",1721
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",127
"Newark village, New York: Summary level: 160, state:36> place:49891",3816
"Elmira city, New York: Summary level: 160, state:36> place:24229",9931
"Van Etten village, New York: Summary level: 160, state:36> place:76881",209
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",2204
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",1224
"Corfu village, New York: Summary level: 160, state:36> place:18201",309
"Sodus village, New York: Summary level: 160, state:36> place:68209",694
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",4029
"Waddington village, New York: Summary level: 160, state:36> place:77728",450
"Clyde village, New York: Summary level: 160, state:36> place:16573",746
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",2179
"Geneseo village, New York: Summary level: 160, state:36> place:28618",1922
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",3820
"Addison village, New York: Summary level: 160, state:36> place:00276",658
"Hornell city, New York: Summary level: 160, state:36> place:35672",3358
"Riverside village, New York: Summary level: 160, state:36> place:62061",240
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",871
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",3069
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1287
"Port Byron village, New York: Summary level: 160, state:36> place:59212",408
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",170
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",688
"Redford CDP, New York: Summary level: 160, state:36> place:60884",141
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",183
"Brocton village, New York: Summary level: 160, state:36> place:08488",649
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",728
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",339
"Freeville village, New York: Summary level: 160, state:36> place:27529",194
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",280
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",849
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",1985
"Lewiston village, New York: Summary level: 160, state:36> place:42147",1378
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",3255
"Youngstown village, New York: Summary level: 160, state:36> place:84143",802
"Almond village, New York: Summary level: 160, state:36> place:01440",177
"Canisteo village, New York: Summary level: 160, state:36> place:12254",893
"Corning city, New York: Summary level: 160, state:36> place:18256",5069
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",3670
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",572
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",101
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",3210
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",1952
"Valatie village, New York: Summary level: 160, state:36> place:76617",559
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",164
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",656
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",953
"Fairport village, New York: Summary level: 160, state:36> place:25076",2477
"Hilton village, New York: Summary level: 160, state:36> place:34847",2295
"Pittsford village, New York: Summary level: 160, state:36> place:58354",729
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2972
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",9458
"Remsen village, New York: Summary level: 160, state:36> place:61115",167
"Sherrill city, New York: Summary level: 160, state:36> place:66993",1271
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",346
"Yorkville village, New York: Summary level: 160, state:36> place:84099",1080
"Camillus village, New York: Summary level: 160, state:36> place:11902",563
"Fabius village, New York: Summary level: 160, state:36> place:24867",135
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",289
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1632
"Portville village, New York: Summary level: 160, state:36> place:59498",424
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",456
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1591
"Glen Park village, New York: Summary level: 160, state:36> place:29322",199
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",374
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",168
