,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",306945,148717,7564,8678,8071,5902,5525,2831,3615,9224,10412,10118,8564,8338,10016,11057,10620,3423,5617,3626,2539,4692,3035,2759,2491,158228,7380,7873,7816,5209,7228,3157,3830,8580,9930,10184,8791,8453,10844,11371,10862,4169,6032,3721,3305,5823,3330,4501,5839
"Bronx County, New York: Summary level: 050, state:36> county:005",1418733,669665,55579,50238,50304,30485,22445,14396,11788,35533,53488,48123,42729,41926,45085,42018,34779,14023,15894,8396,11857,16338,11222,7612,5407,749068,53010,50171,46195,29300,20740,11038,13207,36565,57079,54291,48189,49527,51759,50349,42463,15990,21657,13093,16246,22358,15701,14508,15632
"Broome County, New York: Summary level: 050, state:36> county:007",197534,96128,4929,5537,5807,3220,4285,1790,2788,4774,6229,5542,5616,4740,5644,7712,7802,2236,2972,1711,2609,3718,3268,1668,1531,101406,5003,5723,5568,3122,4386,2053,1346,5545,5422,5231,5225,5317,6363,7842,6754,2599,4127,2051,3321,3880,4189,2967,3372
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",78892,39035,2121,2538,3028,1625,1199,658,475,1413,2258,2241,2081,2222,2615,2894,2622,1328,1745,1189,948,1395,1202,554,684,39857,2266,2117,2631,1608,1179,325,1144,1035,2134,2010,1996,2641,2643,3073,3193,891,1642,937,1325,1579,1014,924,1550
"Cayuga County, New York: Summary level: 050, state:36> county:011",79477,40287,2016,1981,2690,1494,908,535,598,1553,2580,2328,2269,2610,3161,3301,3303,1279,1368,1202,1416,1339,1411,532,413,39190,2264,2089,2430,1400,904,309,384,1617,2025,2275,2166,2094,2724,3117,3157,1099,1512,1161,1047,1457,1134,1262,1563
"Chautauqua County, New York: Summary level: 050, state:36> county:013",133080,65892,3425,3828,4390,3059,2248,1211,747,3490,3860,3472,3939,3139,4648,4852,4443,2195,2872,1436,1714,2719,1829,1293,1083,67188,3276,3222,4486,2373,2254,1405,1279,2231,3608,3401,3805,3586,4183,5171,4740,2099,2696,2087,1769,2916,2633,2142,1826
"Chemung County, New York: Summary level: 050, state:36> county:015",88506,43749,2933,2349,2868,1625,1188,704,804,1281,2836,2643,2352,2955,3305,3417,3816,821,1521,733,1161,1794,1142,527,974,44757,2409,3261,2114,1718,1270,744,982,1319,2665,2363,2481,2678,2826,3420,3636,1192,1604,648,1233,2110,1688,1347,1049
"Clinton County, New York: Summary level: 050, state:36> county:019",81591,42056,2026,2175,2067,1401,1590,627,718,2457,3080,2726,2485,3000,3475,3213,2797,1035,1738,917,1116,1292,668,748,705,39535,1903,2336,1781,1329,1825,649,317,2534,1972,2200,2547,1828,2828,3316,2846,1200,1356,1233,959,1315,1276,941,1044
"Dutchess County, New York: Summary level: 050, state:36> county:027",296916,146960,6966,7458,10089,6053,5903,2331,2107,7371,8142,8278,8243,10175,11597,12525,10715,4057,5190,3659,3799,4227,3454,2361,2260,149956,7051,7397,9772,6172,5148,2725,3025,5743,7766,6952,8654,9823,11960,12511,10891,4294,5144,4006,3572,5761,4022,2923,4644
"Erie County, New York: Summary level: 050, state:36> county:029",919866,444893,24999,24439,30269,17677,13813,7061,8184,19311,32983,27396,23575,27504,30602,33999,34472,12227,13658,9631,11169,14562,9909,8899,8554,474973,23834,26440,26063,17244,12827,7500,7085,19376,32042,28114,24789,28092,32193,36091,36398,13490,15761,11436,12892,17738,16137,12632,16799
"Jefferson County, New York: Summary level: 050, state:36> county:045",119504,63273,6041,4720,3409,2003,1577,1365,2431,4141,6402,4951,3484,3453,3475,3642,3544,1087,1289,1162,1018,1738,1216,409,716,56231,4532,3652,3709,1785,1176,1407,1386,2233,4852,4047,2755,3527,3334,3838,3953,1027,1267,1116,976,1904,1696,1205,854
"Kings County, New York: Summary level: 050, state:36> county:047",2592149,1228955,98837,81061,81395,47723,29530,19841,18407,57396,114936,107213,91533,79892,75060,74449,68348,23344,35651,20319,20563,32452,20158,15388,15459,1363194,93733,81850,74029,46441,29211,17812,17253,63884,123425,114972,95163,90899,85734,87072,82748,29381,43742,27242,29852,40549,34749,23893,29560
"Livingston County, New York: Summary level: 050, state:36> county:051",64705,33015,1874,1503,1835,1275,1527,753,564,1976,1840,1893,1697,2325,2367,2533,2761,1167,628,991,683,1081,579,586,577,31690,1382,1236,1951,1257,1996,1585,766,720,1415,1472,2101,1199,2244,2592,2466,791,1091,831,890,1161,1034,866,644
"Madison County, New York: Summary level: 050, state:36> county:053",72382,35733,1621,1905,2487,1511,1560,1412,602,1455,1788,1902,1758,2097,2586,2833,2678,796,1744,636,765,1591,964,633,409,36649,1509,2284,2058,1322,1918,529,1807,1082,1702,1739,1560,2312,2549,2917,2318,1850,1100,600,1325,1320,1331,902,615
"Monroe County, New York: Summary level: 050, state:36> county:055",749606,362229,21786,22626,23671,15021,13298,5567,5828,17616,26143,22858,20491,21288,24879,26654,23450,9607,13587,7453,8131,12399,7446,6230,6200,387377,20579,21627,22761,14285,12080,5095,5729,17792,26970,23910,21757,23232,26391,29441,27892,9047,13917,8501,11226,13056,10565,9011,12513
"Nassau County, New York: Summary level: 050, state:36> county:059",1352146,656074,37225,41370,46448,29805,18708,8876,7579,26470,39328,36802,38499,42670,48882,52346,47370,16689,24245,16150,17329,18465,14935,12862,13021,696072,35638,40760,42176,28246,17393,8205,7345,25483,37027,37471,40307,45286,53359,56189,48106,21571,25823,16416,17890,26185,20192,18301,26703
"New York County, New York: Summary level: 050, state:36> county:061",1626159,767797,43100,31272,29594,17251,16304,8658,10444,35460,92384,82903,62342,57328,53083,49858,44444,17594,22604,13223,15024,25516,16639,11868,10904,858362,41253,28521,30323,17025,19405,13068,11301,42970,108092,87457,63587,55724,51590,50739,46417,19365,33373,19839,20790,32970,22944,17235,24374
