,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Bronx County, New York: Summary level: 050, state:36> county:005",1418207,669355,50893,44644,53412,28789,19554,11299,10161,28307,58802,52014,42727,41400,39209,40688,37722,15335,19877,10212,14553,20086,13507,8077,8087,748852,49154,44260,49620,27291,18278,11316,8359,30057,60814,55483,47572,48819,45496,47962,47776,16022,25643,12938,21064,26816,22631,15768,15713
"Onondaga County, New York: Summary level: 050, state:36> county:067",460528,221732,13015,11953,16037,8805,8062,3333,3010,8907,15013,14721,13171,11998,13024,14504,15760,6002,9516,5083,7277,8906,5687,3870,4078,238796,12816,13069,13017,8381,9021,2783,2983,9389,15628,15504,15567,12116,13670,15832,15515,7975,10349,5698,7544,11140,7741,4736,8322
"Clinton County, New York: Summary level: 050, state:36> county:019",80485,41294,1804,1775,2076,1142,1456,749,546,2500,2959,2983,2574,3064,2785,2627,3236,1211,1320,1168,1554,1283,1178,478,826,39191,1862,2135,1887,1124,1964,1408,1286,766,2358,1940,2193,2142,2274,2446,2430,1581,1829,690,1300,2197,1379,973,1027
"Putnam County, New York: Summary level: 050, state:36> county:079",98320,49138,2026,1626,3893,1946,1016,357,187,2467,3230,3526,2862,3135,3060,3783,3803,1352,2976,1106,1851,1900,1710,749,577,49182,2281,1898,3270,1880,622,622,740,1279,3116,2586,2251,3400,4066,3565,5033,1605,1576,1407,1618,2156,1641,1486,1084
"Ontario County, New York: Summary level: 050, state:36> county:069",109777,53892,2362,3401,3908,1883,1995,453,672,1991,3063,3495,2897,2800,3234,3780,4375,1634,2077,1133,2009,3002,1727,1158,843,55885,2381,2866,3044,1930,1573,657,690,1936,2829,3564,3191,2690,3278,3955,4460,2103,2072,1849,1597,3634,2444,1476,1666
"Steuben County, New York: Summary level: 050, state:36> county:101",95379,47085,2783,2576,3224,1834,1091,785,279,1631,2833,2708,2479,2889,2679,3256,3393,1449,2451,1751,1464,2161,1557,986,826,48294,2623,2767,2754,1762,932,213,648,1715,3186,2635,2568,3074,2883,3053,3491,1609,2118,1437,2046,2267,1913,1204,1396
"Chautauqua County, New York: Summary level: 050, state:36> county:013",126903,61511,3216,4320,2658,2252,2154,1034,1276,1999,3689,3648,3398,3455,3845,3999,4432,1924,2613,1499,1818,3736,2006,804,1736,65392,3520,3213,3692,2575,2313,472,1056,2098,3452,3856,3994,2820,3727,3835,5716,2178,2459,1740,1991,3948,1921,2203,2613
"Kings County, New York: Summary level: 050, state:36> county:047",2559903,1212991,94201,77394,81563,44055,25043,14102,12842,46089,113361,114749,93834,78163,70565,66975,65559,26416,37332,21171,27830,42480,26053,17002,16212,1346912,88586,74185,78023,42123,24272,13806,13819,52257,123331,119247,97346,88215,80691,77642,75326,35211,46202,27989,36138,54524,38616,29313,30050
"Saratoga County, New York: Summary level: 050, state:36> county:091",229863,114019,5947,6454,6696,4436,3343,1770,1204,3424,7127,7747,7149,6673,7633,8325,8402,3227,4832,3128,3385,5589,3704,1727,2097,115844,5475,5712,6167,4326,3095,870,838,4386,6169,6850,7791,6428,8263,8492,9167,3273,5168,3843,3701,5949,4166,2771,2944
"Westchester County, New York: Summary level: 050, state:36> county:119",967506,468412,27469,28498,31991,20150,12430,7917,5029,16182,28496,28436,29225,31294,32125,33708,30977,13692,19275,8907,12012,20613,12638,8557,8791,499094,26033,24872,32347,18998,12728,4615,5318,19755,27424,28129,31440,31518,33827,36056,35466,14716,18971,9869,15048,23963,17696,12673,17632
"Richmond County, New York: Summary level: 050, state:36> county:085",476143,231437,12626,15471,16163,9045,5516,2468,2406,9446,16686,15869,14923,13954,15650,15209,17384,4709,9480,4290,7429,10114,6183,3274,3142,244706,12806,14534,13511,9530,4914,3182,3193,7836,16348,15088,16432,14592,16265,17049,18468,5887,10202,6530,8223,10474,7735,5139,6768
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",107740,54553,2671,2625,3437,1848,3047,1415,909,2429,3558,3256,3070,3074,2940,3569,3464,1578,2321,1179,1992,2682,1696,899,894,53187,2559,2252,3543,1947,2508,1613,1147,1556,3010,2912,2506,3028,3337,3170,4292,1475,2152,1139,1617,2840,1997,1348,1239
"Tompkins County, New York: Summary level: 050, state:36> county:109",102180,50975,2005,1444,2470,2150,4325,1900,3286,4815,3599,3320,2719,2199,2238,2209,2318,988,2022,940,1900,1503,1335,591,699,51205,1681,1765,2043,895,5457,2835,2581,2830,3430,2552,2473,2848,2911,2381,2818,1046,2238,1410,1537,1858,1524,820,1272
"Warren County, New York: Summary level: 050, state:36> county:113",63944,31380,1654,1142,2178,1081,638,510,235,795,1872,1960,2223,1111,1703,2239,2381,1578,985,1221,1117,2138,941,905,773,32564,1018,1294,1867,927,594,575,419,659,2136,1916,1671,1588,1890,2320,2523,1029,1806,1343,1173,2131,1115,1284,1286
"Dutchess County, New York: Summary level: 050, state:36> county:027",294218,146449,6246,6593,9953,5562,5949,3203,1829,5169,8960,8548,8443,9299,9710,10611,10818,4604,7250,3339,4461,6410,4368,2585,2539,147769,6401,8022,7053,5062,5261,2142,2849,4923,8933,7680,8953,8473,9330,10766,12843,3733,6152,3905,4430,7497,5448,3832,4081
"Monroe County, New York: Summary level: 050, state:36> county:055",741770,358280,20987,19001,24863,13879,11483,5164,5065,14436,26572,25757,23013,18431,20290,22860,24557,9889,14456,6548,12538,15693,9246,6864,6688,383490,19297,18892,23038,12993,10446,3792,5994,15526,27073,26510,23463,20656,22457,24758,28245,11472,13932,8962,12002,19647,11057,11137,12141
"Oneida County, New York: Summary level: 050, state:36> county:065",228671,113929,6349,7114,7200,4338,3824,1611,1351,4783,7445,7727,6093,7152,6849,7170,7605,3333,4963,2339,4048,4961,3810,2387,1477,114742,6109,6371,6895,4141,2661,1192,1369,4531,6647,7385,5813,6279,7066,7176,7743,4210,4471,2688,4114,5796,4006,3211,4868
"Ulster County, New York: Summary level: 050, state:36> county:111",177573,87941,4168,4357,4283,3084,2025,823,1355,4146,5591,4957,5655,5629,5693,6561,7167,3178,3385,2310,2843,4671,2834,1518,1708,89632,3516,3866,4752,2989,2521,938,1683,3125,5134,5488,4927,5307,5247,5985,7497,2678,3887,2444,3700,5481,3437,2616,2414
"Chemung County, New York: Summary level: 050, state:36> county:015",83456,41145,2183,2235,2328,1880,945,605,383,1415,2745,3110,2342,2332,2387,3062,2985,1546,1709,983,1482,1724,1195,565,1004,42311,2136,2619,2483,1421,831,342,1049,1026,2514,2390,1974,2534,2264,3244,3326,1192,1904,1123,1313,2346,1307,1498,1475
"Livingston County, New York: Summary level: 050, state:36> county:051",62914,32260,1386,1298,2020,1311,1455,711,1462,1102,1858,1773,1773,1881,1986,2051,2539,988,1281,559,1362,1447,814,461,742,30654,1318,1474,1478,988,2014,1437,428,1078,1457,1382,1506,1650,1604,2015,2305,1033,1270,781,919,1754,1421,563,779
"Madison County, New York: Summary level: 050, state:36> county:053",70941,35365,1765,2752,1362,1213,1922,1137,524,1154,1890,1921,1521,2275,1894,2336,2633,1140,1707,767,1707,1421,1054,895,375,35576,1573,1516,2070,1348,1737,847,568,1346,1731,1822,1656,1890,1982,2456,2959,1380,1379,976,1936,1251,1570,688,895
"Albany County, New York: Summary level: 050, state:36> county:001",305506,147290,7813,6960,8834,4339,6452,3880,1853,9436,10678,9468,9741,7967,7980,9530,10405,3614,5461,3915,3785,6483,3937,1946,2813,158216,7390,6696,8264,5469,7534,2951,3372,8423,11003,9580,9429,8780,8620,9429,10199,5131,5328,3047,4791,8814,5714,3294,4958
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76117,38132,2366,2412,2172,1729,1073,684,492,1094,2235,2195,2178,2022,2176,2507,2644,1402,1600,1017,1010,2339,1650,630,505,37985,2040,2196,2397,1298,962,522,300,1477,1973,2111,1799,2236,2234,2360,2961,1144,1664,1373,1786,1653,1550,847,1102
"Schenectady County, New York: Summary level: 050, state:36> county:093",155299,76245,4524,5217,5668,2358,1650,705,1222,2917,5613,5345,4881,4153,4696,5116,3308,2680,4027,1734,2606,2964,2483,876,1502,79054,3787,5321,3965,2597,1232,1382,1596,2164,4812,6513,6038,4122,4396,4848,5251,2852,2994,1836,2911,3256,2773,1981,2427
