,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",309612,151130,8710,8245,7696,5239,7440,3301,2524,10351,9247,10265,9564,7964,8960,9759,9917,4290,5711,3333,4106,6065,3938,1920,2585,158482,7035,7721,8171,4686,6705,4743,2864,8915,10426,9278,9662,9048,9337,10325,9046,5031,6918,3613,5586,6415,3875,4188,4894
"Bronx County, New York: Summary level: 050, state:36> county:005",1471160,693457,53703,48522,52915,30654,20482,12319,12115,32320,63389,52045,43297,42760,42588,43633,38611,15432,17778,10874,13405,18527,13181,6820,8087,777703,52248,50944,47029,29200,19225,11924,11996,32293,65320,57005,51557,48984,49628,51291,44719,17328,26198,14588,17857,26597,20125,13339,18308
"Broome County, New York: Summary level: 050, state:36> county:007",193639,95435,5432,5846,4801,3542,4742,2814,2769,4695,4915,5192,5771,3798,5361,6470,6853,3727,3202,2572,2819,3589,2822,2078,1625,98204,4744,4659,5532,3111,3563,2272,1299,5939,5919,5088,4944,4836,5689,6308,7819,2372,3440,2419,2846,4886,3662,3313,3544
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77348,38691,2268,2427,2729,1567,1153,595,599,1438,2045,1994,1976,2400,2242,2733,2987,1068,1831,752,1426,1854,1232,740,635,38657,2064,2227,2530,1439,1129,302,434,1641,2109,2023,2164,1988,2392,2673,3173,978,1654,778,1536,1843,1623,682,1275
"Cayuga County, New York: Summary level: 050, state:36> county:011",77603,39829,1783,2444,2173,1569,749,399,752,1073,3084,2792,2774,2119,2760,2953,2842,1171,1729,936,1744,1530,1102,487,864,37774,1744,2006,1849,1834,839,558,540,1302,2012,2057,1868,2307,2346,2904,2649,1452,1811,1101,1345,1746,1092,802,1610
"Chautauqua County, New York: Summary level: 050, state:36> county:013",129046,64144,3553,3374,4130,2418,2240,1219,560,3571,3721,3687,2915,3645,3854,4311,4131,2710,2646,2219,2080,2653,2321,1265,921,64902,3183,3493,3814,2444,2264,931,904,2058,3620,3455,3092,4000,3638,4199,4161,2648,2907,2295,2609,2525,2267,1493,2902
"Chemung County, New York: Summary level: 050, state:36> county:015",85557,42566,2713,2362,2517,1523,788,467,855,1508,3240,2894,2533,2387,2910,2904,3018,1458,1639,805,1387,1853,1045,534,1226,42991,2150,1590,3882,1464,1013,723,421,1299,2227,2657,2136,2494,2636,2925,3524,1407,1816,1084,1674,1809,955,718,2387
"Clinton County, New York: Summary level: 050, state:36> county:019",80980,41847,2107,1498,2438,1281,1730,1314,594,2161,3316,2673,2723,2687,2428,2894,2824,1832,1325,493,1544,1735,1214,499,537,39133,1720,2455,1997,1130,2194,651,1008,1569,2024,2184,2415,1815,2410,2907,3293,1054,1301,565,1443,1852,863,1161,1122
"Dutchess County, New York: Summary level: 050, state:36> county:027",295568,146685,6353,6367,9695,6133,4871,3751,2643,4890,9818,9392,8831,8090,9923,11387,11093,5145,5988,3790,3858,5272,3972,2467,2956,148883,7291,5956,9374,5283,5654,2560,3694,4813,7691,7677,9000,7874,10037,11903,12540,3959,5620,3201,4588,7092,5107,3520,4449
"Erie County, New York: Summary level: 050, state:36> county:029",925528,448284,26012,26224,26483,17587,13499,7397,7069,15699,35263,31044,25675,24987,28018,30918,36164,10606,16752,9043,13281,19522,10241,7480,9320,477244,25037,25588,25143,16647,13392,7099,6376,16316,34354,30974,26286,25238,29665,32697,35848,16415,17441,10953,16463,21222,16669,11487,15934
