,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",305455,147632,7706,7234,8602,5666,6279,2892,3188,8244,11300,9478,9321,8010,10240,10967,10679,4051,5225,2880,3092,4445,3521,2212,2400,157823,7162,8470,8066,5430,7012,3542,3978,7082,10459,9716,8967,8632,10797,11953,10494,3615,6391,3088,4438,4945,3704,4425,5457
"Bronx County, New York: Summary level: 050, state:36> county:005",1408473,662591,54908,49708,51662,31772,22659,15722,11599,34346,51334,46693,42388,42244,44819,41284,34803,11948,15898,8947,11802,14658,10776,6460,6161,745882,52499,45559,51612,30703,22544,14044,11256,34227,55951,53629,51413,47550,51891,49658,44685,15001,18669,12016,15130,23262,15846,13821,14916
"Broome County, New York: Summary level: 050, state:36> county:007",198060,96399,5124,5723,5109,3560,4020,2120,3053,4037,6119,5747,5086,5228,6404,7865,7045,2431,3467,1558,1865,4297,3541,1694,1306,101661,4414,6042,4899,3846,3315,2810,1616,3672,6547,5656,4718,5991,6553,7906,7717,2188,4077,2086,2505,4579,3561,2925,4038
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",79458,39206,2203,2672,2643,1727,1132,530,688,1439,2255,2182,1725,2661,2711,3106,2898,1184,1658,751,815,1766,1052,854,554,40252,2369,2495,2472,1622,1199,562,924,1045,2094,2252,2020,2616,2741,3173,2898,1143,1569,798,953,1838,989,1319,1161
"Cayuga County, New York: Summary level: 050, state:36> county:011",79552,40432,2213,2291,2554,1631,1019,493,439,1852,2329,2401,2441,2850,3098,3176,2598,1260,2072,960,1156,1245,993,916,445,39120,2161,2077,2331,1535,923,584,383,1187,2262,2077,1558,2882,2853,3423,2747,1040,1751,1136,1084,1523,1293,826,1484
"Chautauqua County, New York: Summary level: 050, state:36> county:013",133539,65989,3838,3719,4194,2950,2720,930,1031,3157,3830,3374,3377,4134,4411,5041,5104,1792,2406,1065,1769,2806,1591,1695,1055,67550,3533,2996,4794,2397,2679,1127,883,2374,3809,3435,3915,3477,4456,5217,4685,2235,2541,1483,1941,2863,2569,2007,2134
"Chemung County, New York: Summary level: 050, state:36> county:015",88911,44847,2613,2630,3553,1769,1004,567,994,1829,2637,2728,3197,2188,3417,3433,3706,873,1741,819,1011,1480,812,805,1041,44064,2127,2556,2838,1770,1523,1179,378,980,2311,2542,2661,2476,2857,3656,3308,935,1956,767,1363,1728,1310,1179,1664
"Clinton County, New York: Summary level: 050, state:36> county:019",81654,41884,2020,1679,2602,1539,1551,1122,533,2119,3081,2874,2928,2328,3597,3393,3044,572,1835,684,1102,1217,897,679,488,39770,1799,2320,1688,1333,1635,1409,959,1407,2224,2260,2401,2254,3229,3230,2559,964,1756,1023,960,1284,1161,673,1242
"Dutchess County, New York: Summary level: 050, state:36> county:027",297322,147237,7508,8405,9146,6726,5458,2987,2132,6838,8033,8251,6925,11509,12121,12658,10587,4606,4416,3330,3773,4010,3355,2432,2031,150085,7152,9048,8957,6036,5491,2747,2634,5927,7374,7681,8295,10414,12320,12121,11079,3283,5224,4141,3212,5544,3794,4008,3603
"Erie County, New York: Summary level: 050, state:36> county:029",919086,444642,24855,24085,31474,18419,13911,8373,8269,18723,31686,26316,23063,28930,32122,34278,33067,10799,15316,7818,11280,14661,10938,8893,7366,474444,23804,24657,28228,17447,13197,7505,7399,19599,30610,26903,24084,29949,33276,37043,35586,11384,16773,10511,11791,18712,15233,15431,15322
"Jefferson County, New York: Summary level: 050, state:36> county:045",120262,62025,5250,4640,2875,2197,1699,1317,1878,4557,6078,5438,3941,3136,3716,3469,3044,1382,1411,949,1499,1232,1047,775,495,58237,4670,4167,4139,1873,1166,531,1267,3114,4445,4670,3931,2797,3729,3671,2861,1633,1784,963,1421,1557,1141,1009,1698
"Kings County, New York: Summary level: 050, state:36> county:047",2565635,1214702,96282,84247,77977,49094,30397,19340,17862,61413,111976,104308,86978,80226,75476,73951,63665,26300,35314,17693,21196,31256,21013,14630,14108,1350933,91480,79377,76427,48091,28992,20631,18426,62227,121060,111658,93784,89646,86055,86991,79451,31262,43826,27207,25367,41544,30752,27203,29476
