,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",303833,147683,8034,7953,8917,6423,6410,2153,3828,8594,9723,8952,8739,10072,10604,10999,9757,4177,5019,2245,2827,4411,3202,2659,1985,156150,7148,7534,9160,5086,6341,3065,2821,7958,10969,8837,9855,9889,11058,11253,11579,3008,5544,2929,4225,4268,4107,4350,5166
"Bronx County, New York: Summary level: 050, state:36> county:005",1386657,649779,52378,50301,50674,34020,24695,14055,12636,30361,49606,44919,40024,46134,44581,40189,31267,10856,17300,9074,10528,13768,9493,7461,5459,736878,50626,47112,49831,32980,23144,12805,13006,30985,55934,53133,48326,52147,52853,47957,40854,14565,19643,10688,14237,22238,15262,13257,15295
"Broome County, New York: Summary level: 050, state:36> county:007",200272,98356,5150,6819,5498,3550,4691,1496,1992,5797,6076,5252,5888,4996,7260,7982,7064,2278,3023,1376,2925,2721,2851,2105,1566,101916,4751,5224,5296,4194,4139,2165,2206,4204,5661,5034,4725,6304,7519,8141,6592,2916,3546,1550,2903,4138,3705,2993,4010
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",80229,40206,2449,2415,2721,2076,1433,809,346,1557,2068,1946,1587,3095,3044,3398,3292,1022,1498,956,874,1292,1197,698,433,40023,2230,2242,2735,1538,1096,1043,185,1262,2056,2145,2337,2655,2952,3265,2996,1135,1304,733,1019,1553,1887,472,1183
"Cayuga County, New York: Summary level: 050, state:36> county:011",79978,41066,2099,2217,3008,1772,1021,577,706,1393,2363,2411,2362,3416,3520,3453,2675,931,1748,540,1033,1502,1180,747,392,38912,1883,2544,2053,1597,1160,598,508,932,2391,1929,2197,2614,3219,3332,3014,526,1652,731,855,1506,1132,1034,1505
"Chautauqua County, New York: Summary level: 050, state:36> county:013",134768,66583,3472,3976,4645,2744,2822,1363,1314,2405,3595,3036,4180,3629,5148,5083,4252,2432,2466,1035,1970,2661,1623,1566,1166,68185,3793,4020,4028,2710,2609,1133,1267,2138,3574,3447,3670,3886,4916,5290,5152,1722,2324,1219,1573,2889,1961,1956,2908
"Chemung County, New York: Summary level: 050, state:36> county:015",88824,44736,2956,3038,2950,1643,942,708,339,1686,2995,3013,3380,2360,3352,3483,2959,1263,1871,458,1216,1428,1121,1023,552,44088,2365,2409,2889,1582,1059,630,1387,1080,2368,2340,1994,2989,3206,3926,2786,1339,1877,468,1503,1591,965,1670,1665
"Clinton County, New York: Summary level: 050, state:36> county:019",82115,41644,1943,2231,2416,1732,1546,1466,845,1505,2936,2683,2081,3015,3966,3284,3246,929,734,367,1152,1527,1073,489,478,40471,2129,2224,1905,1450,1764,1048,559,1840,2205,2442,2724,2382,3447,3107,2030,1867,1188,654,1186,1252,992,1371,705
"Dutchess County, New York: Summary level: 050, state:36> county:027",297577,148353,7798,9786,9138,7165,5601,3112,1625,6867,7716,7960,11145,8896,12841,12350,11059,4056,3719,2565,2639,4647,3850,2682,1136,149224,7441,9812,8947,5862,5120,3207,1959,5487,7649,7003,10626,9914,12727,12233,10147,3535,5144,2424,4308,4458,4103,3067,4051
"Erie County, New York: Summary level: 050, state:36> county:029",918652,443364,25310,26287,30797,19257,13932,8623,6803,19816,29399,24388,24564,30285,33523,35358,31332,10169,15174,7129,9935,13865,10012,9998,7408,475288,23633,26667,27701,18726,13853,8753,6168,18657,28810,25070,25977,31334,35158,37932,31646,12282,17128,9049,11783,18014,16058,14966,15923
"Jefferson County, New York: Summary level: 050, state:36> county:045",116582,59414,5273,4451,3222,2286,1613,666,1210,3785,5313,4125,3979,4784,3850,3520,2796,1547,1392,1150,991,1147,828,865,621,57168,4479,4227,3376,2259,1170,618,828,2877,5122,3884,3773,3705,3937,3681,3061,1120,1601,1292,982,1376,1016,1540,1244
"Kings County, New York: Summary level: 050, state:36> county:047",2508340,1183515,90200,83073,77381,51155,35041,18895,20859,57590,106315,98041,83355,78367,75885,73753,64717,25225,29983,15104,20507,29542,21188,14495,12844,1324825,86934,77406,77261,49788,33889,20023,17690,61768,116616,106027,90221,88566,87850,87361,77831,31210,39154,23435,26965,38014,30669,29577,26570
"Livingston County, New York: Summary level: 050, state:36> county:051",65333,32523,1470,1984,1639,1292,1435,662,963,1584,1857,1940,1913,2307,2683,2814,1828,808,1482,551,685,992,606,459,569,32810,1537,2010,1978,1254,1636,1626,751,750,1515,1382,1458,2466,2538,2511,2377,927,1059,443,758,1183,871,580,1200
