,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159442,78766,3761,4476,4849,2906,3517,920,1159,3619,6062,5436,4595,4439,4850,5059,5705,1945,3621,1594,2686,3408,2205,988,966,80676,4354,3713,4431,2689,2430,788,1620,3008,5642,5268,5730,3914,4859,5791,6192,1918,3619,1966,2983,3370,2043,1582,2766
"Chautauqua County, New York: Summary level: 050, state:36> county:013",127939,63814,3472,3224,4298,2355,2242,769,624,2750,4391,3760,3138,3553,3753,4036,5496,1586,2769,1807,2129,3006,2101,1070,1485,64125,3349,3613,3138,2121,2061,862,630,2117,3699,3585,4632,2436,3578,4253,4937,2470,2655,1961,2251,3114,2736,1504,2423
"Clinton County, New York: Summary level: 050, state:36> county:019",80695,42358,1913,1899,2157,1381,1748,420,651,3350,3446,3074,2246,2473,2719,2612,2453,2093,1490,1131,1358,1372,433,1071,868,38337,1869,1623,2117,1222,1787,793,778,1675,2124,2092,2500,1708,2283,2655,3048,1366,1407,852,1198,1954,1779,877,630
"New York County, New York: Summary level: 050, state:36> county:061",1628701,770362,39030,29466,32165,16544,14922,8571,8255,33684,89325,85903,64167,51342,50320,48771,47703,16552,23879,16185,20700,25425,19763,13070,14620,858339,37740,29547,31496,16991,19603,9337,10229,41283,99522,89394,63358,54215,50945,49061,45521,22506,28520,18175,25876,39989,29786,20256,24989
"Saratoga County, New York: Summary level: 050, state:36> county:091",230163,113339,6299,5462,7333,4395,3370,1023,1228,4814,7132,6577,7671,6724,8134,8518,8691,3495,3810,2430,3918,5477,3816,1779,1243,116824,5572,6445,5918,4775,3199,1159,1268,4626,5899,6877,6914,6929,8037,9810,10280,2982,3947,2521,4279,6041,3544,2969,2833
"Tompkins County, New York: Summary level: 050, state:36> county:109",102793,51465,2959,2267,2136,1847,5137,2042,1998,4501,3815,2681,3080,1789,2497,2652,2331,1090,2263,1221,770,2080,845,622,842,51328,1462,1884,1810,1102,5145,3429,2089,3226,3453,3213,2900,2736,2374,2957,1833,1218,2668,876,1276,2363,1299,818,1197
"Oneida County, New York: Summary level: 050, state:36> county:065",229577,113987,6722,6892,7066,3795,3159,2063,1862,3456,7823,8874,5958,6713,6689,7995,8664,3500,4170,2792,3323,4682,3037,1912,2840,115590,6023,6888,7299,3964,3754,1311,1495,3725,6995,6593,6696,5631,6962,7848,6988,3952,5497,3666,3332,5270,4071,3581,4049
"Oswego County, New York: Summary level: 050, state:36> county:075",117898,59222,3063,3195,3593,2385,2243,1382,1225,2157,4270,3603,3648,2660,3662,4385,4894,1645,2222,1522,1767,2424,1544,953,780,58676,3099,2850,3941,2298,2176,835,883,2289,3642,3329,3751,2515,3690,4366,4930,1934,1689,1389,2032,2565,1718,1826,929
"Nassau County, New York: Summary level: 050, state:36> county:059",1358343,661642,38206,39633,44224,27231,17053,9801,8027,26049,41769,38732,39772,40946,43665,47890,49179,19260,25357,15613,17833,28876,17752,11899,12875,696701,36070,39591,40363,25910,15947,7245,8260,26979,39730,38865,41631,40916,46087,51557,51242,23372,26454,16268,22524,31849,23557,15976,26308
"Orange County, New York: Summary level: 050, state:36> county:071",381951,192029,13141,13832,14444,8956,6917,2647,4143,8926,12006,11018,11384,11249,12394,13185,12703,3749,7803,3484,4902,6552,3603,2739,2252,189922,11961,11362,14972,8584,4779,2500,2015,7532,11354,11008,11507,11259,12796,14032,12068,4877,7457,4370,5687,6918,4481,3598,4805
"Rockland County, New York: Summary level: 050, state:36> county:087",325695,160230,13142,12143,13498,8429,4621,2621,1783,6575,10035,9281,9319,8441,9211,10021,9648,3198,6291,2737,4522,5629,3055,3447,2583,165465,13206,12170,12380,6744,4018,1826,2038,6956,9459,8026,9755,8928,9701,10765,10188,3883,6286,3939,5089,6037,4354,4424,5293
"Ontario County, New York: Summary level: 050, state:36> county:069",109864,53729,2735,3401,3104,2354,1244,963,1071,1662,3311,2949,2964,2945,3347,4114,3764,1952,2292,1388,2101,2443,1618,1060,947,56135,2812,2986,2958,1959,1299,685,686,1975,2724,3130,3485,2682,3927,4120,4340,1936,2343,1863,1946,2937,2184,1460,1698
"Chemung County, New York: Summary level: 050, state:36> county:015",84254,40747,2119,3547,2111,1433,784,172,823,1343,2609,2339,3489,1697,2449,2633,3857,808,1527,1421,1297,1326,1391,908,664,43507,2607,2588,1825,1368,1270,481,113,2042,2407,2434,2093,2204,2582,3315,3340,1593,1639,1170,1906,2399,1817,1073,1241
"Jefferson County, New York: Summary level: 050, state:36> county:045",111755,58729,4372,4483,3061,1751,1597,1244,1731,4255,5917,4363,4402,2596,3249,2888,2970,1294,1609,968,1913,1543,1006,826,691,53026,4312,3590,3259,1971,1142,487,493,3167,4320,3472,3192,2752,2810,3062,3006,1284,2196,988,1662,1991,1818,1095,957
"Erie County, New York: Summary level: 050, state:36> county:029",919719,444847,25706,24347,27523,17026,13350,6081,6526,16463,34555,31645,26647,24141,26939,29926,33594,12089,17291,10184,13780,19014,12488,7536,7996,474872,24500,27190,23412,16388,13250,5826,5416,17698,33488,31835,28153,24056,28419,31497,34278,15000,20248,10885,14783,23109,16845,12621,15975
"Ulster County, New York: Summary level: 050, state:36> county:111",178599,88542,3574,4578,4793,2657,1471,1768,912,4554,6224,5530,5931,5318,5660,6126,6766,3548,3280,2390,2956,4322,2583,1761,1840,90057,4026,3649,4953,3081,2790,1106,1534,2996,5262,5505,6094,3744,5476,6731,6370,3719,3748,2371,3516,4851,4149,1828,2558
"Westchester County, New York: Summary level: 050, state:36> county:119",967612,468837,27748,29581,31777,20296,12501,6233,5291,18177,27927,28270,31696,28754,32809,34070,34765,12829,15692,9592,12511,18690,12130,7716,9782,498775,25989,27103,30608,18743,12086,6355,5528,19026,27025,27999,30968,31741,34725,36976,34528,14832,19627,10203,14687,22650,18176,12400,16800
"Warren County, New York: Summary level: 050, state:36> county:113",64265,31907,1478,2301,909,1273,776,274,313,983,2028,1657,2395,1423,2211,2183,1807,1542,1730,1442,1229,1498,1015,573,867,32358,1468,1673,1278,977,808,180,477,807,1932,1699,1533,1730,2055,2408,2592,646,2358,1242,1428,1668,1017,988,1394
"Niagara County, New York: Summary level: 050, state:36> county:063",210433,102743,5316,4893,6990,4172,2895,1563,1089,3435,6416,6199,5683,5478,6989,7400,7229,3949,5381,2607,3759,4748,2874,1854,1824,107690,5573,5308,6231,3580,2031,1650,670,3929,6646,6323,7047,5173,6016,8040,7560,4640,5126,2797,3646,5477,3516,2735,3976
"Putnam County, New York: Summary level: 050, state:36> county:079",98892,49528,2493,2967,2551,2167,1268,357,683,2302,2713,2943,2844,2640,3871,4215,3367,2189,2165,1439,1560,2004,1972,323,495,49364,1963,2320,2848,2281,1055,552,514,1727,2667,3200,2542,2690,3590,4209,4268,1140,2497,1063,2124,2244,1642,1127,1101
"Livingston County, New York: Summary level: 050, state:36> county:051",63227,32028,1484,1649,1589,1030,1662,450,582,1541,2132,1839,1763,1907,2213,2323,2027,944,1768,775,894,1497,956,760,243,31199,1273,1446,1550,1258,2143,790,1464,405,1478,1540,1429,1501,1768,2201,2802,800,1359,824,672,1800,1063,860,773
"Suffolk County, New York: Summary level: 050, state:36> county:103",1481093,729779,40311,41569,47567,30397,19931,9886,8001,30914,48039,42583,43809,43753,50303,57212,56063,20635,29178,14040,20093,31195,19716,13767,10817,751314,38938,38455,46736,29045,18123,8107,8928,30031,44254,40680,40191,46151,52549,59101,58587,22665,28319,15225,22941,36974,27765,17263,20286
"Cayuga County, New York: Summary level: 050, state:36> county:011",77145,39764,2039,2279,2207,1420,1010,353,210,1482,2839,2868,2892,2231,2475,2854,3164,1291,1487,971,1307,1834,862,1225,464,37381,1912,2353,1667,1387,794,598,235,1130,2425,2107,2320,1885,2342,2579,3389,933,1666,1081,1304,1741,1008,1313,1212
"Kings County, New York: Summary level: 050, state:36> county:047",2582830,1223278,96118,77756,82737,44028,25104,14769,14476,46797,117517,112847,92830,80327,72288,68620,68678,25417,36216,22321,29270,37075,27383,16536,14168,1359552,90978,78439,75797,42970,24478,14306,12719,56035,126117,118086,103117,84036,82534,79858,78650,32915,46473,26055,37630,51706,37827,27198,31628
