,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",309381,150393,8649,7558,8747,5491,7091,2744,3927,9104,9843,9846,9208,8200,9546,10507,10083,4382,5329,3160,4657,4141,2859,2529,2792,158988,6906,7857,8045,5029,5878,3625,2726,10360,10628,10337,9584,8563,9940,10720,10441,4408,6004,4070,4144,6290,4107,4055,5271
"Bronx County, New York: Summary level: 050, state:36> county:005",1455444,687295,56315,50960,50787,30459,20866,14539,11364,34627,59621,50157,41811,43426,44863,43623,37624,12658,19145,9841,14235,15025,13501,7254,4594,768149,53080,47474,50334,29319,19518,11462,13946,34775,62231,55707,54936,45406,51357,51939,44529,17271,22944,14961,17317,22869,17375,12280,17119
"Broome County, New York: Summary level: 050, state:36> county:007",196567,97219,5093,5579,5576,4036,4227,1977,3327,4943,5899,5125,5095,4665,6150,6883,7604,2686,3210,1331,3720,3697,2915,1530,1951,99348,4515,5422,4748,3424,4343,1850,2280,5001,5457,5496,4444,5314,5933,7131,8032,2200,4035,2085,2962,4297,3346,2657,4376
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77922,38100,2297,2247,2430,1528,1062,454,636,1489,2129,2322,1836,2244,2537,2820,3085,1170,1467,1064,1055,1734,1117,968,409,39822,2581,2287,2545,1528,1224,1013,327,1169,2220,2213,2250,1989,2356,2819,3297,1243,1438,794,1322,1908,1106,973,1220
"Cayuga County, New York: Summary level: 050, state:36> county:011",78288,40800,2050,2047,2747,1849,890,730,539,1657,2668,2768,2094,2772,2708,3290,3265,1204,1484,1032,1229,1402,885,812,678,37488,1849,2283,1843,1473,765,877,319,1271,1936,2196,2299,2048,2457,2912,3162,813,1737,860,1207,1741,1445,873,1122
"Chautauqua County, New York: Summary level: 050, state:36> county:013",130779,65181,3466,3375,4521,3028,2269,346,1122,3265,4327,3662,2867,3701,4035,4750,5344,1849,2627,1581,2484,2197,2558,1114,693,65598,3441,3125,3921,2321,2415,1044,980,2185,3668,3306,3153,3843,4080,4979,5738,1624,2373,1493,2563,2885,2228,1984,2249
"Chemung County, New York: Summary level: 050, state:36> county:015",87071,42843,2368,2632,2445,1699,614,1144,409,1649,2863,2567,3119,2529,2801,3423,2851,1377,1626,944,1159,1711,1202,999,712,44228,2689,2639,2428,1740,989,490,849,1393,2468,2911,2206,2694,2565,3529,3580,754,2066,761,1466,1963,1573,1156,1319
"Clinton County, New York: Summary level: 050, state:36> county:019",81251,41101,2061,1884,2203,1300,1402,943,1052,1787,2732,2810,2962,2487,2675,3328,2976,757,1928,857,947,1771,1092,728,419,40150,1923,1567,2189,1230,2081,1009,810,2494,2001,2194,2615,1793,2541,3134,2998,835,1740,1484,1003,1352,1324,817,1016
"Dutchess County, New York: Summary level: 050, state:36> county:027",295754,147294,7064,7944,9057,6032,5290,2418,2722,6294,9148,8427,9147,8621,10581,12224,12682,3445,5278,3578,4218,4860,3161,2988,2115,148460,6340,6978,9049,5803,5633,3704,2895,4409,8318,7675,8726,8073,11021,12360,10836,4364,5924,3469,4244,6545,4271,3559,4264
"Erie County, New York: Summary level: 050, state:36> county:029",922578,447050,25642,24630,28755,17881,12148,6557,7115,19606,35109,29384,24775,25553,29499,32501,34395,13253,14756,10242,11239,17042,11009,8332,7627,475528,24399,26090,25315,17189,12125,7013,5730,20417,33647,28898,26513,25192,31263,34358,37228,13608,17148,10091,14282,21031,14796,12688,16507
"Jefferson County, New York: Summary level: 050, state:36> county:045",117635,61960,5512,4436,3153,2005,1570,2509,956,4143,6209,4767,3740,3134,3496,3615,3551,1056,1470,1148,1225,1853,537,1143,732,55675,5323,3890,3061,1924,1233,1151,1082,2203,4538,3580,3245,3556,3248,3373,3332,1269,1473,1105,1842,1628,1090,1014,1515
"Kings County, New York: Summary level: 050, state:36> county:047",2636735,1250574,102041,86736,76641,46872,27624,17538,16155,55053,121227,111491,96209,79393,75250,74277,73253,24988,33251,22346,28429,29236,23056,14626,14882,1386161,97771,78916,78088,45333,27191,17736,18154,58733,129495,118921,101753,89619,85662,86294,82688,33906,42321,27109,35750,41614,31844,27109,30154
"Livingston County, New York: Summary level: 050, state:36> county:051",64717,32586,2122,1598,1494,1176,1560,429,862,1682,1782,1894,1685,2018,2260,2571,2411,929,1345,783,680,1489,848,503,465,32131,1636,1303,2094,1139,1670,881,516,1814,1498,1669,1203,2042,2045,2397,2125,1091,1300,589,1245,1214,696,738,1226
"Madison County, New York: Summary level: 050, state:36> county:053",71849,35368,1577,2264,1787,1655,1861,1218,594,1162,1884,1863,1772,1898,2347,2842,2832,955,1565,982,1159,1157,925,543,526,36481,1481,2411,1761,1361,1895,1071,956,1047,1833,1717,1572,2285,2404,2810,3138,797,1464,864,1240,1481,1014,898,981
"Monroe County, New York: Summary level: 050, state:36> county:055",749600,362344,21585,23473,21630,15128,12251,6047,5237,15927,27975,23827,19107,21166,23678,26183,26299,9250,12641,7537,11357,11850,8380,5898,5918,387256,20795,20336,22863,13704,11040,6785,5462,15575,27799,24473,22793,21325,25355,28289,25760,10294,16406,7623,12165,16615,11324,7097,13378
"Nassau County, New York: Summary level: 050, state:36> county:059",1361350,660837,37578,40951,45162,29089,17900,8342,8335,27887,40493,37805,38874,41318,46973,51345,47855,20209,23350,15954,18885,21668,15523,11979,13362,700513,35949,39084,42148,27531,16819,8538,9548,25407,38614,37932,40888,43377,50493,55532,50114,19684,28783,14982,23195,27178,20560,16904,27253
