,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",308171,147613,6671,8013,8335,5447,5857,3183,3894,8622,10879,9715,7592,9144,10323,10500,11293,2961,5277,3586,4048,4447,3497,2558,1771,160558,8765,6802,9655,4831,7486,3190,3615,8401,10362,10225,8072,10180,9157,11404,11463,3496,6034,4212,3501,6322,5039,3947,4399
"Bronx County, New York: Summary level: 050, state:36> county:005",1438159,676729,55824,50982,49769,30168,21481,11592,13600,36445,56520,49250,42157,42484,44250,43170,37103,13249,16312,8272,12067,17274,11412,8081,5267,761430,52873,50331,47744,29043,19830,12712,12418,36310,59439,55134,51858,47660,51849,51477,45457,16747,21168,14793,14115,24432,18856,12206,14978
"Broome County, New York: Summary level: 050, state:36> county:007",197349,95942,5144,5066,5855,3160,5162,1516,2315,5429,5794,5480,4600,5437,5558,7446,6486,2457,4449,2519,2241,3535,2864,2117,1312,101407,5465,4729,5744,3415,3805,1273,2496,5637,6090,5458,5181,4549,6194,7463,6520,2759,4846,2335,3933,3175,3256,3041,4043
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",78600,38511,2125,2306,2712,1630,1044,702,409,1365,2142,2263,1744,2606,2355,3167,3115,1446,1221,883,1385,1514,1013,870,494,40089,2536,2307,2568,1454,1367,811,366,1514,2107,2040,1978,2560,2466,2891,2759,1264,1832,663,1093,2068,1205,1054,1186
"Cayuga County, New York: Summary level: 050, state:36> county:011",78823,40481,2062,2595,2476,1642,1078,506,485,1852,2573,2490,1935,2971,3078,3156,2947,1085,1623,1082,1037,1443,1139,438,788,38342,1831,1875,2086,1504,1016,642,625,1296,2057,2289,1895,2443,2871,3088,3078,1120,1407,925,1498,1288,1274,1067,1167
"Chautauqua County, New York: Summary level: 050, state:36> county:013",132053,65753,3770,3567,4483,2678,1934,2159,793,2596,4215,3378,3486,3339,4212,4841,5899,1718,2243,1157,2121,2765,1819,1307,1273,66300,3196,3700,3790,2325,2525,1111,1271,2047,3824,3837,3335,3752,3993,4776,5243,1842,2534,2041,2063,2556,2081,2115,2343
"Chemung County, New York: Summary level: 050, state:36> county:015",87770,43683,2640,2968,3100,1559,1263,413,710,1568,2655,2907,1815,3014,2869,3898,3018,1296,1655,1074,1218,1345,906,1120,672,44087,2610,2054,2865,1399,1090,826,621,1810,2398,2831,2200,2527,2710,3285,2818,1357,2120,1455,1447,1667,1221,1034,1742
"Clinton County, New York: Summary level: 050, state:36> county:019",81632,42446,2002,2049,2127,1254,1966,819,952,2736,2928,2970,2614,3024,2897,3090,2829,1474,1134,983,1041,1360,1418,420,359,39186,1849,1712,2002,1420,1537,1433,339,2421,2188,2205,1897,2323,2667,3124,2851,1036,1477,711,1083,1817,879,1284,931
"Dutchess County, New York: Summary level: 050, state:36> county:027",296579,147585,7198,7974,9139,6237,5591,2764,3234,5686,8806,8407,8378,9521,11099,12657,10959,4554,5035,4145,3650,4726,3328,2453,2044,148994,6961,8091,8379,5814,5806,3667,2992,4395,7957,7682,7842,9437,11279,12551,11065,3977,5949,3505,4157,5904,4162,2818,4604
"Erie County, New York: Summary level: 050, state:36> county:029",922835,446724,25564,24695,29587,17422,13607,6471,7777,19515,34192,28436,23329,27442,29872,33242,32835,12464,16093,9967,12831,14379,10286,8401,8317,476111,24330,24784,27247,17280,12656,5544,6221,21356,33448,28297,22788,29698,31684,35333,35758,12143,19064,11673,13776,18309,14309,13866,16547
