,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",303565,146701,7671,7241,9531,5771,6002,3050,2845,8986,10452,8963,8510,9271,10846,10786,10603,3849,4879,2557,3454,3432,3197,2730,2075,156864,7358,7740,8148,5541,7065,1765,2996,9201,10865,9214,7765,10643,10920,11646,11732,3826,5257,2797,3419,5199,3884,4706,5177
"Bronx County, New York: Summary level: 050, state:36> county:005",1392002,655495,54417,51432,49666,32830,23577,15082,12422,31835,50587,45662,42338,42232,44609,40662,35559,11867,14002,8802,11137,14109,11113,6230,5325,736507,51773,48866,47998,31294,21685,13786,12879,31314,55416,53012,47902,51078,52491,48545,40646,14992,20436,11091,16690,20539,16903,12481,14690
"Broome County, New York: Summary level: 050, state:36> county:007",199031,98504,5500,6385,5599,3815,3912,4428,2453,2608,6250,5962,5236,5435,6822,7466,6739,2425,3759,1927,2959,2608,2294,2316,1606,100527,4216,5224,5042,3574,3759,2185,1479,4329,6493,5354,4310,6208,7236,8230,6936,2293,4260,1798,2930,4013,3477,3149,4032
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",79832,39182,2379,2507,2673,1636,1160,491,627,1638,2223,2143,1817,2502,2917,3219,2973,892,1772,738,1220,1252,1018,648,737,40650,2452,2772,2376,1630,1135,703,492,1255,2088,2457,2313,2172,3014,3216,2740,767,2175,759,1206,1523,1246,1015,1144
"Cayuga County, New York: Summary level: 050, state:36> county:011",79738,40820,2138,1860,2775,1940,895,730,425,1562,2422,2630,1620,3557,3735,3337,3098,828,1862,867,948,1333,1255,733,270,38918,1858,2406,2355,1523,922,508,892,1243,2103,1987,1662,2818,2854,3259,2519,1546,1454,632,937,1699,1182,1130,1429
"Chautauqua County, New York: Summary level: 050, state:36> county:013",134368,66591,4213,4516,3674,2641,2515,1724,1383,2336,3794,3394,3175,4145,4651,5325,4751,1798,2892,1112,2038,2137,1558,1300,1519,67777,3407,4193,3352,2526,2595,913,1515,2273,3683,3293,3600,4113,4649,5114,4280,1978,3399,1161,1847,2877,2575,2120,2314
"Chemung County, New York: Summary level: 050, state:36> county:015",88840,45558,2327,1882,3208,1740,995,228,888,2280,3149,3585,2828,3320,3506,3783,3154,1255,1697,1026,1028,1088,1047,783,761,43282,2606,1908,2826,1534,1143,595,812,1710,2249,2376,2317,2536,3310,3660,3160,1328,1541,608,1290,1716,1487,931,1639
"Clinton County, New York: Summary level: 050, state:36> county:019",81945,42666,2092,2105,2222,1543,1622,887,764,2495,2992,3037,2177,3803,3245,3435,3574,771,1094,380,909,1499,1321,483,216,39279,1818,2091,2160,1336,1660,367,997,2040,2271,2332,2414,2237,3157,3131,2501,1274,1298,586,1126,1430,1283,928,842
"Dutchess County, New York: Summary level: 050, state:36> county:027",297999,147653,7631,7988,10374,6602,5625,3529,2283,5880,7872,8063,8497,10477,13311,12407,9979,4282,5043,2719,3183,3932,3347,2514,2115,150346,7439,7915,10195,6424,5719,2588,3414,5285,6908,7487,9147,10420,12269,12264,10477,4132,4568,2635,4476,4900,4201,3759,3724
"Erie County, New York: Summary level: 050, state:36> county:029",918028,443220,25121,27745,27839,18879,14697,8742,6660,19032,30524,25512,25339,27907,32633,35045,32874,9820,15936,8474,10499,12408,10516,9955,7063,474808,23711,26331,27548,17925,13203,9454,7551,17070,29927,26244,26664,28987,34055,37402,35719,11611,15946,9613,12224,16983,16269,15438,14933
