,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Malverne village, New York: Summary level: 160, state:36> place:44787",8530,7707,823
"Plandome village, New York: Summary level: 160, state:36> place:58475",1251,1211,40
"New Square village, New York: Summary level: 160, state:36> place:50705",8128,8098,30
"South Nyack village, New York: Summary level: 160, state:36> place:69441",2831,2166,665
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6872,6371,501
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3699,2968,731
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",361,307,54
"Newark village, New York: Summary level: 160, state:36> place:49891",8469,6160,2309
"Elmira city, New York: Summary level: 160, state:36> place:24229",24214,18880,5334
"Van Etten village, New York: Summary level: 160, state:36> place:76881",678,621,57
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",4798,3858,940
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2744,2045,699
"Corfu village, New York: Summary level: 160, state:36> place:18201",707,554,153
"Sodus village, New York: Summary level: 160, state:36> place:68209",1657,1343,314
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",8939,6953,1986
"Waddington village, New York: Summary level: 160, state:36> place:77728",938,748,190
"Clyde village, New York: Summary level: 160, state:36> place:16573",2097,1857,240
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5191,4435,756
"Geneseo village, New York: Summary level: 160, state:36> place:28618",4749,2350,2399
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",11694,10691,1003
"Addison village, New York: Summary level: 160, state:36> place:00276",1753,1489,264
"Hornell city, New York: Summary level: 160, state:36> place:35672",8086,6576,1510
"Riverside village, New York: Summary level: 160, state:36> place:62061",514,389,125
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1862,1344,518
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",8099,7108,991
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",3449,3046,403
"Port Byron village, New York: Summary level: 160, state:36> place:59212",989,741,248
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",426,327,99
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1380,1080,300
"Redford CDP, New York: Summary level: 160, state:36> place:60884",361,331,30
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",301,172,129
"Brocton village, New York: Summary level: 160, state:36> place:08488",1319,935,384
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",1657,1418,239
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",787,665,122
"Freeville village, New York: Summary level: 160, state:36> place:27529",394,296,98
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",465,264,201
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",1805,1403,402
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",4515,3158,1357
"Lewiston village, New York: Summary level: 160, state:36> place:42147",2541,1727,814
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",7254,5579,1675
"Youngstown village, New York: Summary level: 160, state:36> place:84143",2047,1795,252
"Almond village, New York: Summary level: 160, state:36> place:01440",494,442,52
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2256,1949,307
"Corning city, New York: Summary level: 160, state:36> place:18256",10630,7884,2746
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",10065,8777,1288
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",2055,2005,50
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",254,226,28
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7405,5756,1649
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4552,3449,1103
"Valatie village, New York: Summary level: 160, state:36> place:76617",1473,1232,241
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",525,447,78
