,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",288691,215430,73261
"Bronx County, New York: Summary level: 050, state:36> county:005",1365474,1169620,195854
"Broome County, New York: Summary level: 050, state:36> county:007",187770,147624,40146
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76708,61534,15174
"Cayuga County, New York: Summary level: 050, state:36> county:011",75912,62799,13113
"Chautauqua County, New York: Summary level: 050, state:36> county:013",126930,103241,23689
"Chemung County, New York: Summary level: 050, state:36> county:015",83859,67808,16051
"Clinton County, New York: Summary level: 050, state:36> county:019",73514,59728,13786
"Dutchess County, New York: Summary level: 050, state:36> county:027",278665,234073,44592
"Erie County, New York: Summary level: 050, state:36> county:029",890528,705631,184897
"Jefferson County, New York: Summary level: 050, state:36> county:045",114057,97302,16755
"Kings County, New York: Summary level: 050, state:36> county:047",2527449,2077245,450204
"Livingston County, New York: Summary level: 050, state:36> county:051",58585,48085,10500
"Madison County, New York: Summary level: 050, state:36> county:053",67229,57616,9613
"Monroe County, New York: Summary level: 050, state:36> county:055",721240,566676,154564
"Nassau County, New York: Summary level: 050, state:36> county:059",1328274,1204275,123999
"New York County, New York: Summary level: 050, state:36> county:061",1557414,965336,592078
"Niagara County, New York: Summary level: 050, state:36> county:063",211044,172243,38801
"Oneida County, New York: Summary level: 050, state:36> county:065",221313,178901,42412
"Onondaga County, New York: Summary level: 050, state:36> county:067",447604,351307,96297
"Ontario County, New York: Summary level: 050, state:36> county:069",104660,84134,20526
"Orange County, New York: Summary level: 050, state:36> county:071",361833,320044,41789
"Oswego County, New York: Summary level: 050, state:36> county:075",116703,98197,18506
"Putnam County, New York: Summary level: 050, state:36> county:079",97168,87388,9780
"Queens County, New York: Summary level: 050, state:36> county:081",2245502,1907398,338104
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153868,121296,32572
"Richmond County, New York: Summary level: 050, state:36> county:085",463814,408979,54835
"Rockland County, New York: Summary level: 050, state:36> county:087",310563,279688,30875
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",100979,80020,20959
"Saratoga County, New York: Summary level: 050, state:36> county:091",218017,178338,39679
"Schenectady County, New York: Summary level: 050, state:36> county:093",150622,122399,28223
"Steuben County, New York: Summary level: 050, state:36> county:101",97207,78140,19067
"Suffolk County, New York: Summary level: 050, state:36> county:103",1466243,1307440,158803
"Sullivan County, New York: Summary level: 050, state:36> county:105",72570,59796,12774
"Tompkins County, New York: Summary level: 050, state:36> county:109",88986,59153,29833
"Ulster County, New York: Summary level: 050, state:36> county:111",168905,136148,32757
"Warren County, New York: Summary level: 050, state:36> county:113",64669,51541,13128
"Wayne County, New York: Summary level: 050, state:36> county:117",91219,77917,13302
"Westchester County, New York: Summary level: 050, state:36> county:119",935516,806686,128830
