,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153555,120939,32616
"Chautauqua County, New York: Summary level: 050, state:36> county:013",122065,96833,25232
"Clinton County, New York: Summary level: 050, state:36> county:019",72610,58898,13712
"New York County, New York: Summary level: 050, state:36> county:061",1568288,990045,578243
"Saratoga County, New York: Summary level: 050, state:36> county:091",226369,183940,42429
"Tompkins County, New York: Summary level: 050, state:36> county:109",89012,59387,29625
"Oneida County, New York: Summary level: 050, state:36> county:065",216607,177175,39432
"Oswego County, New York: Summary level: 050, state:36> county:075",113217,91888,21329
"Nassau County, New York: Summary level: 050, state:36> county:059",1338598,1206012,132586
"Orange County, New York: Summary level: 050, state:36> county:071",370876,325219,45657
"Rockland County, New York: Summary level: 050, state:36> county:087",319273,288305,30968
"Ontario County, New York: Summary level: 050, state:36> county:069",106174,85326,20848
"Chemung County, New York: Summary level: 050, state:36> county:015",79889,63232,16657
"Jefferson County, New York: Summary level: 050, state:36> county:045",105797,84475,21322
"Erie County, New York: Summary level: 050, state:36> county:029",891342,697881,193461
"Ulster County, New York: Summary level: 050, state:36> county:111",166494,131821,34673
"Westchester County, New York: Summary level: 050, state:36> county:119",941392,804848,136544
"Warren County, New York: Summary level: 050, state:36> county:113",63314,50379,12935
"Niagara County, New York: Summary level: 050, state:36> county:063",206654,165559,41095
"Putnam County, New York: Summary level: 050, state:36> county:079",96749,86189,10560
"Livingston County, New York: Summary level: 050, state:36> county:051",56712,44724,11988
"Suffolk County, New York: Summary level: 050, state:36> county:103",1454489,1287483,167006
"Cayuga County, New York: Summary level: 050, state:36> county:011",72788,57145,15643
"Kings County, New York: Summary level: 050, state:36> county:047",2540638,2032204,508434
"Onondaga County, New York: Summary level: 050, state:36> county:067",442223,353686,88537
"Albany County, New York: Summary level: 050, state:36> county:001",288838,221751,67087
"Madison County, New York: Summary level: 050, state:36> county:053",65387,54928,10459
"Queens County, New York: Summary level: 050, state:36> county:081",2250479,1917332,333147
"Wayne County, New York: Summary level: 050, state:36> county:117",88357,74544,13813
"Bronx County, New York: Summary level: 050, state:36> county:005",1389245,1172775,216470
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",96459,78237,18222
"Richmond County, New York: Summary level: 050, state:36> county:085",469393,413506,55887
"Schenectady County, New York: Summary level: 050, state:36> county:093",150720,121014,29706
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",74251,60848,13403
"Monroe County, New York: Summary level: 050, state:36> county:055",715019,558553,156466
"Sullivan County, New York: Summary level: 050, state:36> county:105",72271,58978,13293
"Broome County, New York: Summary level: 050, state:36> county:007",181894,142338,39556
"Dutchess County, New York: Summary level: 050, state:36> county:027",276213,231621,44592
"Steuben County, New York: Summary level: 050, state:36> county:101",93996,76403,17593
