,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",290868,220357,70511
"Bronx County, New York: Summary level: 050, state:36> county:005",1395991,1199264,196727
"Broome County, New York: Summary level: 050, state:36> county:007",186847,147568,39279
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",75885,62152,13733
"Cayuga County, New York: Summary level: 050, state:36> county:011",74488,60993,13495
"Chautauqua County, New York: Summary level: 050, state:36> county:013",125683,101087,24596
"Chemung County, New York: Summary level: 050, state:36> county:015",83062,67446,15616
"Clinton County, New York: Summary level: 050, state:36> county:019",74094,58035,16059
"Dutchess County, New York: Summary level: 050, state:36> county:027",278306,233128,45178
"Erie County, New York: Summary level: 050, state:36> county:029",894669,703293,191376
"Jefferson County, New York: Summary level: 050, state:36> county:045",112535,94282,18253
"Kings County, New York: Summary level: 050, state:36> county:047",2580620,2108114,472506
"Livingston County, New York: Summary level: 050, state:36> county:051",58338,46393,11945
"Madison County, New York: Summary level: 050, state:36> county:053",67106,55920,11186
"Monroe County, New York: Summary level: 050, state:36> county:055",724069,571196,152873
"Nassau County, New York: Summary level: 050, state:36> county:059",1337917,1210101,127816
"New York County, New York: Summary level: 050, state:36> county:061",1576684,991736,584948
"Niagara County, New York: Summary level: 050, state:36> county:063",209380,170159,39221
"Oneida County, New York: Summary level: 050, state:36> county:065",220130,178433,41697
"Onondaga County, New York: Summary level: 050, state:36> county:067",449906,359633,90273
"Ontario County, New York: Summary level: 050, state:36> county:069",106064,85463,20601
"Orange County, New York: Summary level: 050, state:36> county:071",365573,320026,45547
"Oswego County, New York: Summary level: 050, state:36> county:075",115945,94043,21902
"Putnam County, New York: Summary level: 050, state:36> county:079",96849,86451,10398
"Queens County, New York: Summary level: 050, state:36> county:081",2293616,1957818,335798
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153841,122865,30976
"Richmond County, New York: Summary level: 050, state:36> county:085",466580,415745,50835
"Rockland County, New York: Summary level: 050, state:36> county:087",317056,286368,30688
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",99464,79289,20175
"Saratoga County, New York: Summary level: 050, state:36> county:091",220226,180266,39960
"Schenectady County, New York: Summary level: 050, state:36> county:093",151072,122257,28815
"Steuben County, New York: Summary level: 050, state:36> county:101",96631,76761,19870
"Suffolk County, New York: Summary level: 050, state:36> county:103",1469971,1309274,160697
"Sullivan County, New York: Summary level: 050, state:36> county:105",71668,59396,12272
"Tompkins County, New York: Summary level: 050, state:36> county:109",90932,60167,30765
"Ulster County, New York: Summary level: 050, state:36> county:111",168901,134429,34472
"Warren County, New York: Summary level: 050, state:36> county:113",64163,51887,12276
"Wayne County, New York: Summary level: 050, state:36> county:117",90149,75860,14289
"Westchester County, New York: Summary level: 050, state:36> county:119",945650,821371,124279
