,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",292312,213856,78456
"Bronx County, New York: Summary level: 050, state:36> county:005",1414305,1209851,204454
"Broome County, New York: Summary level: 050, state:36> county:007",186403,141656,44747
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",75204,59945,15259
"Cayuga County, New York: Summary level: 050, state:36> county:011",73809,59576,14233
"Chautauqua County, New York: Summary level: 050, state:36> county:013",124690,100644,24046
"Chemung County, New York: Summary level: 050, state:36> county:015",82478,66632,15846
"Clinton County, New York: Summary level: 050, state:36> county:019",73740,57203,16537
"Dutchess County, New York: Summary level: 050, state:36> county:027",277390,237884,39506
"Erie County, New York: Summary level: 050, state:36> county:029",895053,699260,195793
"Jefferson County, New York: Summary level: 050, state:36> county:045",111619,94634,16985
"Kings County, New York: Summary level: 050, state:36> county:047",2597054,2110450,486604
"Livingston County, New York: Summary level: 050, state:36> county:051",58371,47805,10566
"Madison County, New York: Summary level: 050, state:36> county:053",66720,54068,12652
"Monroe County, New York: Summary level: 050, state:36> county:055",723379,576860,146519
"Nassau County, New York: Summary level: 050, state:36> county:059",1341365,1216936,124429
"New York County, New York: Summary level: 050, state:36> county:061",1585175,976635,608540
"Niagara County, New York: Summary level: 050, state:36> county:063",208515,168445,40070
"Oneida County, New York: Summary level: 050, state:36> county:065",220171,179351,40820
"Onondaga County, New York: Summary level: 050, state:36> county:067",449321,350634,98687
"Ontario County, New York: Summary level: 050, state:36> county:069",105664,84643,21021
"Orange County, New York: Summary level: 050, state:36> county:071",366047,316886,49161
"Oswego County, New York: Summary level: 050, state:36> county:075",115333,96046,19287
"Putnam County, New York: Summary level: 050, state:36> county:079",96170,84404,11766
"Queens County, New York: Summary level: 050, state:36> county:081",2310954,1983647,327307
"Rensselaer County, New York: Summary level: 050, state:36> county:083",154459,122857,31602
"Richmond County, New York: Summary level: 050, state:36> county:085",467516,421590,45926
"Rockland County, New York: Summary level: 050, state:36> county:087",318982,289500,29482
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",98824,78166,20658
"Saratoga County, New York: Summary level: 050, state:36> county:091",222170,188099,34071
"Schenectady County, New York: Summary level: 050, state:36> county:093",149873,124694,25179
"Steuben County, New York: Summary level: 050, state:36> county:101",95829,78540,17289
"Suffolk County, New York: Summary level: 050, state:36> county:103",1469390,1300446,168944
"Sullivan County, New York: Summary level: 050, state:36> county:105",70900,58443,12457
"Tompkins County, New York: Summary level: 050, state:36> county:109",91373,59247,32126
"Ulster County, New York: Summary level: 050, state:36> county:111",168513,134528,33985
"Warren County, New York: Summary level: 050, state:36> county:113",63881,50933,12948
"Wayne County, New York: Summary level: 050, state:36> county:117",89773,73711,16062
"Westchester County, New York: Summary level: 050, state:36> county:119",950695,823457,127238
