,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",291817,216633,75184
"Bronx County, New York: Summary level: 050, state:36> county:005",1429395,1228219,201176
"Broome County, New York: Summary level: 050, state:36> county:007",183206,138924,44282
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",74658,59992,14666
"Cayuga County, New York: Summary level: 050, state:36> county:011",73098,60538,12560
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123212,101255,21957
"Chemung County, New York: Summary level: 050, state:36> county:015",80589,67164,13425
"Clinton County, New York: Summary level: 050, state:36> county:019",73226,55402,17824
"Dutchess County, New York: Summary level: 050, state:36> county:027",276731,229110,47621
"Erie County, New York: Summary level: 050, state:36> county:029",896832,706298,190534
"Jefferson County, New York: Summary level: 050, state:36> county:045",107394,88333,19061
"Kings County, New York: Summary level: 050, state:36> county:047",2608227,2095440,512787
"Livingston County, New York: Summary level: 050, state:36> county:051",57287,46744,10543
"Madison County, New York: Summary level: 050, state:36> county:053",65941,53320,12621
"Monroe County, New York: Summary level: 050, state:36> county:055",719513,569100,150413
"Nassau County, New York: Summary level: 050, state:36> county:059",1349135,1219979,129156
"New York County, New York: Summary level: 050, state:36> county:061",1605400,1037197,568203
"Niagara County, New York: Summary level: 050, state:36> county:063",207437,167574,39863
"Oneida County, New York: Summary level: 050, state:36> county:065",218660,178804,39856
"Onondaga County, New York: Summary level: 050, state:36> county:067",444499,353638,90861
"Ontario County, New York: Summary level: 050, state:36> county:069",106064,87610,18454
"Orange County, New York: Summary level: 050, state:36> county:071",371430,326456,44974
"Oswego County, New York: Summary level: 050, state:36> county:075",113550,93903,19647
"Putnam County, New York: Summary level: 050, state:36> county:079",96539,83247,13292
"Queens County, New York: Summary level: 050, state:36> county:081",2331903,1985007,346896
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153711,115661,38050
"Richmond County, New York: Summary level: 050, state:36> county:085",472462,422965,49497
"Rockland County, New York: Summary level: 050, state:36> county:087",322304,287671,34633
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",97932,78194,19738
"Saratoga County, New York: Summary level: 050, state:36> county:091",226097,186453,39644
"Schenectady County, New York: Summary level: 050, state:36> county:093",150790,125459,25331
"Steuben County, New York: Summary level: 050, state:36> county:101",94464,77832,16632
"Suffolk County, New York: Summary level: 050, state:36> county:103",1464916,1296421,168495
"Sullivan County, New York: Summary level: 050, state:36> county:105",71517,59689,11828
"Tompkins County, New York: Summary level: 050, state:36> county:109",91365,60601,30764
"Ulster County, New York: Summary level: 050, state:36> county:111",167725,135368,32357
"Warren County, New York: Summary level: 050, state:36> county:113",63678,48899,14779
"Wayne County, New York: Summary level: 050, state:36> county:117",88906,73173,15733
"Westchester County, New York: Summary level: 050, state:36> county:119",954037,824776,129261
