,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Bronx County, New York: Summary level: 050, state:36> county:005",1365685,1126773,238912
"Onondaga County, New York: Summary level: 050, state:36> county:067",441740,346341,95399
"Clinton County, New York: Summary level: 050, state:36> county:019",72717,54243,18474
"Putnam County, New York: Summary level: 050, state:36> county:079",96042,83111,12931
"Ontario County, New York: Summary level: 050, state:36> county:069",106369,83677,22692
"Steuben County, New York: Summary level: 050, state:36> county:101",93758,74687,19071
"Chautauqua County, New York: Summary level: 050, state:36> county:013",121787,94232,27555
"Kings County, New York: Summary level: 050, state:36> county:047",2516360,2022267,494093
"Saratoga County, New York: Summary level: 050, state:36> county:091",226431,186481,39950
"Westchester County, New York: Summary level: 050, state:36> county:119",943432,814865,128567
"Richmond County, New York: Summary level: 050, state:36> county:085",469395,415412,53983
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",96394,77532,18862
"Tompkins County, New York: Summary level: 050, state:36> county:109",89045,56098,32947
"Warren County, New York: Summary level: 050, state:36> county:113",63067,48682,14385
"Dutchess County, New York: Summary level: 050, state:36> county:027",277136,231310,45826
"Monroe County, New York: Summary level: 050, state:36> county:055",715509,554423,161086
"Oneida County, New York: Summary level: 050, state:36> county:065",216815,173714,43101
"Ulster County, New York: Summary level: 050, state:36> county:111",166216,132109,34107
"Chemung County, New York: Summary level: 050, state:36> county:015",79120,64509,14611
"Livingston County, New York: Summary level: 050, state:36> county:051",57432,45728,11704
"Madison County, New York: Summary level: 050, state:36> county:053",65520,55661,9859
"Albany County, New York: Summary level: 050, state:36> county:001",288463,219981,68482
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",73633,58837,14796
"Schenectady County, New York: Summary level: 050, state:36> county:093",150724,123142,27582
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153062,122243,30819
"Queens County, New York: Summary level: 050, state:36> county:081",2224481,1890211,334270
"New York County, New York: Summary level: 050, state:36> county:061",1564022,976285,587737
"Cayuga County, New York: Summary level: 050, state:36> county:011",72475,56680,15795
"Rockland County, New York: Summary level: 050, state:36> county:087",319965,291867,28098
"Niagara County, New York: Summary level: 050, state:36> county:063",205710,161875,43835
"Nassau County, New York: Summary level: 050, state:36> county:059",1338530,1202436,136094
"Jefferson County, New York: Summary level: 050, state:36> county:045",103400,86685,16715
"Suffolk County, New York: Summary level: 050, state:36> county:103",1450728,1278776,171952
"Oswego County, New York: Summary level: 050, state:36> county:075",112595,89872,22723
"Wayne County, New York: Summary level: 050, state:36> county:117",88520,72117,16403
"Broome County, New York: Summary level: 050, state:36> county:007",180907,136973,43934
"Erie County, New York: Summary level: 050, state:36> county:029",891943,692941,199002
"Sullivan County, New York: Summary level: 050, state:36> county:105",71955,57412,14543
"Orange County, New York: Summary level: 050, state:36> county:071",374619,325235,49384
