,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",285796,214570,71226
"Bronx County, New York: Summary level: 050, state:36> county:005",1341367,1155129,186238
"Broome County, New York: Summary level: 050, state:36> county:007",188187,150479,37708
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77076,63015,14061
"Cayuga County, New York: Summary level: 050, state:36> county:011",75503,63563,11940
"Chautauqua County, New York: Summary level: 050, state:36> county:013",128195,101621,26574
"Chemung County, New York: Summary level: 050, state:36> county:015",83297,66318,16979
"Clinton County, New York: Summary level: 050, state:36> county:019",75426,60421,15005
"Dutchess County, New York: Summary level: 050, state:36> county:027",279747,240062,39685
"Erie County, New York: Summary level: 050, state:36> county:029",892136,702773,189363
"Jefferson County, New York: Summary level: 050, state:36> county:045",113539,94282,19257
"Kings County, New York: Summary level: 050, state:36> county:047",2467003,2046274,420729
"Livingston County, New York: Summary level: 050, state:36> county:051",59706,49166,10540
"Madison County, New York: Summary level: 050, state:36> county:053",68923,57030,11893
"Monroe County, New York: Summary level: 050, state:36> county:055",715861,575045,140816
"Nassau County, New York: Summary level: 050, state:36> county:059",1318676,1188744,129932
"New York County, New York: Summary level: 050, state:36> county:061",1539694,973163,566531
"Niagara County, New York: Summary level: 050, state:36> county:063",212288,173521,38767
"Oneida County, New York: Summary level: 050, state:36> county:065",220658,181180,39478
"Onondaga County, New York: Summary level: 050, state:36> county:067",448543,358788,89755
"Ontario County, New York: Summary level: 050, state:36> county:069",105706,84935,20771
"Orange County, New York: Summary level: 050, state:36> county:071",361271,318563,42708
"Oswego County, New York: Summary level: 050, state:36> county:075",116664,95312,21352
"Putnam County, New York: Summary level: 050, state:36> county:079",92889,83288,9601
"Queens County, New York: Summary level: 050, state:36> county:081",2211669,1895158,316511
"Rensselaer County, New York: Summary level: 050, state:36> county:083",154987,119410,35577
"Richmond County, New York: Summary level: 050, state:36> county:085",459635,414910,44725
"Rockland County, New York: Summary level: 050, state:36> county:087",302336,273224,29112
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",100146,81839,18307
"Saratoga County, New York: Summary level: 050, state:36> county:091",215768,174287,41481
"Schenectady County, New York: Summary level: 050, state:36> county:093",152308,126536,25772
"Steuben County, New York: Summary level: 050, state:36> county:101",97450,77651,19799
"Suffolk County, New York: Summary level: 050, state:36> county:103",1466152,1310612,155540
"Sullivan County, New York: Summary level: 050, state:36> county:105",74623,61348,13275
"Tompkins County, New York: Summary level: 050, state:36> county:109",86046,55213,30833
"Ulster County, New York: Summary level: 050, state:36> county:111",166414,133782,32632
"Warren County, New York: Summary level: 050, state:36> county:113",64540,51524,13016
"Wayne County, New York: Summary level: 050, state:36> county:117",92245,79359,12886
"Westchester County, New York: Summary level: 050, state:36> county:119",923404,798776,124628
