,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Bolivar village, New York: Summary level: 160, state:36> place:07190",1060,870,190
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",657,519,138
"Boonville village, New York: Summary level: 160, state:36> place:07355",1845,1303,542
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",691,551,140
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",655,595,60
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",56299,52673,3626
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",4373,3659,714
"Brewster village, New York: Summary level: 160, state:36> place:08070",2420,1859,561
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1581,1374,207
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7174,6455,719
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1347,1158,189
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1319,923,396
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",484,420,64
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",33811,24375,9436
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3097,2786,311
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2763,2490,273
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1596,1378,218
"Brockport village, New York: Summary level: 160, state:36> place:08466",5736,3814,1922
"Brocton village, New York: Summary level: 160, state:36> place:08488",1562,1250,312
"Bronxville village, New York: Summary level: 160, state:36> place:08532",6088,5461,627
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",2604,2211,393
"Brookville village, New York: Summary level: 160, state:36> place:10132",2641,2560,81
"Brownville village, New York: Summary level: 160, state:36> place:10231",828,720,108
"Brushton village, New York: Summary level: 160, state:36> place:10286",491,423,68
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2236,1950,286
"Buffalo city, New York: Summary level: 160, state:36> place:11000",250914,183757,67157
"Burdett village, New York: Summary level: 160, state:36> place:11132",305,223,82
"Burke village, New York: Summary level: 160, state:36> place:11154",172,147,25
"Busti CDP, New York: Summary level: 160, state:36> place:11440",435,359,76
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",136,129,7
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1225,1002,223
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3292,2875,417
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2168,1713,455
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",136,83,53
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",6384,5062,1322
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1672,1302,370
"Camden village, New York: Summary level: 160, state:36> place:11847",2299,1873,426
"Camillus village, New York: Summary level: 160, state:36> place:11902",1214,902,312
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",755,675,80
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",2285,1866,419
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",10182,6965,3217
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",676,602,74
"Canastota village, New York: Summary level: 160, state:36> place:12188",4748,3700,1048
"Candor village, New York: Summary level: 160, state:36> place:12210",765,597,168
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2269,1961,308
"Canton village, New York: Summary level: 160, state:36> place:12331",3417,2318,1099
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",623,454,169
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",5598,5037,561
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6195,5511,684
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",489,406,83
"Carthage village, New York: Summary level: 160, state:36> place:12683",3697,2960,737
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",694,592,102
"Castile village, New York: Summary level: 160, state:36> place:12771",1063,907,156
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1331,1138,193
"Castorland village, New York: Summary level: 160, state:36> place:12881",269,223,46
"Cato village, New York: Summary level: 160, state:36> place:12958",569,488,81
"Catskill village, New York: Summary level: 160, state:36> place:13002",3854,3254,600
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",1104,951,153
"Cayuga village, New York: Summary level: 160, state:36> place:13068",526,460,66
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",3074,2043,1031
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",2048,1543,505
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6592,6038,554
"Celoron village, New York: Summary level: 160, state:36> place:13288",1185,866,319
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",32508,29699,2809
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",7858,7058,800
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5545,5143,402
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",313,242,71
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",36625,33430,3195
"Central Square village, New York: Summary level: 160, state:36> place:13585",2022,1632,390
"Centre Island village, New York: Summary level: 160, state:36> place:13618",385,346,39
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1971,1760,211
"Champlain village, New York: Summary level: 160, state:36> place:13739",978,632,346
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1132,974,158
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",645,515,130
"Chatham village, New York: Summary level: 160, state:36> place:14003",1621,1242,379
"Chaumont village, New York: Summary level: 160, state:36> place:14036",624,521,103
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",318,289,29
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",539,522,17
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",73804,57989,15815
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2940,2573,367
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",518,459,59
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",471,304,167
"Chester village, New York: Summary level: 160, state:36> place:15297",3949,3183,766
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",883,802,81
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7730,6850,880
"Chittenango village, New York: Summary level: 160, state:36> place:15561",4971,4118,853
"Churchville village, New York: Summary level: 160, state:36> place:15638",1953,1546,407
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2458,2021,437
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",2125,1950,175
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",2016,1453,563
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4531,4159,372
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",717,514,203
"Clayton village, New York: Summary level: 160, state:36> place:16089",1942,1516,426
"Clayville village, New York: Summary level: 160, state:36> place:16111",357,254,103
"Cleveland village, New York: Summary level: 160, state:36> place:16188",785,669,116
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",1877,1364,513
"Clinton village, New York: Summary level: 160, state:36> place:16419",2085,1601,484
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1190,827,363
"Clyde village, New York: Summary level: 160, state:36> place:16573",1974,1701,273
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",3302,2296,1006
"Cohocton village, New York: Summary level: 160, state:36> place:16727",1078,936,142
"Cohoes city, New York: Summary level: 160, state:36> place:16749",15700,11246,4454
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",320,270,50
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1755,1249,506
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",4897,4473,424
"Colonie village, New York: Summary level: 160, state:36> place:17332",7826,6339,1487
"Colton CDP, New York: Summary level: 160, state:36> place:17398",403,304,99
"Commack CDP, New York: Summary level: 160, state:36> place:17530",35165,32814,2351
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",298,261,37
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2993,2129,864
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8744,8087,657
"Constableville village, New York: Summary level: 160, state:36> place:17882",267,179,88
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1028,878,150
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",442,265,177
