,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",2168,1682,486
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",3546,2920,626
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",7243,6577,666
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3224,2671,553
"Orient CDP, New York: Summary level: 160, state:36> place:55321",698,530,168
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1245,1037,208
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",802,684,118
"Ossining village, New York: Summary level: 160, state:36> place:55530",23063,19907,3156
"Oswego city, New York: Summary level: 160, state:36> place:55574",17222,12196,5026
"Otego village, New York: Summary level: 160, state:36> place:55618",1192,1068,124
"Otisville village, New York: Summary level: 160, state:36> place:55673",1173,1033,140
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19654,16687,2967
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",5990,5283,707
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",2255,1540,715
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6533,5463,1070
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4413,3535,878
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1127,862,265
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4151,3377,774
"East Hills village, New York: Summary level: 160, state:36> place:22260",6974,6752,222
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13601,12475,1126
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2341,1353,988
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",234,208,26
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",1012,768,244
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",19047,17080,1967
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",35694,32498,3196
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",4950,4198,752
"East Nassau village, New York: Summary level: 160, state:36> place:22557",565,447,118
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",19755,18074,1681
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2663,2499,164
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",21962,18705,3257
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",1466,1210,256
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4777,4175,602
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",530,467,63
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6489,5098,1391
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9728,8586,1142
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6365,5996,369
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",3058,2263,795
"East Williston village, New York: Summary level: 160, state:36> place:23217",2570,2447,123
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1323,1222,101
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3407,3033,374
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",778,674,104
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",14620,11271,3349
"Elba village, New York: Summary level: 160, state:36> place:23745",689,606,83
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1006,893,113
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",596,371,225
"Ellenville village, New York: Summary level: 160, state:36> place:23965",4068,3547,521
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",259,148,111
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",200,160,40
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",2656,2146,510
"Elmira city, New York: Summary level: 160, state:36> place:24229",25043,18813,6230
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4161,3320,841
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",35949,33865,2084
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4698,3837,861
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",10591,9870,721
"Endicott village, New York: Summary level: 160, state:36> place:24515",12848,9333,3515
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11122,8701,2421
"Erin CDP, New York: Summary level: 160, state:36> place:24625",367,286,81
"Esperance village, New York: Summary level: 160, state:36> place:24713",408,343,65
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",586,487,99
"Fabius village, New York: Summary level: 160, state:36> place:24867",377,326,51
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",694,491,203
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",10145,8403,1742
"Fairport village, New York: Summary level: 160, state:36> place:25076",5321,4372,949
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",4608,3798,810
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",2990,2396,594
"Falconer village, New York: Summary level: 160, state:36> place:25164",2690,2223,467
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",7995,6603,1392
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",16001,15030,971
"Farnham village, New York: Summary level: 160, state:36> place:25428",335,285,50
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4367,3154,1213
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",181,100,81
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",643,524,119
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",352,307,45
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5123,4373,750
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",291,233,58
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",40,10,30
"Fishkill village, New York: Summary level: 160, state:36> place:25967",2248,1687,561
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4763,4398,365
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",315,262,53
"Floral Park village, New York: Summary level: 160, state:36> place:26264",15965,14451,1514
"Florida village, New York: Summary level: 160, state:36> place:26319",2834,2341,493
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4676,4487,189
"Fonda village, New York: Summary level: 160, state:36> place:26462",746,603,143
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",792,603,189
"Forestville village, New York: Summary level: 160, state:36> place:26649",797,677,120
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",546,497,49
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1457,1250,207
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",11229,10568,661
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3331,2753,578
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",516,420,96
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1318,1109,209
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",2206,1890,316
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9671,8966,705
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",432,432,0
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2576,2160,416
"Franklin village, New York: Summary level: 160, state:36> place:27221",354,276,78
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",30394,28208,2186
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1821,1450,371
"Fredonia village, New York: Summary level: 160, state:36> place:27419",8510,5531,2979
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",495,408,87
"Freeport village, New York: Summary level: 160, state:36> place:27485",42439,37071,5368
"Freeville village, New York: Summary level: 160, state:36> place:27529",572,474,98
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",2074,1701,373
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1050,901,149
"Fulton city, New York: Summary level: 160, state:36> place:27815",11732,9560,2172
"Fultonville village, New York: Summary level: 160, state:36> place:27859",672,577,95
"Gainesville village, New York: Summary level: 160, state:36> place:27969",250,214,36
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4546,3232,1314
"Galway village, New York: Summary level: 160, state:36> place:28101",290,242,48
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",3974,3217,757
"Garden City village, New York: Summary level: 160, state:36> place:28178",21346,19915,1431
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",7662,6893,769
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",3952,3576,376
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",625,421,204
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",4501,4117,384
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",887,730,157
"Gates CDP, New York: Summary level: 160, state:36> place:28453",5254,4611,643
"Geneseo village, New York: Summary level: 160, state:36> place:28618",4688,2568,2120
"Geneva city, New York: Summary level: 160, state:36> place:28640",10820,7567,3253
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",914,795,119
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",414,358,56
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",343,285,58
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",248,217,31
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",2143,1781,362
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",323,255,68
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",26260,22444,3816
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",4651,4209,442
"Glen Park village, New York: Summary level: 160, state:36> place:29322",483,421,62
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",14427,10114,4313
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",8687,6981,1706
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",3799,3547,252
"Gloversville city, New York: Summary level: 160, state:36> place:29443",15253,11839,3414
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",1478,1253,225
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",3836,3568,268
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",795,744,51
"Goshen village, New York: Summary level: 160, state:36> place:29542",5052,4094,958
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3871,3398,473
"Gowanda village, New York: Summary level: 160, state:36> place:29630",2258,1672,586
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",342,264,78
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",4654,3958,696
"Granville village, New York: Summary level: 160, state:36> place:30026",2297,1813,484
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",1073,901,172
"Great Neck village, New York: Summary level: 160, state:36> place:30169",10014,8878,1136
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",2776,2610,166
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",1141,1125,16
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",6551,4806,1745
"Great River CDP, New York: Summary level: 160, state:36> place:30235",1586,1478,108
"Greece CDP, New York: Summary level: 160, state:36> place:30279",14316,11745,2571
"Greene village, New York: Summary level: 160, state:36> place:30411",1715,1375,340
"Green Island village, New York: Summary level: 160, state:36> place:30521",2609,1908,701
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",13859,12449,1410
"Greenport village, New York: Summary level: 160, state:36> place:30576",2222,1563,659
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",1813,1296,517
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",703,588,115
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",723,480,243
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",7053,6665,388
"Greenwich village, New York: Summary level: 160, state:36> place:30675",1918,1577,341
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",3139,2494,645
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",259,259,0
"Groton village, New York: Summary level: 160, state:36> place:30961",2263,1784,479
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",267,248,19
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",263,184,79
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",877,631,246
"Hagaman village, New York: Summary level: 160, state:36> place:31291",1178,992,186
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",573,436,137
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",2753,2432,321
"Hall CDP, New York: Summary level: 160, state:36> place:31533",213,197,16
"Hamburg village, New York: Summary level: 160, state:36> place:31643",9390,7634,1756
"Hamilton village, New York: Summary level: 160, state:36> place:31709",1757,1131,626
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",5381,4791,590
"Hammond village, New York: Summary level: 160, state:36> place:31830",340,307,33
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",692,476,216
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",12553,10057,2496
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",1894,1406,488
"Hancock village, New York: Summary level: 160, state:36> place:31940",857,687,170
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",1049,781,268
"Hannibal village, New York: Summary level: 160, state:36> place:32017",700,577,123
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",531,524,7
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",1485,1417,68
"Harriman village, New York: Summary level: 160, state:36> place:32325",2636,2092,544
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",5270,4493,777
"Harrison village, New York: Summary level: 160, state:36> place:32402",24299,21907,2392
"Harrisville village, New York: Summary level: 160, state:36> place:32424",548,465,83
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",5219,3902,1317
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",510,377,133
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",7571,6577,994
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",21047,19222,1825
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",11497,10003,1494
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",3681,3197,484
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",4752,4326,426
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",1319,1200,119
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",451,412,39
"Hempstead village, New York: Summary level: 160, state:36> place:33139",53313,45450,7863
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",201,169,32
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",4092,2867,1225
"Herkimer village, New York: Summary level: 160, state:36> place:34121",7012,5145,1867
"Hermon village, New York: Summary level: 160, state:36> place:34165",342,243,99
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",4339,4105,234
"Herrings village, New York: Summary level: 160, state:36> place:34220",76,69,7
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",691,552,139
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",6655,6210,445
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",428,403,25
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",1257,1177,80
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",381,364,17
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",41648,38161,3487
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",717,536,181
"Highland CDP, New York: Summary level: 160, state:36> place:34484",5029,3966,1063
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",3872,3015,857
"Hillburn village, New York: Summary level: 160, state:36> place:34660",880,804,76
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",7569,7277,292
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",732,643,89
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",996,895,101
"Hilton village, New York: Summary level: 160, state:36> place:34847",5937,5205,732
"Hobart village, New York: Summary level: 160, state:36> place:34979",478,424,54
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",27071,24439,2632
"Holland CDP, New York: Summary level: 160, state:36> place:35111",1224,945,279
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",421,371,50
"Holley village, New York: Summary level: 160, state:36> place:35155",1991,1581,410
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",20033,18269,1764
"Homer village, New York: Summary level: 160, state:36> place:35276",3258,2653,605
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",495,393,102
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",2671,2193,478
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",3387,2809,578
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",528,474,54
"Hornell city, New York: Summary level: 160, state:36> place:35672",8278,6502,1776
"Horseheads village, New York: Summary level: 160, state:36> place:35694",6398,4801,1597
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",2805,2328,477
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",249,244,5
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",750,626,124
"Hudson city, New York: Summary level: 160, state:36> place:35969",6088,4217,1871
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",7221,5857,1364
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",55,50,5
"Hunter village, New York: Summary level: 160, state:36> place:36167",489,374,115
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",18426,15790,2636
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",1453,1334,119
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",33045,29228,3817
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",3432,3018,414
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",2233,1873,360
"Ilion village, New York: Summary level: 160, state:36> place:37275",7871,6330,1541
"Interlaken village, New York: Summary level: 160, state:36> place:37528",601,457,144
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",9786,8919,867
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",51068,41275,9793
"Irvington village, New York: Summary level: 160, state:36> place:37803",6423,5750,673
"Islandia village, New York: Summary level: 160, state:36> place:37840",3281,2964,317
"Island Park village, New York: Summary level: 160, state:36> place:37847",4498,3906,592
"Islip CDP, New York: Summary level: 160, state:36> place:37869",18505,16615,1890
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",5185,4751,434
"Ithaca city, New York: Summary level: 160, state:36> place:38077",22421,8403,14018
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",1498,1294,204
"Jamestown city, New York: Summary level: 160, state:36> place:38264",30139,23456,6683
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",1928,1559,369
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",962,823,139
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",14546,13188,1358
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",238,165,73
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",13276,12215,1061
"Johnson City village, New York: Summary level: 160, state:36> place:38748",14583,10736,3847
"Johnstown city, New York: Summary level: 160, state:36> place:38781",8277,6323,1954
"Jordan village, New York: Summary level: 160, state:36> place:38825",1417,1251,166
"Kaser village, New York: Summary level: 160, state:36> place:38934",4837,4791,46
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",1744,1605,139
"Keeseville village, New York: Summary level: 160, state:36> place:39089",1889,1530,359
"Kenmore village, New York: Summary level: 160, state:36> place:39232",15344,11891,3453
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",514,488,26
"Kensington village, New York: Summary level: 160, state:36> place:39309",1125,1034,91
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",1668,1416,252
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",143,123,20
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",1380,1130,250
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",17257,15494,1763
"Kings Point village, New York: Summary level: 160, state:36> place:39694",4319,4179,140
"Kingston city, New York: Summary level: 160, state:36> place:39727",23008,17760,5248
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",20721,20426,295
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",70,59,11
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",17803,13383,4420
"Lacona village, New York: Summary level: 160, state:36> place:40200",606,495,111
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",473,354,119
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",7847,7273,574
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",3971,3383,588
"Lake George village, New York: Summary level: 160, state:36> place:40508",875,659,216
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",11152,10271,881
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",1833,1449,384
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",2907,2428,479
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",1137,1016,121
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",5198,4617,581
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",2557,1753,804
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",19317,17099,2218
"Lake Success village, New York: Summary level: 160, state:36> place:40937",2422,2333,89
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",5661,5577,84
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",837,753,84
"Lakewood village, New York: Summary level: 160, state:36> place:41069",2991,2544,447
"Lancaster village, New York: Summary level: 160, state:36> place:41135",10241,8171,2070
"Lansing village, New York: Summary level: 160, state:36> place:41223",3470,2474,996
"Larchmont village, New York: Summary level: 160, state:36> place:41333",5885,5221,664
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",1834,1725,109
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",1218,1035,183
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",1672,1586,86
"Laurens village, New York: Summary level: 160, state:36> place:41520",249,205,44
"Lawrence village, New York: Summary level: 160, state:36> place:41553",6499,6112,387
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",432,365,67
"Leicester village, New York: Summary level: 160, state:36> place:41872",485,414,71
"Le Roy village, New York: Summary level: 160, state:36> place:42026",4228,3639,589
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",53188,49980,3208
"Lewiston village, New York: Summary level: 160, state:36> place:42147",2591,1850,741
"Liberty village, New York: Summary level: 160, state:36> place:42224",4163,3102,1061
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",2790,2506,284
"Lima village, New York: Summary level: 160, state:36> place:42323",2168,1792,376
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",527,401,126
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",304,244,60
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",1283,1260,23
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",2459,1935,524
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",27220,24598,2622
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",73,64,9
"Lisle village, New York: Summary level: 160, state:36> place:42642",286,219,67
"Little Falls city, New York: Summary level: 160, state:36> place:42741",4781,3624,1157
"Little Valley village, New York: Summary level: 160, state:36> place:42829",1155,949,206
"Liverpool village, New York: Summary level: 160, state:36> place:42884",2257,1598,659
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",902,555,347
"Livonia village, New York: Summary level: 160, state:36> place:42950",1421,1111,310
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",238,195,43
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",3624,3467,157
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",857,754,103
"Lockport city, New York: Summary level: 160, state:36> place:43082",20721,15822,4899
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",3232,2762,470
"Lodi village, New York: Summary level: 160, state:36> place:43214",426,369,57
"Long Beach city, New York: Summary level: 160, state:36> place:43335",32173,23172,9001
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",387,322,65
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",2048,1633,415
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",196,172,24
"Lowville village, New York: Summary level: 160, state:36> place:43720",3597,2721,876
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",19442,16882,2560
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",4328,3549,779
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",905,779,126
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",368,284,84
"Lyons village, New York: Summary level: 160, state:36> place:43962",3700,2879,821
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",833,688,145
"Macedon village, New York: Summary level: 160, state:36> place:44149",1522,1319,203
"McGraw village, New York: Summary level: 160, state:36> place:44193",1064,922,142
"Machias CDP, New York: Summary level: 160, state:36> place:44226",682,601,81
"Madison village, New York: Summary level: 160, state:36> place:44424",292,222,70
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",734,599,135
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",8068,7278,790
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",298,282,16
"Malone village, New York: Summary level: 160, state:36> place:44710",5616,4403,1213
"Malverne village, New York: Summary level: 160, state:36> place:44787",8524,7495,1029
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",434,396,38
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",18671,15694,2977
"Manchester village, New York: Summary level: 160, state:36> place:44853",1607,1305,302
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",7920,7320,600
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",3711,3565,146
"Manlius village, New York: Summary level: 160, state:36> place:45018",4687,3940,747
"Mannsville village, New York: Summary level: 160, state:36> place:45073",357,322,35
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",6575,5626,949
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",14008,12677,1331
"Marathon village, New York: Summary level: 160, state:36> place:45392",1046,851,195
"Marcellus village, New York: Summary level: 160, state:36> place:45480",1618,1318,300
"Margaretville village, New York: Summary level: 160, state:36> place:45557",481,346,135
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",767,721,46
"Marion CDP, New York: Summary level: 160, state:36> place:45634",1520,1167,353
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",3370,2832,538
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",21844,20083,1761
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",17051,15869,1182
"Massena village, New York: Summary level: 160, state:36> place:46019",10707,8187,2520
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",16837,15198,1639
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",15525,14185,1340
"Matinecock village, New York: Summary level: 160, state:36> place:46107",845,778,67
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",4342,3821,521
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",6838,5380,1458
"Maybrook village, New York: Summary level: 160, state:36> place:46162",3011,2524,487
"Mayfield village, New York: Summary level: 160, state:36> place:46206",744,626,118
"Mayville village, New York: Summary level: 160, state:36> place:46239",1205,930,275
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",6597,5491,1106
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",5207,4074,1133
"Medford CDP, New York: Summary level: 160, state:36> place:46404",24561,21901,2660
"Medina village, New York: Summary level: 160, state:36> place:46415",5782,4633,1149
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",2191,1906,285
"Melville CDP, New York: Summary level: 160, state:36> place:46514",19192,17509,1683
"Menands village, New York: Summary level: 160, state:36> place:46536",3919,2812,1107
"Meridian village, New York: Summary level: 160, state:36> place:46646",315,289,26
