,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",48768,2363,4834,11647,1887,73783,48391,1853,3985,4622,111,25392,493,882,1486,225
"Bronx County, New York: Summary level: 050, state:36> county:005",378322,23545,31241,129692,16503,88816,56906,3758,5539,18092,193,31910,983,1140,4411,581
"Broome County, New York: Summary level: 050, state:36> county:007",27080,1213,2278,8238,2608,52647,29771,1051,1355,2576,75,22876,590,714,1402,98
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",9852,551,722,2578,995,22086,11749,537,938,1285,47,10337,288,368,768,16
"Cayuga County, New York: Summary level: 050, state:36> county:011",8986,682,492,1862,1315,22547,13921,934,733,1239,47,8626,116,227,503,98
"Chautauqua County, New York: Summary level: 050, state:36> county:013",18392,642,1332,5438,1591,37641,20077,968,1282,2372,109,17564,335,977,820,0
"Chemung County, New York: Summary level: 050, state:36> county:015",12213,534,559,3135,948,23431,13742,436,374,789,89,9689,135,386,754,122
"Clinton County, New York: Summary level: 050, state:36> county:019",10414,771,923,2268,911,21909,12059,620,377,781,10,9850,333,146,834,79
"Dutchess County, New York: Summary level: 050, state:36> county:027",34161,1735,2403,11564,2529,73102,52363,3592,5054,10486,65,20739,913,968,1716,288
"Erie County, New York: Summary level: 050, state:36> county:029",133253,7215,9924,36678,7886,246434,152749,6776,7246,15297,461,93685,1994,2064,6074,777
"Jefferson County, New York: Summary level: 050, state:36> county:045",20607,2021,1095,5356,2256,25715,15459,1089,1345,1804,146,10256,123,502,607,0
"Kings County, New York: Summary level: 050, state:36> county:047",642869,40355,52998,193296,37403,258193,167097,10629,17464,54339,1277,91096,3229,4949,13131,1088
"Livingston County, New York: Summary level: 050, state:36> county:051",6279,158,394,2365,458,18063,11747,586,419,1227,100,6316,80,249,325,53
"Madison County, New York: Summary level: 050, state:36> county:053",6513,259,437,1124,445,20292,12652,843,442,1419,0,7640,259,333,350,46
"Monroe County, New York: Summary level: 050, state:36> county:055",105438,6716,8906,34819,5874,191120,129840,6907,7679,13798,916,61280,1722,1748,3856,701
"Nassau County, New York: Summary level: 050, state:36> county:059",89224,4495,6623,26715,5870,352815,233048,18425,25020,52806,793,119767,4825,8150,20316,1230
"New York County, New York: Summary level: 050, state:36> county:061",568807,29390,42006,133424,23436,159713,89700,4318,4009,14502,297,70013,1663,2296,8406,684
"Niagara County, New York: Summary level: 050, state:36> county:063",26597,1475,2552,6086,1817,61251,34782,1828,1056,3456,226,26469,321,958,1724,308
"Oneida County, New York: Summary level: 050, state:36> county:065",31547,2284,2481,7739,2700,59586,34331,1368,1938,3513,465,25255,776,713,2057,238
"Onondaga County, New York: Summary level: 050, state:36> county:067",60226,3381,4540,16731,4213,120887,80953,3833,3670,7504,339,39934,1272,999,2905,382
"Ontario County, New York: Summary level: 050, state:36> county:069",11830,535,1054,2229,591,33199,22002,1198,1656,1939,38,11197,293,554,227,0
"Orange County, New York: Summary level: 050, state:36> county:071",39950,2287,2510,13624,3462,85693,62392,4240,6583,10507,412,23301,1109,1105,2803,133
"Oswego County, New York: Summary level: 050, state:36> county:075",13579,1116,2075,2986,1737,30718,18274,890,691,2171,83,12444,357,169,1078,158
"Putnam County, New York: Summary level: 050, state:36> county:079",6526,359,432,2354,347,28826,20676,1497,1354,3992,0,8150,517,189,1187,0
"Queens County, New York: Summary level: 050, state:36> county:081",436330,25669,40059,134028,22943,328495,203139,14208,19308,61257,2845,125356,4672,5681,16383,1007
"Rensselaer County, New York: Summary level: 050, state:36> county:083",21071,1559,1553,4702,1469,41641,28500,1315,2428,2904,43,13141,130,423,592,274
"Richmond County, New York: Summary level: 050, state:36> county:085",50237,2973,2928,13336,3251,111548,79961,5065,9542,17557,203,31587,776,1099,4056,220
"Rockland County, New York: Summary level: 050, state:36> county:087",29483,2069,2782,9865,1226,68731,47674,3772,5030,9662,0,21057,678,899,3002,126
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",11375,280,1147,3435,1701,29562,16582,1317,642,1542,0,12980,564,275,664,246
"Saratoga County, New York: Summary level: 050, state:36> county:091",23727,2669,1651,4705,538,66503,43556,3367,2454,4422,0,22947,529,1049,1970,212
"Schenectady County, New York: Summary level: 050, state:36> county:093",21311,1236,2259,6133,909,36380,21826,1422,1540,2673,0,14554,295,764,729,139
"Steuben County, New York: Summary level: 050, state:36> county:101",12876,582,1012,2984,852,28967,15921,621,720,1593,28,13046,243,398,729,268
"Suffolk County, New York: Summary level: 050, state:36> county:103",107950,8415,10319,32919,6839,392826,276649,22738,28431,57969,766,116177,5624,6914,17054,1441
"Sullivan County, New York: Summary level: 050, state:36> county:105",9293,354,1007,1831,1092,18138,10564,711,847,2406,120,7574,276,445,1124,132
"Tompkins County, New York: Summary level: 050, state:36> county:109",17577,838,1290,5499,2969,21568,13107,657,909,637,0,8461,273,130,258,0
"Ulster County, New York: Summary level: 050, state:36> county:111",23712,1585,1982,7177,1975,45415,29013,2008,3377,4949,207,16402,863,882,1920,176
"Warren County, New York: Summary level: 050, state:36> county:113",8793,313,884,2810,337,19091,11286,418,959,1507,28,7805,68,190,717,205
"Wayne County, New York: Summary level: 050, state:36> county:117",7752,345,628,1792,350,28676,17877,1027,1265,1383,0,10799,237,486,713,201
"Westchester County, New York: Summary level: 050, state:36> county:119",134925,9377,12641,40046,5730,208556,139328,8740,12096,29360,240,69228,3321,3416,11390,315
