,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Alden village, New York: Summary level: 160, state:36> place:01088",403,21,41,78,58,739,385,18,44,16,0,354,4,16,34,0
"Alexander village, New York: Summary level: 160, state:36> place:01154",54,4,9,2,4,144,100,2,9,9,0,44,1,0,4,0
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",219,13,13,38,19,247,147,9,10,15,0,100,2,0,9,2
"Alfred village, New York: Summary level: 160, state:36> place:01198",302,13,19,168,14,121,52,0,0,0,0,69,0,0,2,0
"Allegany village, New York: Summary level: 160, state:36> place:01286",259,5,10,69,10,468,277,24,19,23,0,191,11,0,15,0
"Almond village, New York: Summary level: 160, state:36> place:01440",56,1,4,20,7,141,92,0,1,11,0,49,0,0,0,0
"Altamont village, New York: Summary level: 160, state:36> place:01517",194,9,16,31,0,450,307,17,33,34,0,143,3,0,5,0
"Altmar village, New York: Summary level: 160, state:36> place:01550",63,11,14,25,3,73,40,5,4,0,0,33,5,3,4,0
"Altona CDP, New York: Summary level: 160, state:36> place:01572",43,0,0,6,0,86,29,0,10,6,0,57,0,0,9,0
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",70,0,10,5,0,360,167,0,12,46,0,193,6,10,58,0
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",231,30,37,40,10,177,156,0,5,32,0,21,0,0,0,0
"Ames village, New York: Summary level: 160, state:36> place:01737",14,0,2,3,0,56,34,2,0,3,0,22,0,0,2,0
"Amityville village, New York: Summary level: 160, state:36> place:02044",1166,86,90,381,110,2314,1607,113,117,282,0,707,0,44,239,0
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",3809,192,206,1221,284,3978,2339,62,104,271,22,1639,71,118,133,32
"Andes CDP, New York: Summary level: 160, state:36> place:02121",35,0,0,9,0,64,22,0,0,0,0,42,0,3,0,0
"Andover village, New York: Summary level: 160, state:36> place:02143",107,4,0,22,12,259,128,0,5,9,0,131,0,3,6,6
"Angelica village, New York: Summary level: 160, state:36> place:02176",92,15,0,26,2,299,153,3,7,7,0,146,0,0,6,0
"Angola village, New York: Summary level: 160, state:36> place:02198",203,25,23,73,15,568,389,8,27,29,4,179,8,0,16,0
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",115,0,51,32,5,527,248,0,12,0,0,279,0,8,49,0
"Antwerp village, New York: Summary level: 160, state:36> place:02286",51,2,8,6,2,146,86,3,0,14,0,60,0,0,6,0
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",169,0,0,65,11,334,202,0,0,18,0,132,0,0,0,0
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",281,22,55,50,96,582,310,0,116,43,0,272,24,0,0,0
"Arcade village, New York: Summary level: 160, state:36> place:02407",332,30,23,64,5,539,392,6,27,31,5,147,6,14,6,0
"Ardsley village, New York: Summary level: 160, state:36> place:02506",266,7,28,133,0,1272,825,27,66,197,0,447,25,28,69,0
"Argyle village, New York: Summary level: 160, state:36> place:02550",56,3,17,16,0,77,52,0,1,7,0,25,0,0,1,0
"Arkport village, New York: Summary level: 160, state:36> place:02583",77,7,11,6,0,291,147,0,1,7,0,144,1,0,4,0
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1022,14,80,447,0,417,286,0,26,35,15,131,0,24,38,0
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",109,29,0,0,28,1242,842,87,40,192,7,400,7,9,29,17
"Asharoken village, New York: Summary level: 160, state:36> place:02737",17,2,0,0,11,207,118,7,23,31,0,89,5,9,24,0
"Athens village, New York: Summary level: 160, state:36> place:02902",206,23,20,53,11,428,254,9,9,59,0,174,0,6,19,0
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",81,3,4,43,8,615,350,41,34,77,0,265,13,36,64,4
"Attica village, New York: Summary level: 160, state:36> place:03001",443,18,23,73,6,662,405,14,0,23,0,257,4,11,4,0
"Auburn city, New York: Summary level: 160, state:36> place:03078",5904,407,415,1271,467,5344,3179,164,71,260,57,2165,89,68,126,11
"Aurora village, New York: Summary level: 160, state:36> place:03188",56,0,4,6,8,108,50,0,0,1,0,58,1,9,2,0
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",63,6,0,15,3,143,62,0,0,14,0,81,10,0,11,0
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",82,0,50,0,0,549,338,0,18,25,0,211,0,20,0,0
"Avoca village, New York: Summary level: 160, state:36> place:03331",68,0,15,22,17,310,188,10,6,20,6,122,4,2,6,4
"Avon village, New York: Summary level: 160, state:36> place:03353",449,23,14,16,36,911,621,38,40,30,8,290,0,0,9,0
"Babylon village, New York: Summary level: 160, state:36> place:03408",1123,55,89,184,124,3398,2352,150,322,448,0,1046,63,25,180,7
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",209,0,6,71,12,353,228,2,23,16,0,125,0,16,6,0
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",24,0,0,0,0,618,404,97,39,70,7,214,26,10,16,0
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",1527,184,57,418,70,5970,4617,336,443,1160,36,1353,28,56,98,0
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",319,11,0,156,17,2307,1616,151,281,301,11,691,13,31,148,31
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",1146,138,76,189,37,1969,1430,79,76,136,0,539,0,10,21,0
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",1156,110,110,282,32,1267,892,44,67,82,0,375,61,13,23,0
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",234,0,29,79,8,862,693,83,60,140,0,169,11,12,18,7
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",191,0,16,69,0,1202,810,29,59,125,0,392,33,35,97,0
"Barker village, New York: Summary level: 160, state:36> place:04440",62,0,6,10,12,157,130,0,7,6,0,27,0,0,6,0
"Barneveld village, New York: Summary level: 160, state:36> place:04528",27,0,0,0,2,79,38,2,1,2,0,41,2,0,0,0
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",115,18,46,26,6,692,413,9,94,113,0,279,6,0,24,5
"Batavia city, New York: Summary level: 160, state:36> place:04715",2990,168,153,857,70,3389,2235,134,63,171,0,1154,19,13,86,13
"Bath village, New York: Summary level: 160, state:36> place:04759",1160,25,26,189,24,1662,870,21,33,34,0,792,0,46,37,0
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",90,0,17,26,5,271,194,13,18,35,0,77,9,0,23,0
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",100,0,0,0,14,647,409,46,68,59,0,238,11,18,24,0
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",1103,43,106,389,88,2114,1505,66,114,378,12,609,8,60,125,0
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",4004,309,330,997,142,5487,3938,278,650,748,0,1549,99,160,242,7
"Bayville village, New York: Summary level: 160, state:36> place:05034",438,12,40,121,31,2020,1445,204,85,298,23,575,34,42,111,18
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",285,7,29,54,0,1858,1329,148,151,326,0,529,5,27,39,0
"Beacon city, New York: Summary level: 160, state:36> place:05100",2767,220,306,651,103,2761,1956,74,152,359,0,805,31,56,97,0
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",31,0,0,9,11,766,621,56,53,25,0,145,0,6,25,0
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",133,0,37,9,38,604,402,42,34,51,0,202,6,0,15,0
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",623,10,145,228,28,554,421,11,0,137,0,133,0,0,46,0
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",206,13,10,43,18,219,114,9,3,15,0,105,11,0,7,0
"Bellerose village, New York: Summary level: 160, state:36> place:05639",21,0,0,12,6,373,245,23,12,61,0,128,0,3,17,0
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",87,15,0,14,0,485,304,42,35,84,0,181,26,10,8,0
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",9,0,9,0,0,268,135,8,16,26,0,133,6,0,15,11
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",58,22,0,36,0,30,18,0,0,6,0,12,0,0,0,0
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",616,31,78,145,0,4906,3481,321,489,692,13,1425,44,91,193,0
"Bellport village, New York: Summary level: 160, state:36> place:05771",202,28,8,36,34,836,517,34,32,128,5,319,26,0,110,0
"Belmont village, New York: Summary level: 160, state:36> place:05815",139,7,6,40,6,312,168,0,11,18,0,144,3,3,17,0
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",44,0,0,6,6,65,31,2,2,3,0,34,2,5,0,0
"Bergen village, New York: Summary level: 160, state:36> place:06046",133,2,9,21,24,356,255,15,11,13,0,101,0,0,6,0
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",582,25,96,88,47,5221,2969,206,403,575,0,2252,66,195,243,27
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",455,0,0,63,15,1786,1082,49,0,78,77,704,0,37,16,0
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",128,13,12,53,0,458,299,13,0,14,0,159,26,0,0,0
"Binghamton city, New York: Summary level: 160, state:36> place:06607",10867,722,896,3639,929,9212,5261,366,342,619,25,3951,164,204,218,29
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black River village, New York: Summary level: 160, state:36> place:06794",192,8,35,9,8,387,282,10,10,46,0,105,3,0,7,0
"Blasdell village, New York: Summary level: 160, state:36> place:06849",537,65,25,99,38,594,387,14,26,13,9,207,5,4,8,0
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",108,0,19,0,36,1589,900,40,126,108,0,689,27,25,99,32
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",26,3,13,3,0,199,98,0,3,3,0,101,0,0,6,0
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",26,0,0,0,0,100,73,0,0,8,0,27,5,0,0,0
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",180,3,44,46,16,428,315,0,16,17,0,113,4,9,6,0
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",106,6,13,51,0,105,77,0,34,2,0,28,12,0,0,0
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",6,0,0,3,0,87,45,3,0,7,0,42,0,0,0,0
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",184,9,10,52,0,1468,953,72,76,183,0,515,10,42,73,0
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",663,79,10,155,42,2901,1970,136,231,369,0,931,15,26,198,0
"Bolivar village, New York: Summary level: 160, state:36> place:07190",183,7,9,78,6,275,200,5,2,24,0,75,0,2,3,0
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",128,5,0,15,0,169,92,0,10,10,0,77,0,0,0,0
"Boonville village, New York: Summary level: 160, state:36> place:07355",425,18,37,77,28,413,178,8,4,10,0,235,4,11,13,0
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",111,0,0,42,15,152,112,0,27,16,0,40,0,0,0,0
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",0,0,0,0,0,237,142,9,0,19,0,95,0,21,15,0
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",3814,357,322,1050,181,10159,8152,871,701,2535,19,2007,99,69,232,0
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",609,0,45,207,10,1096,782,38,75,89,0,314,0,60,9,0
"Brewster village, New York: Summary level: 160, state:36> place:08070",716,32,28,228,32,161,111,5,11,14,0,50,12,4,18,0
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",110,0,0,61,0,515,408,0,22,121,0,107,0,36,0,0
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",510,11,11,182,61,2164,1413,83,85,292,0,751,49,62,94,0
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",96,0,18,18,30,497,226,13,17,70,0,271,0,49,41,0
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",163,7,0,34,25,442,272,0,18,23,0,170,28,0,0,0
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",61,7,5,19,4,123,58,0,11,1,0,65,2,0,0,0
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",6731,284,735,1496,422,8836,5768,299,273,448,60,3068,80,143,183,15
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",99,5,0,13,14,977,736,70,57,145,0,241,0,12,39,0
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",84,0,0,0,0,878,775,37,58,120,0,103,0,0,20,0
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",175,0,6,65,18,451,282,42,11,10,0,169,0,5,13,0
"Brockport village, New York: Summary level: 160, state:36> place:08466",1310,48,90,511,12,1194,726,0,65,48,0,468,20,26,13,0
"Brocton village, New York: Summary level: 160, state:36> place:08488",263,14,32,55,7,398,238,16,6,35,0,160,0,2,7,0
"Bronxville village, New York: Summary level: 160, state:36> place:08532",458,5,44,92,7,1745,1007,46,96,172,0,738,0,34,87,0
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",167,0,27,46,0,896,615,48,41,200,0,281,11,7,68,0
"Brookville village, New York: Summary level: 160, state:36> place:10132",63,0,13,15,28,729,512,38,69,117,0,217,4,33,21,0
"Brownville village, New York: Summary level: 160, state:36> place:10231",139,0,0,31,5,212,150,0,0,16,0,62,0,6,0,0
"Brushton village, New York: Summary level: 160, state:36> place:10286",83,6,9,24,21,123,63,0,10,6,0,60,0,3,0,0
"Buchanan village, New York: Summary level: 160, state:36> place:10341",159,5,0,22,30,722,477,39,56,87,0,245,10,34,47,0
"Buffalo city, New York: Summary level: 160, state:36> place:11000",64783,3620,4671,21546,3728,47254,28756,1183,1742,4045,204,18498,582,493,1200,198
"Burdett village, New York: Summary level: 160, state:36> place:11132",21,0,0,4,9,133,79,0,0,15,0,54,0,4,9,0
"Burke village, New York: Summary level: 160, state:36> place:11154",22,2,2,3,0,56,31,0,0,6,0,25,0,0,2,0
"Busti CDP, New York: Summary level: 160, state:36> place:11440",49,0,6,2,10,90,57,0,0,0,0,33,0,0,0,0
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",12,0,0,0,0,18,7,0,0,4,0,11,0,0,0,0
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",225,34,23,40,21,294,192,0,83,49,25,102,8,0,7,0
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1280,140,143,274,143,189,139,38,0,32,0,50,0,0,11,0
"Caledonia village, New York: Summary level: 160, state:36> place:11704",297,5,45,78,33,641,418,16,31,10,0,223,0,5,11,0
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",56,5,0,14,37,23,12,0,0,6,0,11,0,0,0,0
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",387,8,0,94,9,2492,937,48,10,236,0,1555,131,172,225,0
"Cambridge village, New York: Summary level: 160, state:36> place:11825",281,21,18,109,0,500,365,46,46,32,0,135,14,6,5,0
"Camden village, New York: Summary level: 160, state:36> place:11847",423,26,10,88,36,575,309,20,14,24,0,266,0,14,5,0
"Camillus village, New York: Summary level: 160, state:36> place:11902",278,38,41,43,0,280,177,0,5,21,0,103,0,3,6,0
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",92,0,12,42,0,212,64,7,0,11,0,148,0,0,5,0
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",301,6,12,76,36,529,321,30,4,0,0,208,8,5,8,7
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",2313,178,184,428,72,2675,1837,23,82,242,0,838,28,17,81,0
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",92,0,6,19,17,192,100,21,10,15,0,92,5,0,15,0
"Canastota village, New York: Summary level: 160, state:36> place:12188",771,54,62,166,14,1192,695,0,50,11,0,497,66,0,47,0
"Candor village, New York: Summary level: 160, state:36> place:12210",89,0,15,22,7,225,111,5,2,5,0,114,0,5,8,0
"Canisteo village, New York: Summary level: 160, state:36> place:12254",296,17,35,73,5,618,270,0,0,29,0,348,0,0,6,6
"Canton village, New York: Summary level: 160, state:36> place:12331",859,48,74,75,96,835,462,74,32,18,0,373,0,0,25,0
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",102,0,16,0,39,224,110,6,2,6,0,114,2,12,6,2
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",555,40,9,133,26,1334,795,27,74,205,0,539,19,43,37,0
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",471,0,101,136,0,1735,1194,151,69,199,34,541,33,50,127,0
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",19,0,0,3,10,216,99,19,9,9,0,117,0,7,13,0
