,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",49938,2140,3678,10572,1903,71181,46317,2199,2565,5521,55,24864,628,1009,1581,522
"Bronx County, New York: Summary level: 050, state:36> county:005",384862,22314,35869,131570,14676,91116,57741,3471,5285,16337,176,33375,1083,1354,4232,524
"Broome County, New York: Summary level: 050, state:36> county:007",27739,1594,3071,7185,1673,53948,30445,1205,1477,2464,235,23503,655,798,1233,162
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",8891,385,576,1991,891,23456,12020,659,453,1321,0,11436,486,265,571,67
"Cayuga County, New York: Summary level: 050, state:36> county:011",8651,523,1022,1316,1110,21703,12850,503,465,1068,50,8853,329,175,319,24
"Chautauqua County, New York: Summary level: 050, state:36> county:013",15615,1012,1233,4485,1261,36199,19033,608,1001,1382,0,17166,390,1003,1403,95
"Chemung County, New York: Summary level: 050, state:36> county:015",10398,302,1038,2784,1025,24469,15608,479,538,861,0,8861,212,241,306,87
"Clinton County, New York: Summary level: 050, state:36> county:019",10495,949,935,3005,744,21956,12713,774,269,714,29,9243,161,32,388,299
"Dutchess County, New York: Summary level: 050, state:36> county:027",32829,1611,3216,8752,2370,74277,51691,3668,4564,9615,78,22586,692,1112,2387,270
"Erie County, New York: Summary level: 050, state:36> county:029",131799,5908,9352,35524,7898,247295,157882,6335,6726,14460,310,89413,2793,2426,4872,1110
"Jefferson County, New York: Summary level: 050, state:36> county:045",19315,1242,1781,3839,2818,26530,16877,1292,799,1561,21,9653,353,251,881,247
"Kings County, New York: Summary level: 050, state:36> county:047",646031,38722,50780,188920,37133,273302,172718,13146,18263,50914,1101,100584,3934,6066,15080,1450
"Livingston County, New York: Summary level: 050, state:36> county:051",5530,355,237,1134,836,18508,11357,409,483,1198,20,7151,36,362,377,195
"Madison County, New York: Summary level: 050, state:36> county:053",6460,266,375,1571,570,19531,11544,793,700,1379,45,7987,241,372,327,148
"Monroe County, New York: Summary level: 050, state:36> county:055",108165,6486,9935,31698,4652,190550,133418,6971,6350,13201,1012,57132,1448,1863,3428,467
"Nassau County, New York: Summary level: 050, state:36> county:059",87099,5813,7347,24136,5106,354633,236767,17257,23672,51255,459,117866,4889,8883,17347,885
"New York County, New York: Summary level: 050, state:36> county:061",582027,31306,46741,130661,24159,164659,90622,2581,4371,14214,844,74037,2117,3963,9283,1370
"Niagara County, New York: Summary level: 050, state:36> county:063",27817,1370,2222,6891,1907,61178,36909,1345,2319,2957,64,24269,824,891,1008,55
"Oneida County, New York: Summary level: 050, state:36> county:065",30088,1299,2346,8261,2334,60483,34625,1851,1480,3554,41,25858,883,519,1255,259
"Onondaga County, New York: Summary level: 050, state:36> county:067",65663,4070,5873,16343,4871,120322,80115,2957,3995,6671,250,40207,1097,1158,2201,278
"Ontario County, New York: Summary level: 050, state:36> county:069",13348,968,1062,3461,794,30980,20265,652,970,1934,14,10715,405,465,682,0
"Orange County, New York: Summary level: 050, state:36> county:071",38736,2061,3627,13973,3160,86492,64342,4857,5385,11349,420,22150,653,769,3622,201
"Oswego County, New York: Summary level: 050, state:36> county:075",12350,446,903,3097,876,33130,19215,741,1273,2171,70,13915,310,289,878,192
"Putnam County, New York: Summary level: 050, state:36> county:079",5473,415,275,1817,747,28577,21196,1993,1212,4049,0,7381,130,314,672,0
"Queens County, New York: Summary level: 050, state:36> county:081",440323,26805,40248,132433,23928,340026,215259,13303,22652,61439,1345,124767,4702,6990,14864,1965
"Rensselaer County, New York: Summary level: 050, state:36> county:083",22515,920,1451,6180,1185,42066,27754,1505,1439,2845,0,14312,49,593,384,282
"Richmond County, New York: Summary level: 050, state:36> county:085",53446,2970,3916,16388,3835,110022,78080,6194,6525,17069,763,31942,981,943,3878,329
"Rockland County, New York: Summary level: 050, state:36> county:087",30874,1836,3465,9738,1704,67060,48207,3613,4666,9726,33,18853,656,1531,2399,519
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",12854,557,1268,2968,1334,29582,15662,528,1045,1219,269,13920,341,347,889,228
"Saratoga County, New York: Summary level: 050, state:36> county:091",26406,1092,2036,5061,1478,61008,41516,2225,1729,3225,62,19492,473,795,1058,166
"Schenectady County, New York: Summary level: 050, state:36> county:093",19662,1137,1342,6410,1164,37801,26432,1729,1686,2617,149,11369,403,422,713,122
"Steuben County, New York: Summary level: 050, state:36> county:101",12495,468,473,2162,1225,29102,15259,679,652,1336,13,13843,225,387,847,220
"Suffolk County, New York: Summary level: 050, state:36> county:103",104085,7184,8667,28707,8531,392268,276377,19865,24415,58231,1217,115891,5835,6188,16649,948
"Sullivan County, New York: Summary level: 050, state:36> county:105",9506,746,1253,2637,803,19716,9868,435,800,1769,178,9848,355,150,1405,175
"Tompkins County, New York: Summary level: 050, state:36> county:109",17073,946,558,4801,2603,21196,13228,798,937,1328,0,7968,119,343,362,170
"Ulster County, New York: Summary level: 050, state:36> county:111",21415,1215,1564,6852,1874,48938,30920,2189,1627,5226,179,18018,903,1132,1506,204
"Warren County, New York: Summary level: 050, state:36> county:113",7832,682,667,2512,310,19698,11579,543,720,1023,0,8119,122,310,413,17
"Wayne County, New York: Summary level: 050, state:36> county:117",8417,287,631,1924,545,28610,19398,630,956,2137,62,9212,443,252,516,46
"Westchester County, New York: Summary level: 050, state:36> county:119",130492,9519,12855,38143,7093,209605,142177,9015,13053,28259,601,67428,2659,3905,11786,908
