,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",56415,2737,5666,14286,2712,67447,42165,2358,1830,4088,225,25282,281,327,780,93
"Bronx County, New York: Summary level: 050, state:36> county:005",402668,24297,31901,136277,23995,92845,56663,2587,5228,14449,308,36182,1048,1511,3077,258
"Broome County, New York: Summary level: 050, state:36> county:007",28012,1224,1875,8359,2257,50386,27032,1733,1510,2320,95,23354,445,873,1509,200
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",9618,778,923,1991,763,21556,9792,262,512,1186,27,11764,235,158,824,135
"Cayuga County, New York: Summary level: 050, state:36> county:011",9334,121,637,1905,561,22034,13875,574,788,1215,36,8159,309,197,423,13
"Chautauqua County, New York: Summary level: 050, state:36> county:013",15676,611,904,4806,1746,35903,17840,887,620,1495,83,18063,549,237,759,101
"Chemung County, New York: Summary level: 050, state:36> county:015",9990,612,667,2248,628,24556,14935,493,653,652,90,9621,245,143,488,185
"Clinton County, New York: Summary level: 050, state:36> county:019",10769,597,534,2565,986,20480,10121,408,612,1781,24,10359,97,349,701,58
"Dutchess County, New York: Summary level: 050, state:36> county:027",34261,1938,2441,10244,2534,72058,48392,3186,3577,6971,42,23666,803,967,2211,255
"Erie County, New York: Summary level: 050, state:36> county:029",136660,7459,10570,36577,9241,246439,153519,5110,7740,11890,489,92920,2563,1789,4115,1104
"Jefferson County, New York: Summary level: 050, state:36> county:045",19317,1058,1458,3646,2729,23828,14573,812,849,1030,115,9255,605,368,486,124
"Kings County, New York: Summary level: 050, state:36> county:047",670163,38252,51318,191894,38466,270013,167425,11274,15360,47497,985,102588,4018,4735,13220,1579
"Livingston County, New York: Summary level: 050, state:36> county:051",7056,688,538,1452,472,17133,10734,383,259,1406,0,6399,210,142,514,98
"Madison County, New York: Summary level: 050, state:36> county:053",5933,409,529,597,1065,20372,12679,222,671,1108,0,7693,152,136,416,68
"Monroe County, New York: Summary level: 050, state:36> county:055",107366,5454,9768,31345,5330,190785,127735,4519,6529,10618,223,63050,1336,1781,4097,763
"Nassau County, New York: Summary level: 050, state:36> county:059",86809,4333,7395,26389,5954,349758,224053,16255,17589,42102,722,125705,3744,7362,16722,1186
"New York County, New York: Summary level: 050, state:36> county:061",574375,35250,45206,125136,24502,176869,86035,2604,4460,10939,407,90834,2137,1974,8014,1289
"Niagara County, New York: Summary level: 050, state:36> county:063",26125,1300,3292,6649,1484,58768,33791,1458,1431,3055,0,24977,657,711,1785,289
"Oneida County, New York: Summary level: 050, state:36> county:065",32621,1731,3018,7926,2546,57775,31316,849,1582,2515,132,26459,435,658,1245,217
"Onondaga County, New York: Summary level: 050, state:36> county:067",65063,2675,4867,16233,3243,117518,75538,2665,3327,5497,119,41980,767,1779,2462,207
"Ontario County, New York: Summary level: 050, state:36> county:069",11523,787,667,2534,670,32169,20705,1013,683,2135,99,11464,121,459,429,177
"Orange County, New York: Summary level: 050, state:36> county:071",41860,2698,4480,11413,2727,83610,60962,3649,4073,11225,41,22648,689,1088,2101,95
"Oswego County, New York: Summary level: 050, state:36> county:075",11645,509,922,3400,900,33470,20847,1326,1612,1918,26,12623,390,340,961,27
"Putnam County, New York: Summary level: 050, state:36> county:079",6722,809,756,1653,140,27459,18945,1922,1437,2681,361,8514,208,269,936,0
"Queens County, New York: Summary level: 050, state:36> county:081",439893,28124,37992,125824,28066,334859,200590,13924,16115,51633,919,134269,4570,6811,15041,1846
"Rensselaer County, New York: Summary level: 050, state:36> county:083",22229,1428,1642,5262,1497,40356,27541,1489,1348,2714,139,12815,289,99,790,112
"Richmond County, New York: Summary level: 050, state:36> county:085",52146,2081,3506,15076,6656,115316,82206,4245,6966,16446,968,33110,1159,1572,3466,869
"Rockland County, New York: Summary level: 050, state:36> county:087",33016,2072,2788,11481,1935,66859,47392,4052,4561,8875,41,19467,448,1237,2429,68
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",12251,961,1332,3479,987,30520,14987,693,480,1647,16,15533,543,380,752,204
"Saratoga County, New York: Summary level: 050, state:36> county:091",24904,1066,1251,4604,917,66095,43719,2230,2333,3562,278,22376,767,457,883,162
"Schenectady County, New York: Summary level: 050, state:36> county:093",17383,726,1605,3833,1267,35131,22304,1077,1571,1497,0,12827,396,174,488,154
"Steuben County, New York: Summary level: 050, state:36> county:101",12036,723,690,2318,1387,27481,13715,748,511,982,92,13766,254,248,598,119
"Suffolk County, New York: Summary level: 050, state:36> county:103",97981,7107,10008,31825,8660,383815,264224,17709,26909,49120,919,119591,5118,7173,17172,749
"Sullivan County, New York: Summary level: 050, state:36> county:105",9216,980,843,2076,915,19178,10510,580,836,1685,84,8668,264,361,895,93
"Tompkins County, New York: Summary level: 050, state:36> county:109",17572,626,997,5124,1665,20540,12711,762,603,1293,21,7829,151,562,132,50
"Ulster County, New York: Summary level: 050, state:36> county:111",21941,1387,1982,7052,1726,47653,27404,1375,1412,4803,327,20249,694,780,2370,235
"Warren County, New York: Summary level: 050, state:36> county:113",7110,707,483,1915,739,17112,10812,621,1073,1283,71,6300,154,76,572,59
"Wayne County, New York: Summary level: 050, state:36> county:117",9203,382,381,1987,841,26638,15878,1154,1164,1109,0,10760,153,591,840,0
"Westchester County, New York: Summary level: 050, state:36> county:119",133418,7006,11145,39942,9604,204901,134496,7257,9482,24257,881,70405,3221,3659,9350,799
