,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",295,5,23,88,14,540,280,3,4,27,11,260,18,5,10,0
"Interlaken village, New York: Summary level: 160, state:36> place:37528",45,8,0,11,0,192,126,4,4,7,0,66,0,3,4,3
"Belmont village, New York: Summary level: 160, state:36> place:05815",131,5,18,20,12,246,139,4,7,21,0,107,0,0,12,3
"Holland CDP, New York: Summary level: 160, state:36> place:35111",155,9,8,10,0,354,208,21,5,24,0,146,0,0,0,0
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",3572,192,339,795,167,3854,1939,23,173,207,0,1915,67,100,149,26
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",409,39,25,60,16,987,705,31,22,49,12,282,0,0,8,0
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",4576,334,359,767,240,15177,9359,402,334,550,19,5818,155,125,412,9
"Burdett village, New York: Summary level: 160, state:36> place:11132",25,12,0,6,3,159,88,3,6,13,0,71,2,2,2,0
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",455,18,35,170,20,532,313,29,0,55,0,219,0,17,0,0
"Groton village, New York: Summary level: 160, state:36> place:30961",298,11,16,71,33,537,325,11,20,15,0,212,0,0,10,0
"Lansing village, New York: Summary level: 160, state:36> place:41223",1129,158,56,248,109,510,314,14,0,32,0,196,0,0,41,0
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",91,0,0,7,13,1761,1168,124,43,235,0,593,18,49,52,0
"Ardsley village, New York: Summary level: 160, state:36> place:02506",294,0,0,87,31,1344,857,50,69,112,0,487,8,23,50,7
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",838,39,108,126,75,2189,1447,95,40,148,0,742,26,9,156,0
"Pelham village, New York: Summary level: 160, state:36> place:57001",750,20,94,171,35,1499,1003,49,39,155,0,496,30,27,88,0
"Arcade village, New York: Summary level: 160, state:36> place:02407",349,41,0,92,27,629,488,4,21,38,5,141,0,0,3,0
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",47,0,0,0,0,422,224,0,49,0,0,198,0,32,28,0
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",949,46,115,309,74,2171,1367,147,116,218,0,804,31,16,87,9
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",97,0,0,9,0,657,505,22,29,72,0,152,0,0,32,0
"Dundee village, New York: Summary level: 160, state:36> place:21050",281,11,26,73,11,416,221,12,18,35,4,195,3,5,6,0
"Richburg village, New York: Summary level: 160, state:36> place:61434",38,5,10,14,0,125,58,3,2,2,0,67,3,0,0,0
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",66,8,0,14,16,176,87,0,0,1,0,89,0,0,9,0
"Lakewood village, New York: Summary level: 160, state:36> place:41069",526,8,77,85,23,881,516,50,9,17,0,365,19,11,10,0
"Westfield village, New York: Summary level: 160, state:36> place:79939",437,0,50,167,32,824,484,0,0,16,0,340,0,31,18,0
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",766,162,106,194,24,502,402,19,19,98,0,100,0,20,16,0
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",99,4,13,6,12,192,115,7,0,3,0,77,3,3,0,0
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",28,0,0,0,0,98,68,9,0,0,0,30,0,0,0,0
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",67,12,12,0,22,765,409,0,22,30,0,356,19,0,20,8
"Meridian village, New York: Summary level: 160, state:36> place:46646",24,0,2,0,6,78,58,0,1,1,0,20,0,2,1,0
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",166,13,15,47,5,931,607,6,38,44,5,324,5,0,15,6
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",1479,146,90,236,67,1694,1014,0,29,93,0,680,7,0,17,13
"Angola village, New York: Summary level: 160, state:36> place:02198",308,16,38,20,27,536,373,38,0,25,8,163,5,0,0,5
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",9,0,0,0,0,1024,690,0,30,0,0,334,0,0,22,0
"Gowanda village, New York: Summary level: 160, state:36> place:29630",486,0,103,131,41,705,453,18,19,18,0,252,3,0,3,7
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",342,44,16,95,12,887,433,14,0,29,0,454,11,12,0,12
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",2071,136,252,630,41,3111,1525,74,46,59,12,1586,9,77,105,0
"Panama village, New York: Summary level: 160, state:36> place:56231",79,3,17,5,10,101,65,0,2,2,0,36,0,3,2,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",80,0,3,26,6,187,122,26,0,0,0,65,4,0,0,5
"Lowville village, New York: Summary level: 160, state:36> place:43720",531,74,16,159,23,807,443,10,16,85,0,364,30,5,6,0
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",301,32,21,80,14,381,218,17,14,4,3,163,0,8,10,3
"Lodi village, New York: Summary level: 160, state:36> place:43214",55,5,7,12,2,98,58,2,3,3,0,40,1,0,7,0
"Waterloo village, New York: Summary level: 160, state:36> place:78553",513,84,37,60,7,1478,959,22,95,31,11,519,8,5,44,0
"Alfred village, New York: Summary level: 160, state:36> place:01198",255,15,9,108,43,127,72,0,0,9,0,55,0,2,0,0
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",43,0,0,29,2,164,84,2,6,4,0,80,3,5,0,0
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",110,6,9,10,3,172,115,0,3,0,0,57,0,0,0,0
"Hamilton village, New York: Summary level: 160, state:36> place:31709",366,11,10,101,11,457,194,0,12,0,0,263,17,23,26,8
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",317,22,26,165,0,1521,1108,66,79,285,0,413,14,29,48,0
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",547,60,42,190,10,4052,3104,191,319,444,9,948,16,59,112,0
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",24,0,0,0,2,49,11,0,0,0,0,38,0,0,13,0
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",198,14,56,29,17,3138,1836,91,71,381,4,1302,61,95,267,14
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",262,27,20,100,12,748,608,18,68,112,0,140,26,10,51,0
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",1764,150,163,234,128,7090,5031,493,359,765,0,2059,96,167,222,10
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",53,17,0,9,6,725,457,33,36,51,0,268,22,8,28,0
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",93,9,0,25,9,151,55,0,3,3,7,96,0,0,2,0
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",108,0,0,0,32,312,178,9,12,22,0,134,0,9,19,0
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",13,0,0,0,4,396,238,9,14,61,0,158,7,10,32,0
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",399,37,21,159,41,1684,1181,52,94,339,5,503,15,12,58,0
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",0,0,0,0,0,158,125,0,9,54,0,33,0,0,10,0
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",531,11,39,143,54,5685,3572,202,178,485,17,2113,91,130,361,9
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",355,25,50,23,96,5490,3773,159,295,532,0,1717,66,133,212,21
"Boonville village, New York: Summary level: 160, state:36> place:07355",330,36,4,106,11,503,272,41,0,50,0,231,0,12,4,0
"Camden village, New York: Summary level: 160, state:36> place:11847",558,7,40,153,59,552,324,6,21,10,0,228,0,6,0,7
"Utica city, New York: Summary level: 160, state:36> place:76540",12270,652,1158,3877,955,11250,6354,239,420,582,19,4896,127,161,300,103
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",773,51,31,140,50,575,359,25,0,11,0,216,0,23,0,0
"Elbridge village, New York: Summary level: 160, state:36> place:23789",83,0,0,3,8,315,187,2,17,6,0,128,3,0,7,3
"Akron village, New York: Summary level: 160, state:36> place:00441",584,88,26,46,33,644,373,7,0,34,0,271,6,5,7,0
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",61,0,0,0,15,643,331,15,27,15,0,312,15,0,53,14
"Depew village, New York: Summary level: 160, state:36> place:20313",1915,163,194,286,72,4754,2950,65,73,267,0,1804,35,63,81,29
"East Aurora village, New York: Summary level: 160, state:36> place:21589",835,56,95,113,68,1741,1114,31,41,104,6,627,11,31,22,0
"Eden CDP, New York: Summary level: 160, state:36> place:23404",184,33,10,18,27,1096,645,39,28,40,0,451,0,0,39,9
"Naples village, New York: Summary level: 160, state:36> place:49429",165,0,12,50,15,273,171,18,21,7,3,102,0,0,6,3
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",260,11,9,58,42,277,179,0,8,0,0,98,0,0,0,0
"Woodridge village, New York: Summary level: 160, state:36> place:82953",190,6,30,37,3,111,46,2,7,2,9,65,0,0,6,0
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",290,0,76,31,41,2083,1097,95,113,177,0,986,97,52,89,0
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",86,0,10,34,5,215,172,10,3,17,0,43,0,0,4,0
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",13,0,0,0,13,517,359,11,35,110,0,158,0,0,13,16
"Batavia city, New York: Summary level: 160, state:36> place:04715",2901,172,179,715,141,3228,2186,32,109,175,7,1042,48,19,73,0
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",665,61,71,173,42,2195,1455,92,43,151,0,740,38,35,129,0
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",167,0,30,29,23,1410,990,70,57,164,0,420,8,43,67,0
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",973,86,123,259,57,495,324,0,0,60,0,171,0,0,0,0
"Esperance village, New York: Summary level: 160, state:36> place:24713",26,0,0,10,6,122,75,9,2,9,2,47,0,3,3,4
"Schoharie village, New York: Summary level: 160, state:36> place:65585",155,20,4,26,17,199,120,0,3,14,0,79,0,0,6,0
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",232,26,48,48,4,381,239,3,1,21,3,142,6,4,0,0
"New Berlin village, New York: Summary level: 160, state:36> place:49946",122,4,10,16,11,276,137,0,5,4,0,139,3,10,11,0
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",134,18,0,31,5,343,134,17,0,19,0,209,0,4,6,25
"Greene village, New York: Summary level: 160, state:36> place:30411",336,33,29,22,9,439,269,7,3,32,0,170,0,10,3,3
"Munnsville village, New York: Summary level: 160, state:36> place:49220",61,7,1,9,18,107,82,4,4,10,0,25,1,0,0,0
"Wampsville village, New York: Summary level: 160, state:36> place:78113",18,2,0,9,7,179,120,2,13,9,7,59,0,2,8,0
"Brookville village, New York: Summary level: 160, state:36> place:10132",54,0,0,0,10,775,418,43,30,70,0,357,23,8,71,0
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",56,7,0,17,5,928,641,21,31,117,0,287,0,12,46,0
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",1607,63,114,330,122,7973,5133,457,450,940,0,2840,92,155,410,9
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",0,0,0,0,0,145,63,0,0,48,0,82,0,0,0,0
"Hempstead village, New York: Summary level: 160, state:36> place:33139",8832,599,647,2893,349,6871,5298,448,440,1275,33,1573,80,108,264,0
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",40,0,0,13,16,1259,759,19,83,60,0,500,0,21,85,8
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",568,29,53,94,0,1839,1099,128,97,186,0,740,13,47,96,0
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",154,0,0,0,7,1336,948,43,29,210,23,388,0,0,28,9
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",27,0,0,7,16,1089,690,0,73,164,0,399,10,23,122,5
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",738,41,0,189,130,5731,3945,353,269,504,0,1786,54,160,140,36
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",272,0,19,33,25,5917,3776,237,313,507,0,2141,90,72,401,38
"Antwerp village, New York: Summary level: 160, state:36> place:02286",45,9,5,12,0,176,95,6,14,5,0,81,9,2,9,0
"Southampton village, New York: Summary level: 160, state:36> place:68462",308,28,37,56,55,1044,562,45,16,200,0,482,41,18,29,0
"Olean city, New York: Summary level: 160, state:36> place:54716",2979,206,183,811,164,3179,1763,28,33,111,0,1416,7,21,53,9
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",150,31,0,27,8,423,178,0,8,0,0,245,0,20,9,0
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",296,24,27,39,3,318,248,21,3,15,0,70,0,14,3,4
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",3189,176,244,886,133,3277,2252,110,114,203,4,1025,26,31,20,0
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",31,0,0,0,0,415,103,0,82,0,0,312,0,0,67,0
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",1771,72,139,585,137,4999,3611,267,305,339,55,1388,13,70,124,47
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",855,30,34,388,31,3224,2620,255,200,393,10,604,4,78,78,0
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",1128,32,109,164,109,3219,2328,111,224,570,0,891,32,4,12,9
"North Haven village, New York: Summary level: 160, state:36> place:52188",20,3,2,2,5,363,213,14,3,55,0,150,6,3,18,0
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",965,42,70,306,15,2065,1331,9,114,242,31,734,28,0,62,0
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",141,0,0,141,0,371,181,15,44,0,0,190,24,0,102,0
"Selden CDP, New York: Summary level: 160, state:36> place:66212",1348,80,111,456,106,4866,3460,239,339,466,23,1406,60,92,173,0
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",1205,115,28,292,109,7683,5255,417,425,683,9,2428,84,94,277,18
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",212,0,18,37,9,2525,1996,102,124,388,0,529,0,53,66,0
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",196,0,40,45,18,787,458,0,50,75,5,329,12,5,46,0
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",189,20,14,82,25,532,243,19,19,28,3,289,6,9,31,5
"Salamanca city, New York: Summary level: 160, state:36> place:64749",1072,96,73,277,76,1098,488,7,42,47,3,610,15,11,34,5
"Poquott village, New York: Summary level: 160, state:36> place:59157",20,0,3,6,2,326,166,6,11,12,0,160,2,18,15,0
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",727,37,56,236,72,3764,2758,188,341,375,22,1006,39,65,48,9
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",46,0,0,0,0,404,279,47,16,55,0,125,13,14,47,0
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",362,0,42,82,148,4125,2655,144,254,431,0,1470,122,60,138,26
"Jordan village, New York: Summary level: 160, state:36> place:38825",195,14,13,10,13,377,269,22,9,18,0,108,2,0,22,0
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",522,0,0,132,44,1185,743,30,53,102,0,442,7,41,12,8
"Manlius village, New York: Summary level: 160, state:36> place:45018",741,36,96,92,64,1244,859,58,23,40,0,385,6,5,25,25
"Minoa village, New York: Summary level: 160, state:36> place:47757",409,22,19,25,36,961,592,127,0,37,0,369,12,0,22,0
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",70,15,4,21,0,875,564,18,43,36,9,311,6,15,29,7
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",107,0,0,14,34,825,428,0,0,70,0,397,0,16,0,0
"Castile village, New York: Summary level: 160, state:36> place:12771",118,14,14,12,9,289,151,5,3,18,0,138,3,3,13,0
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",40,2,0,24,3,219,138,17,2,38,0,81,3,0,3,0
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",79,0,0,19,0,298,204,0,10,0,0,94,0,0,0,0
"Delanson village, New York: Summary level: 160, state:36> place:20082",33,2,5,4,4,73,52,3,2,2,0,21,0,0,1,0
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",1481,107,99,277,93,5729,3657,124,230,354,5,2072,21,97,112,31
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",721,9,110,180,68,939,703,57,46,26,0,236,18,0,0,0
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",233,0,20,23,34,384,217,3,0,24,0,167,10,3,1,0
"East Rochester village, New York: Summary level: 160, state:36> place:22865",1077,95,75,235,35,1757,1134,66,61,98,0,623,22,24,48,14
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",116,0,0,23,12,466,220,6,27,25,0,246,10,5,24,5
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",18,0,0,3,4,183,116,0,0,0,0,67,0,0,0,0
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",96,0,5,19,15,870,428,18,7,169,0,442,11,18,83,0
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",499,20,66,71,34,2299,1482,129,72,150,0,817,24,62,85,6
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",53,0,0,0,0,87,30,5,0,9,0,57,0,0,0,0
"Hillburn village, New York: Summary level: 160, state:36> place:34660",99,7,0,44,10,196,146,16,11,35,2,50,9,2,0,0
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",520,48,11,257,7,2932,1903,113,146,234,0,1029,14,41,31,0
"West Winfield village, New York: Summary level: 160, state:36> place:81292",99,0,8,18,8,254,136,2,4,0,0,118,2,6,7,0
"Red Hook village, New York: Summary level: 160, state:36> place:60895",426,48,26,137,37,404,242,33,22,35,0,162,5,6,5,0
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",115,0,0,58,18,1399,983,69,63,153,7,416,0,10,21,0
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",202,0,0,0,0,423,287,0,0,58,0,136,0,0,14,0
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",260,0,0,17,67,322,207,24,0,12,0,115,0,0,54,0
"Homer village, New York: Summary level: 160, state:36> place:35276",514,55,10,65,20,816,483,9,13,18,0,333,19,8,5,0
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",478,4,126,84,0,458,239,10,18,38,0,219,0,0,30,0
"Auburn city, New York: Summary level: 160, state:36> place:03078",6088,212,516,1558,429,5519,3299,109,178,321,11,2220,67,80,46,0
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",34,0,12,22,0,89,56,0,12,12,0,33,0,0,0,11
"Ovid village, New York: Summary level: 160, state:36> place:55816",98,5,10,26,6,119,63,2,2,2,0,56,0,0,0,0
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",51,3,4,3,4,127,94,0,7,15,0,33,1,0,1,0
"Solvay village, New York: Summary level: 160, state:36> place:68286",1221,9,57,279,7,1581,920,60,9,69,9,661,18,9,23,34
"Ossining village, New York: Summary level: 160, state:36> place:55530",4202,338,446,1230,180,4216,2886,209,273,648,17,1330,17,67,245,40
"Sands Point village, New York: Summary level: 160, state:36> place:65035",68,24,5,9,30,879,498,6,17,128,0,381,14,0,51,0
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",64,0,5,16,2,212,120,7,0,13,0,92,3,2,11,5
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",402,39,24,155,46,1351,773,0,19,202,0,578,20,0,56,18
"Waverly village, New York: Summary level: 160, state:36> place:78806",802,70,121,145,44,900,539,29,21,47,0,361,0,10,41,6
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",636,6,15,67,72,1099,637,28,17,52,0,462,0,0,14,0
"Greenport village, New York: Summary level: 160, state:36> place:30576",329,10,28,161,16,509,251,9,32,57,0,258,5,23,31,0
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",10,0,3,0,0,508,299,8,16,100,0,209,11,18,19,0
"Windsor village, New York: Summary level: 160, state:36> place:82524",105,1,11,12,11,295,185,10,9,27,0,110,0,3,3,2
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",20,0,0,10,10,98,82,7,11,0,0,16,0,0,0,0
"Leicester village, New York: Summary level: 160, state:36> place:41872",66,4,1,13,6,144,88,2,4,5,0,56,0,0,1,0
"Barker village, New York: Summary level: 160, state:36> place:04440",64,0,6,11,12,151,98,8,5,5,0,53,0,1,4,0
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",153,21,68,43,0,271,119,0,0,29,0,152,28,9,0,0
"Stamford village, New York: Summary level: 160, state:36> place:70618",281,26,32,47,12,298,126,0,6,2,2,172,15,9,9,0
"Saltaire village, New York: Summary level: 160, state:36> place:64881",2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",9,0,0,1,6,67,31,5,0,8,0,36,2,0,9,1
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",357,16,16,61,43,525,277,9,14,55,0,248,6,5,15,6
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",1484,39,83,326,26,826,546,0,58,17,0,280,4,10,18,0
"Floral Park village, New York: Summary level: 160, state:36> place:26264",1196,67,58,300,142,4510,2559,127,201,326,0,1951,70,155,214,39
"Freeport village, New York: Summary level: 160, state:36> place:27485",4615,249,451,1574,306,9406,6679,396,894,1482,46,2727,137,117,515,44
"Garden City village, New York: Summary level: 160, state:36> place:28178",375,0,15,96,125,6990,4265,257,349,551,29,2725,82,146,501,15
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",723,67,37,228,34,1104,881,43,75,181,0,223,0,43,19,0
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",85,5,0,3,22,364,180,11,16,59,0,184,3,4,20,0
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",1402,164,142,362,49,2319,1568,99,53,121,0,751,17,18,41,0
"Tannersville village, New York: Summary level: 160, state:36> place:73143",143,0,12,44,22,203,119,0,5,0,0,84,0,0,36,0
"Painted Post village, New York: Summary level: 160, state:36> place:56088",305,43,41,46,6,483,293,38,0,17,0,190,9,0,0,0
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",232,0,15,63,0,332,225,0,30,0,0,107,0,0,14,0
"Lockport city, New York: Summary level: 160, state:36> place:43082",3965,190,234,799,176,4914,3090,145,172,182,8,1824,61,78,129,17
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",181,12,7,7,71,1517,1056,38,97,219,7,461,43,0,58,11
"Port Chester village, New York: Summary level: 160, state:36> place:59223",5184,503,519,1397,230,3945,2391,204,275,452,20,1554,30,133,248,0
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",524,14,9,110,45,5066,3092,116,126,468,8,1974,38,51,202,0
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",355,48,0,98,0,642,370,120,41,77,0,272,39,16,17,0
"Yonkers city, New York: Summary level: 160, state:36> place:84000",40057,2783,3247,11589,3108,34791,21486,1485,1399,3769,214,13305,427,542,2151,127
"Round Lake village, New York: Summary level: 160, state:36> place:63957",59,5,8,1,0,273,201,3,3,26,0,72,3,0,2,0
"Franklin village, New York: Summary level: 160, state:36> place:27221",69,5,0,15,2,96,61,11,2,2,0,35,0,0,5,0
"Hancock village, New York: Summary level: 160, state:36> place:31940",211,17,13,54,18,320,119,8,18,45,0,201,17,7,13,8
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",131,0,21,21,16,1852,1081,33,82,59,0,771,47,17,21,17
"Attica village, New York: Summary level: 160, state:36> place:03001",452,5,24,55,51,787,488,13,11,21,0,299,0,7,6,0
"Gainesville village, New York: Summary level: 160, state:36> place:27969",32,0,1,4,5,69,52,2,0,4,0,17,0,1,1,0
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",3651,231,330,1246,207,3587,1833,81,121,159,0,1754,61,56,88,39
"Airmont village, New York: Summary level: 160, state:36> place:00408",698,50,118,177,63,1775,1222,106,116,289,0,553,23,33,102,0
"Congers CDP, New York: Summary level: 160, state:36> place:17739",369,6,59,74,7,2383,1698,158,86,215,0,685,18,44,88,0
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",2451,154,197,1297,171,1538,926,29,36,512,0,612,36,29,182,16
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",55,2,0,17,0,121,70,2,0,9,0,51,0,2,0,4
"Springville village, New York: Summary level: 160, state:36> place:70442",831,72,60,105,26,1019,680,66,18,9,0,339,0,7,9,0
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",2117,234,163,394,132,4864,2953,82,118,307,45,1911,43,64,140,24
"Canastota village, New York: Summary level: 160, state:36> place:12188",814,30,78,68,74,948,599,30,0,63,0,349,0,0,19,0
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",6652,383,593,1748,329,19141,11997,350,623,977,67,7144,114,216,299,24
"Madison village, New York: Summary level: 160, state:36> place:44424",46,0,0,5,3,112,65,9,2,8,0,47,0,0,8,0
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",94,16,0,0,0,906,626,10,50,22,0,280,0,0,22,0
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",219,5,42,60,39,71,36,12,0,0,0,35,0,0,0,5
"Mayville village, New York: Summary level: 160, state:36> place:46239",176,6,6,18,23,348,208,4,15,19,0,140,0,2,8,0
"Webster village, New York: Summary level: 160, state:36> place:78960",1433,51,85,279,54,993,664,14,71,91,0,329,15,0,27,0
"Nichols village, New York: Summary level: 160, state:36> place:51110",55,2,11,16,5,147,73,0,4,2,0,74,4,0,4,0
"Dexter village, New York: Summary level: 160, state:36> place:20500",181,21,10,25,15,227,126,11,10,6,0,101,0,6,3,0
"Nassau village, New York: Summary level: 160, state:36> place:49506",143,13,7,21,0,299,192,7,6,11,2,107,0,5,4,0
"Troy city, New York: Summary level: 160, state:36> place:75484",12654,852,1042,3148,690,7300,4643,190,307,420,81,2657,118,31,220,71
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",4818,414,430,1550,292,4974,2907,260,166,681,0,2067,65,174,299,9
"Johnson City village, New York: Summary level: 160, state:36> place:38748",2917,191,209,779,270,3371,1958,65,122,253,0,1413,29,71,56,0
"Le Roy village, New York: Summary level: 160, state:36> place:42026",724,19,136,127,19,1058,753,34,15,58,0,305,0,0,9,0
"Lisle village, New York: Summary level: 160, state:36> place:42642",35,0,2,5,12,61,31,0,2,4,0,30,1,0,3,0
"Mohawk village, New York: Summary level: 160, state:36> place:47823",474,41,66,55,22,560,301,41,12,13,0,259,0,0,23,0
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",249,7,31,54,0,521,338,21,11,27,0,183,0,11,7,0
"Millbrook village, New York: Summary level: 160, state:36> place:47273",319,31,10,63,23,357,202,25,0,39,0,155,5,4,18,3
