,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",53499,3671,3480,11531,2166,70645,44375,1569,1534,3331,80,26270,379,618,1855,0
"Bronx County, New York: Summary level: 050, state:36> county:005",407488,24384,41562,137387,18596,96497,58645,5275,5232,12535,466,37852,1158,857,3506,488
"Broome County, New York: Summary level: 050, state:36> county:007",27465,1372,1614,7792,3229,51139,27591,1301,1009,2802,0,23548,514,691,793,213
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",9665,339,554,2435,769,22695,11016,268,300,819,0,11679,169,211,552,135
"Cayuga County, New York: Summary level: 050, state:36> county:011",8535,333,258,1610,998,22335,12695,421,736,1191,0,9640,187,415,364,57
"Chautauqua County, New York: Summary level: 050, state:36> county:013",15226,685,1336,4533,1113,36759,18723,976,471,1375,49,18036,394,513,711,403
"Chemung County, New York: Summary level: 050, state:36> county:015",10648,516,433,2798,644,21599,11884,541,398,923,0,9715,183,239,316,121
"Clinton County, New York: Summary level: 050, state:36> county:019",11565,799,727,1281,1108,19928,10684,264,315,759,96,9244,215,190,343,243
"Dutchess County, New York: Summary level: 050, state:36> county:027",31552,1471,3197,9127,2141,74491,49827,3204,3422,5711,135,24664,939,1533,1758,214
"Erie County, New York: Summary level: 050, state:36> county:029",138403,8899,10351,35949,9340,247993,152310,4984,6075,10267,647,95683,2104,2690,6812,1103
"Jefferson County, New York: Summary level: 050, state:36> county:045",18318,1070,2310,4149,1406,23230,13083,374,552,1171,11,10147,282,362,373,79
"Kings County, New York: Summary level: 050, state:36> county:047",665431,41793,56472,191890,33006,290792,176199,9475,14759,44147,1397,114593,3285,4081,13703,1733
"Livingston County, New York: Summary level: 050, state:36> county:051",5796,479,339,1766,317,18929,11568,364,895,1267,0,7361,143,171,426,0
"Madison County, New York: Summary level: 050, state:36> county:053",5714,177,242,977,530,20310,12501,681,363,1529,19,7809,327,214,569,44
"Monroe County, New York: Summary level: 050, state:36> county:055",111490,6430,9321,32637,4984,190129,125096,4954,5200,11072,317,65033,872,1391,3893,748
"Nassau County, New York: Summary level: 050, state:36> county:059",89094,4549,7436,24373,7686,357884,229476,14963,16014,40540,549,128408,4462,7202,17273,1387
"New York County, New York: Summary level: 050, state:36> county:061",575783,33396,46242,118586,20336,188435,95291,3653,3918,14436,1049,93144,1475,2267,7697,1874
"Niagara County, New York: Summary level: 050, state:36> county:063",25295,1169,2908,4459,1633,63364,38357,1070,1984,3170,0,25007,653,587,1427,370
"Oneida County, New York: Summary level: 050, state:36> county:065",29469,1606,2885,7079,2211,59321,32871,1416,1334,1484,327,26450,1032,990,582,224
"Onondaga County, New York: Summary level: 050, state:36> county:067",66879,3648,4914,15008,4636,118830,74107,2420,2551,5918,291,44723,1510,543,2005,503
"Ontario County, New York: Summary level: 050, state:36> county:069",11537,862,650,2598,596,32877,19691,534,687,1125,27,13186,58,193,814,101
"Orange County, New York: Summary level: 050, state:36> county:071",38396,2224,4229,10341,3268,89121,61655,3307,4913,8210,431,27466,1127,842,2387,443
"Oswego County, New York: Summary level: 050, state:36> county:075",12956,936,781,2858,1170,33015,19856,969,605,1597,174,13159,251,188,560,238
"Putnam County, New York: Summary level: 050, state:36> county:079",5743,260,295,2045,490,28806,19252,1130,1562,3166,76,9554,559,52,942,111
"Queens County, New York: Summary level: 050, state:36> county:081",428688,29210,39613,113811,20863,340570,198659,13119,17042,47289,605,141911,4212,6600,18257,1951
"Rensselaer County, New York: Summary level: 050, state:36> county:083",24508,1320,1036,5368,1449,41619,25903,961,1299,1495,66,15716,372,682,698,194
"Richmond County, New York: Summary level: 050, state:36> county:085",50491,2717,4003,14814,4929,115499,78879,3821,5958,14444,707,36620,933,1344,5950,724
"Rockland County, New York: Summary level: 050, state:36> county:087",32706,1716,3185,11490,928,67461,45173,1926,3649,9012,53,22288,534,795,2254,573
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",10463,250,820,2470,1421,30545,16531,633,929,1622,13,14014,131,167,675,8
"Saratoga County, New York: Summary level: 050, state:36> county:091",28348,1669,2218,4708,1525,68673,45982,1502,1723,3518,175,22691,546,430,995,55
"Schenectady County, New York: Summary level: 050, state:36> county:093",14919,837,1452,3818,961,34103,20141,1102,1374,1550,206,13962,204,208,659,178
