,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",52846,1975,2976,13177,2404,71870,45359,1640,2288,3610,118,26511,474,406,1542,265
"Bronx County, New York: Summary level: 050, state:36> county:005",403085,25151,37490,136022,18894,89396,53917,2972,5142,15299,163,35479,680,1098,3173,374
"Broome County, New York: Summary level: 050, state:36> county:007",28035,2019,2231,8799,1567,50775,29365,1452,1082,3509,164,21410,682,556,1357,61
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",8911,882,762,1866,1004,21824,11044,341,509,1064,0,10780,281,243,916,115
"Cayuga County, New York: Summary level: 050, state:36> county:011",9457,539,754,1890,1212,21833,12213,554,413,1159,13,9620,394,154,386,36
"Chautauqua County, New York: Summary level: 050, state:36> county:013",15008,1110,1100,4516,969,37908,20703,824,1044,2495,82,17205,525,340,1271,206
"Chemung County, New York: Summary level: 050, state:36> county:015",10870,780,757,3185,960,23747,14366,466,734,992,0,9381,252,214,415,125
"Clinton County, New York: Summary level: 050, state:36> county:019",9692,475,522,2872,1156,21734,12297,194,439,738,27,9437,258,273,593,135
"Dutchess County, New York: Summary level: 050, state:36> county:027",34231,2216,2580,9605,2653,69959,47863,3699,4123,7912,58,22096,500,845,2395,131
"Erie County, New York: Summary level: 050, state:36> county:029",134093,7972,11972,32900,7864,249564,152200,5861,6979,14136,285,97364,2776,3524,6245,851
"Jefferson County, New York: Summary level: 050, state:36> county:045",19747,561,1816,2787,3126,23769,13720,811,767,1333,353,10049,315,170,643,162
"Kings County, New York: Summary level: 050, state:36> county:047",674002,40411,58998,206621,34021,268400,168041,10058,15646,48737,906,100359,3377,5499,13017,1576
