,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",57111,3741,4487,14446,1255,68218,44269,2061,2649,2821,199,23949,722,468,1363,72
"Bronx County, New York: Summary level: 050, state:36> county:005",402257,26317,37334,128413,17373,96282,57653,3894,4955,14890,462,38629,1087,1364,3681,524
"Broome County, New York: Summary level: 050, state:36> county:007",27576,2744,1530,7752,1977,49381,26833,1468,629,1597,0,22548,413,738,855,0
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",8599,493,554,1884,788,22810,11859,317,629,922,32,10951,253,480,476,99
"Cayuga County, New York: Summary level: 050, state:36> county:011",9133,479,887,1933,509,21833,11748,258,439,1488,22,10085,150,229,369,46
"Chautauqua County, New York: Summary level: 050, state:36> county:013",16506,875,1462,4411,1016,35199,17678,691,895,1280,50,17521,266,807,519,83
"Chemung County, New York: Summary level: 050, state:36> county:015",12147,821,1003,2822,691,22271,13694,668,673,1258,0,8577,63,75,432,97
"Clinton County, New York: Summary level: 050, state:36> county:019",9158,643,319,2194,918,21466,11543,297,519,964,0,9923,58,216,177,219
"Dutchess County, New York: Summary level: 050, state:36> county:027",34965,3055,2552,9926,1944,73235,48831,3038,3018,7439,77,24404,968,1226,1863,123
"Erie County, New York: Summary level: 050, state:36> county:029",133807,7567,10620,32125,9420,246666,150949,5302,5206,12782,477,95717,2314,2767,4967,1212
"Jefferson County, New York: Summary level: 050, state:36> county:045",17227,491,1316,4063,1196,24188,12891,628,942,779,0,11297,194,279,550,385
"Kings County, New York: Summary level: 050, state:36> county:047",664125,37222,51331,194988,34112,277746,170044,10696,14742,43993,1267,107702,3805,4602,14112,2566
"Livingston County, New York: Summary level: 050, state:36> county:051",6075,226,580,1754,412,17829,11477,290,502,780,25,6352,6,242,371,95
"Madison County, New York: Summary level: 050, state:36> county:053",5405,263,246,1387,382,20207,11612,385,346,843,81,8595,463,214,568,111
"Monroe County, New York: Summary level: 050, state:36> county:055",110955,7316,8802,30084,5876,188269,123224,3968,4696,12725,651,65045,1474,1240,3884,670
"Nassau County, New York: Summary level: 050, state:36> county:059",86139,6082,5857,23489,6377,354646,224497,14478,16876,37655,846,130149,4568,7265,17955,987
"New York County, New York: Summary level: 050, state:36> county:061",575969,32289,43584,127482,27255,172324,88861,3566,2755,11039,404,83463,1405,3724,6287,1685
"Niagara County, New York: Summary level: 050, state:36> county:063",25347,1601,1717,5145,1217,61439,34708,1231,1717,1975,359,26731,886,1144,1338,150
"Oneida County, New York: Summary level: 050, state:36> county:065",26712,1250,1313,6464,2354,61217,35308,1101,1379,2913,49,25909,326,1008,1311,175
