,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Rensselaer County, New York: Summary level: 050, state:36> county:083",23757,1366,2453,4388,627,40857,26354,547,650,2121,91,14503,265,425,487,66
"Chautauqua County, New York: Summary level: 050, state:36> county:013",16269,629,1989,4082,1255,37160,20182,656,700,2084,202,16978,111,869,656,272
"Clinton County, New York: Summary level: 050, state:36> county:019",9920,507,474,2069,961,21472,12647,282,299,994,0,8825,403,41,730,268
"New York County, New York: Summary level: 050, state:36> county:061",572050,33504,37287,124484,28409,180208,81696,4058,3112,8452,867,98512,2333,2514,11611,1340
"Saratoga County, New York: Summary level: 050, state:36> county:091",26902,1552,1578,5579,683,67254,45572,1284,1722,3156,38,21682,891,403,1500,56
"Tompkins County, New York: Summary level: 050, state:36> county:109",17774,1145,1313,6262,1233,22476,13512,634,370,1392,0,8964,103,70,452,0
"Oneida County, New York: Summary level: 050, state:36> county:065",29929,1043,2650,6984,2790,58942,33730,1379,1800,3708,69,25212,259,677,1368,310
"Oswego County, New York: Summary level: 050, state:36> county:075",11873,794,814,3766,1280,34397,19744,421,803,1400,0,14653,350,305,1159,121
"Nassau County, New York: Summary level: 050, state:36> county:059",90504,4999,6999,27478,6389,356619,224379,13192,15083,37207,444,132240,4395,6316,18886,1878
"Orange County, New York: Summary level: 050, state:36> county:071",42084,3039,3883,12720,3028,86175,56895,2752,3645,9137,321,29280,714,1304,2835,884
"Rockland County, New York: Summary level: 050, state:36> county:087",31025,2570,2419,9904,1743,68477,42982,2501,3032,8802,406,25495,881,1073,4262,289
"Ontario County, New York: Summary level: 050, state:36> county:069",12010,478,1043,2585,491,32069,19559,1022,711,1528,194,12510,215,571,886,85
"Chemung County, New York: Summary level: 050, state:36> county:015",11498,1057,803,2751,351,22827,11713,512,694,690,76,11114,227,375,442,121
"Jefferson County, New York: Summary level: 050, state:36> county:045",20244,910,1585,3224,1423,24413,14435,289,627,876,298,9978,158,358,431,133
"Erie County, New York: Summary level: 050, state:36> county:029",139209,9151,9468,35932,7916,251132,151090,4692,4857,15058,803,100042,1900,3000,4696,1241
"Ulster County, New York: Summary level: 050, state:36> county:111",22663,1760,1021,6044,2018,46491,25958,1377,1872,3646,43,20533,551,556,1904,224
"Westchester County, New York: Summary level: 050, state:36> county:119",139048,8886,11365,39849,6648,213450,137154,9326,9820,22482,240,76296,2127,3263,10485,421
"Warren County, New York: Summary level: 050, state:36> county:113",9171,625,382,1962,536,18836,10709,638,360,1118,0,8127,151,248,367,144
"Niagara County, New York: Summary level: 050, state:36> county:063",27537,1362,1923,6222,2482,62228,35308,934,1846,2418,185,26920,305,841,2182,277
"Putnam County, New York: Summary level: 050, state:36> county:079",5398,303,137,1422,388,30027,21058,1181,1864,3135,0,8969,355,523,326,86
"Livingston County, New York: Summary level: 050, state:36> county:051",6163,122,464,2135,498,17583,10278,564,313,659,0,7305,460,35,301,0
"Suffolk County, New York: Summary level: 050, state:36> county:103",101823,5326,7912,32802,5647,394961,260850,16964,18092,41625,973,134111,4688,6303,17714,1319
"Cayuga County, New York: Summary level: 050, state:36> county:011",8969,202,853,1897,881,21114,11625,600,641,1018,11,9489,318,394,461,52
"Kings County, New York: Summary level: 050, state:36> county:047",673082,41818,55509,183961,31447,296235,178121,11425,14836,44273,1934,118114,3661,4167,15387,1743
"Onondaga County, New York: Summary level: 050, state:36> county:067",64426,2779,4273,16231,4203,120620,76173,2742,3637,5681,151,44447,746,707,2279,817
"Albany County, New York: Summary level: 050, state:36> county:001",55257,3223,5601,12784,2179,71321,44697,1641,2376,3743,88,26624,908,348,954,156
"Madison County, New York: Summary level: 050, state:36> county:053",5816,407,216,994,246,20311,11625,384,372,1790,18,8686,15,291,401,26
"Queens County, New York: Summary level: 050, state:36> county:081",431140,29164,39949,112923,23729,356970,197820,12088,17142,47175,1329,159150,4048,7623,20044,1834
"Wayne County, New York: Summary level: 050, state:36> county:117",6932,368,678,1024,436,28995,18514,630,466,1842,27,10481,189,343,649,43
"Bronx County, New York: Summary level: 050, state:36> county:005",413699,28574,36698,136531,19611,93671,52567,3574,4563,13052,147,41104,863,1052,5081,1316
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",11839,578,689,2746,977,29841,15323,246,540,2341,82,14518,184,558,766,169
"Richmond County, New York: Summary level: 050, state:36> county:085",51569,3236,2592,13406,4544,115872,77814,5830,4927,13319,1156,38058,1636,1388,4053,255
"Schenectady County, New York: Summary level: 050, state:36> county:093",20588,1003,1264,5612,1355,34674,20625,205,752,2000,49,14049,198,395,853,51
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",9153,576,529,1662,729,22926,11602,331,404,1186,14,11324,205,216,760,142
"Monroe County, New York: Summary level: 050, state:36> county:055",106321,6123,7568,31829,3871,195347,127068,4894,4640,11670,609,68279,1312,2079,4144,981
"Sullivan County, New York: Summary level: 050, state:36> county:105",10023,695,340,2694,520,18877,9275,192,447,1447,142,9602,549,123,1026,63
"Broome County, New York: Summary level: 050, state:36> county:007",27081,1061,3029,6791,2605,48458,26977,433,1308,1955,230,21481,244,408,1921,146
"Dutchess County, New York: Summary level: 050, state:36> county:027",34354,1600,2983,10626,1888,73717,45510,2482,2765,5361,40,28207,1083,965,2650,373
"Steuben County, New York: Summary level: 050, state:36> county:101",10854,660,738,1576,809,29724,13798,187,363,1032,0,15926,370,423,912,12
