,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Bronx County, New York: Summary level: 050, state:36> county:005",416921,32730,34548,131855,21324,96969,57011,2658,6305,12189,557,39958,596,1258,3736,1332
"Onondaga County, New York: Summary level: 050, state:36> county:067",64740,4069,4428,16180,3878,118478,72539,2526,2238,5591,282,45939,444,945,2843,779
"Clinton County, New York: Summary level: 050, state:36> county:019",10856,295,752,2130,937,20566,11322,259,384,1047,69,9244,17,42,308,95
"Putnam County, New York: Summary level: 050, state:36> county:079",7159,297,177,2010,400,27311,18845,926,1607,2498,0,8466,182,745,560,19
"Ontario County, New York: Summary level: 050, state:36> county:069",13000,961,714,1947,402,33025,19000,854,421,1443,309,14025,158,613,592,10
"Steuben County, New York: Summary level: 050, state:36> county:101",10773,256,925,2287,1355,28510,14531,881,591,1112,21,13979,506,470,985,82
"Chautauqua County, New York: Summary level: 050, state:36> county:013",16895,1219,873,4352,1930,38450,19012,637,710,1744,107,19438,448,414,1316,242
"Kings County, New York: Summary level: 050, state:36> county:047",687076,44897,53812,171930,30979,291015,177452,9977,13623,44201,1173,113563,3179,4435,13720,1034
"Saratoga County, New York: Summary level: 050, state:36> county:091",24591,1850,1666,3642,1103,68956,44369,1775,1756,2401,98,24587,320,724,1230,243
"Westchester County, New York: Summary level: 050, state:36> county:119",133995,7303,10843,35529,7574,221141,142058,6681,7311,21569,276,79083,2231,2978,10011,813
"Richmond County, New York: Summary level: 050, state:36> county:085",56995,2614,5214,11898,5881,109302,70998,4242,3853,12628,22,38304,1423,1459,2624,135
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",11488,434,387,3075,1599,31344,14827,357,1042,1065,74,16517,318,507,1008,350
"Tompkins County, New York: Summary level: 050, state:36> county:109",20129,1341,1490,6766,1633,20193,10865,284,612,1310,27,9328,33,0,468,42
"Warren County, New York: Summary level: 050, state:36> county:113",8624,813,440,1951,318,20969,11825,565,742,709,0,9144,275,367,879,0
"Dutchess County, New York: Summary level: 050, state:36> county:027",36780,1963,2683,10433,1861,73749,43768,1444,2433,4256,58,29981,708,647,3591,197
"Monroe County, New York: Summary level: 050, state:36> county:055",113852,7181,12402,27041,4709,191432,125202,5558,4905,10171,171,66230,1104,1602,3066,555
"Oneida County, New York: Summary level: 050, state:36> county:065",28399,1180,2114,5764,1549,61874,34505,1273,1128,2929,201,27369,546,582,1006,478
"Ulster County, New York: Summary level: 050, state:36> county:111",22627,2048,1168,6649,1669,46749,25382,1128,1214,3254,49,21367,520,847,1787,226
"Chemung County, New York: Summary level: 050, state:36> county:015",9418,492,435,2248,551,24072,11584,147,526,873,155,12488,169,444,783,25
"Livingston County, New York: Summary level: 050, state:36> county:051",5935,366,358,1899,338,17474,10146,528,388,635,0,7328,156,0,553,0
"Madison County, New York: Summary level: 050, state:36> county:053",5683,363,764,1015,695,20303,12140,283,818,1064,0,8163,95,213,402,232
"Albany County, New York: Summary level: 050, state:36> county:001",53955,2643,4392,11587,2605,74329,48183,1638,2766,3479,107,26146,805,378,1168,249
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",8759,482,1127,1610,1039,24297,11376,369,493,815,33,12921,369,346,907,224
"Schenectady County, New York: Summary level: 050, state:36> county:093",23112,1445,1220,6133,1051,39422,25992,924,2003,1872,0,13430,0,421,331,171
"Rensselaer County, New York: Summary level: 050, state:36> county:083",25564,2037,1605,4888,1936,40226,25227,1188,1207,1820,0,14999,96,270,631,207
"Queens County, New York: Summary level: 050, state:36> county:081",438262,28260,34751,110067,24049,346290,191185,9996,14952,45528,941,155105,4460,6194,16267,1883
"New York County, New York: Summary level: 050, state:36> county:061",588960,27679,42023,117909,27001,179243,88247,2511,3936,9019,206,90996,1824,2658,7674,1581
"Cayuga County, New York: Summary level: 050, state:36> county:011",8456,559,873,1579,646,23033,11879,569,409,1057,0,11154,245,275,675,106
"Rockland County, New York: Summary level: 050, state:36> county:087",32368,2471,2922,9071,1978,69056,45364,2547,4226,7141,199,23692,1144,841,2761,352
"Niagara County, New York: Summary level: 050, state:36> county:063",26706,1900,2045,5803,2074,63919,35394,1209,1455,2441,0,28525,368,299,2426,423
"Nassau County, New York: Summary level: 050, state:36> county:059",87358,4869,7658,23351,5537,362440,229632,12312,16902,40929,1236,132808,4236,6168,15687,1541
"Jefferson County, New York: Summary level: 050, state:36> county:045",17878,959,1568,3321,1086,23336,13183,823,884,631,99,10153,73,158,412,62
"Suffolk County, New York: Summary level: 050, state:36> county:103",95591,7266,10274,27628,5757,404153,260022,12584,19050,40325,682,144131,4866,6187,17392,1000
"Oswego County, New York: Summary level: 050, state:36> county:075",10927,556,950,2247,928,35713,20679,941,1390,1302,90,15034,570,325,729,119
"Wayne County, New York: Summary level: 050, state:36> county:117",8611,460,751,1630,1012,28023,15951,1299,697,1040,149,12072,223,538,673,144
"Broome County, New York: Summary level: 050, state:36> county:007",28509,913,3656,7235,2629,50800,29237,1034,1186,2464,133,21563,300,492,1144,52
"Erie County, New York: Summary level: 050, state:36> county:029",141221,8930,10613,33888,10252,257105,155456,4193,6058,11168,491,101649,2344,2538,6279,1186
"Sullivan County, New York: Summary level: 050, state:36> county:105",8909,732,363,2877,691,20051,10351,486,798,1058,16,9700,308,619,1097,16
"Orange County, New York: Summary level: 050, state:36> county:071",44099,2055,5049,12410,2608,87322,59103,3564,3948,7489,364,28219,765,944,2508,294
