,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",53132,2959,4709,13544,2140,70119,43224,1979,2175,4084,81,26895,585,1299,1469,48
"Bronx County, New York: Summary level: 050, state:36> county:005",391990,23126,34684,129324,16242,89153,53570,3470,6012,14455,271,35583,969,1481,5294,650
"Broome County, New York: Summary level: 050, state:36> county:007",24591,1598,2379,7101,1658,52123,29241,2008,1267,2782,163,22882,600,775,916,86
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",9658,503,798,2169,622,22613,12216,531,526,1028,0,10397,418,256,482,42
"Cayuga County, New York: Summary level: 050, state:36> county:011",8560,812,805,1248,721,22224,12797,452,618,1592,145,9427,272,270,699,269
"Chautauqua County, New York: Summary level: 050, state:36> county:013",17248,489,1176,4682,1589,37303,19838,759,1226,1935,0,17465,436,414,1538,134
"Chemung County, New York: Summary level: 050, state:36> county:015",11678,847,880,3608,764,24160,13536,386,417,1062,0,10624,152,226,658,90
"Clinton County, New York: Summary level: 050, state:36> county:019",10189,1042,785,2790,723,21673,12123,1014,888,1338,0,9550,372,517,285,65
"Dutchess County, New York: Summary level: 050, state:36> county:027",32515,2586,3074,9409,2118,75237,52847,3812,4444,7101,100,22390,724,916,2737,91
"Erie County, New York: Summary level: 050, state:36> county:029",134143,7005,9997,32605,9701,247784,154618,4993,6790,12938,746,93166,2439,1996,4528,898
"Jefferson County, New York: Summary level: 050, state:36> county:045",19412,941,1301,3423,2914,23054,14659,534,598,1394,273,8395,29,587,630,94
"Kings County, New York: Summary level: 050, state:36> county:047",651248,40320,56904,182053,39065,274241,173241,11451,17022,49620,1218,101000,3596,4305,13026,1454
"Livingston County, New York: Summary level: 050, state:36> county:051",5727,518,797,1202,602,18126,10554,779,506,974,46,7572,88,157,261,121
"Madison County, New York: Summary level: 050, state:36> county:053",7026,548,410,1245,619,19492,12068,277,644,1214,0,7424,117,198,382,60
"Monroe County, New York: Summary level: 050, state:36> county:055",109154,6981,10373,32323,4771,189160,126122,5825,7074,11154,390,63038,1635,1715,3812,366
"Nassau County, New York: Summary level: 050, state:36> county:059",93621,5771,10769,26378,5782,344967,223193,16432,18654,45238,493,121774,4272,6884,16366,1215
"New York County, New York: Summary level: 050, state:36> county:061",558910,30877,41203,134075,21178,167447,86545,2917,3794,9958,1216,80902,2032,2543,7624,1260
"Niagara County, New York: Summary level: 050, state:36> county:063",25819,2290,1578,6036,1325,62151,36785,1378,1637,4046,109,25366,302,1017,1448,166
"Oneida County, New York: Summary level: 050, state:36> county:065",31815,1572,2680,7768,2496,57833,31266,1652,1143,4038,70,26567,821,769,2559,195
"Onondaga County, New York: Summary level: 050, state:36> county:067",64628,2965,4846,16351,4572,119688,77449,2708,3889,6392,533,42239,1099,1324,2229,497
"Ontario County, New York: Summary level: 050, state:36> county:069",11921,632,1053,3251,703,31107,20401,529,1113,1858,0,10706,387,363,467,0
"Orange County, New York: Summary level: 050, state:36> county:071",39417,2059,3543,13256,1965,84560,59786,4017,5542,9958,115,24774,1388,1297,3355,315
"Oswego County, New York: Summary level: 050, state:36> county:075",12330,817,901,4015,1051,32997,19347,838,1025,1950,0,13650,223,418,760,89
"Putnam County, New York: Summary level: 050, state:36> county:079",5636,179,740,1226,593,26615,19890,1001,1310,3983,0,6725,317,392,763,327
"Queens County, New York: Summary level: 050, state:36> county:081",440007,27332,43175,128105,22084,344236,209833,13913,19012,57271,1304,134403,3892,6946,14017,2088
"Rensselaer County, New York: Summary level: 050, state:36> county:083",22603,1215,1501,4938,1207,41378,27924,1293,1433,2840,109,13454,278,892,1161,84
"Richmond County, New York: Summary level: 050, state:36> county:085",54612,2957,4139,16321,4652,113017,77316,4930,6893,15610,981,35701,1500,1433,3621,319
"Rockland County, New York: Summary level: 050, state:36> county:087",30015,2007,2785,11709,1286,68279,47167,3018,4696,9915,218,21112,972,866,2758,80
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",11769,926,605,2656,1404,29530,16333,949,750,2040,31,13197,281,302,1010,257
"Saratoga County, New York: Summary level: 050, state:36> county:091",26009,2065,1129,5776,1102,64388,41890,2134,1670,3734,0,22498,683,648,1722,105
"Schenectady County, New York: Summary level: 050, state:36> county:093",18546,1042,1711,6879,881,38980,26610,1014,1577,2165,157,12370,423,381,529,0
"Steuben County, New York: Summary level: 050, state:36> county:101",11722,696,935,2379,1446,29519,14571,599,691,1252,15,14948,395,110,913,88
"Suffolk County, New York: Summary level: 050, state:36> county:103",99237,8460,8365,33064,6076,397721,277031,21731,26282,55652,1390,120690,5848,6613,20644,1472
"Sullivan County, New York: Summary level: 050, state:36> county:105",10202,205,792,2870,1095,17306,9237,482,852,1743,89,8069,387,578,715,114
"Tompkins County, New York: Summary level: 050, state:36> county:109",16211,506,1607,4968,922,21313,12229,453,587,1341,89,9084,50,359,414,51
"Ulster County, New York: Summary level: 050, state:36> county:111",20231,2176,1581,5272,2544,48419,29209,1352,2399,5454,132,19210,646,479,1655,287
"Warren County, New York: Summary level: 050, state:36> county:113",7839,824,271,1745,461,19389,10855,460,681,1513,0,8534,180,341,738,0
"Wayne County, New York: Summary level: 050, state:36> county:117",5828,515,299,1767,194,29521,17170,1325,558,1713,24,12351,336,118,284,201
