,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Alden village, New York: Summary level: 160, state:36> place:01088",2607,2570,2530,5,11,0,0,0,24,0,24,37
"Alexander village, New York: Summary level: 160, state:36> place:01154",568,560,547,10,0,3,0,0,0,0,0,8
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",995,984,949,11,0,9,0,0,15,0,15,11
"Alfred village, New York: Summary level: 160, state:36> place:01198",4344,4168,3449,399,28,213,5,0,74,8,66,176
"Allegany village, New York: Summary level: 160, state:36> place:01286",1756,1719,1655,7,0,40,0,0,17,0,17,37
"Almond village, New York: Summary level: 160, state:36> place:01440",507,502,487,0,0,14,0,0,1,0,1,5
"Altamont village, New York: Summary level: 160, state:36> place:01517",1522,1464,1459,0,0,0,2,0,3,0,3,58
"Altmar village, New York: Summary level: 160, state:36> place:01550",364,355,343,0,2,7,0,0,3,0,3,9
"Altona CDP, New York: Summary level: 160, state:36> place:01572",786,669,391,278,0,0,0,0,0,0,0,117
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1025,962,943,14,0,5,0,0,0,0,0,63
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1264,772,745,23,4,0,0,0,0,0,0,492
"Ames village, New York: Summary level: 160, state:36> place:01737",190,183,181,2,0,0,0,0,0,0,0,7
"Amityville village, New York: Summary level: 160, state:36> place:02044",9525,7907,6433,1052,0,160,0,0,262,0,262,1618
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",18425,13372,12364,380,9,118,11,40,450,6,444,5053
"Andes CDP, New York: Summary level: 160, state:36> place:02121",216,194,190,0,0,4,0,0,0,0,0,22
"Andover village, New York: Summary level: 160, state:36> place:02143",835,831,824,7,0,0,0,0,0,0,0,4
"Angelica village, New York: Summary level: 160, state:36> place:02176",919,916,907,0,4,2,0,0,3,0,3,3
"Angola village, New York: Summary level: 160, state:36> place:02198",1867,1815,1740,0,0,7,0,0,68,0,68,52
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1432,1432,1394,30,0,0,0,0,8,0,8,0
"Antwerp village, New York: Summary level: 160, state:36> place:02286",556,547,525,0,1,14,0,0,7,0,7,9
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1460,1423,1405,3,0,8,0,0,7,0,7,37
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",2277,1938,1573,365,0,0,0,0,0,0,0,339
"Arcade village, New York: Summary level: 160, state:36> place:02407",1965,1958,1943,1,5,9,0,0,0,0,0,7
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4471,3937,2942,150,0,767,0,0,78,0,78,534
"Argyle village, New York: Summary level: 160, state:36> place:02550",293,293,292,0,0,0,0,0,1,0,1,0
"Arkport village, New York: Summary level: 160, state:36> place:02583",906,876,834,0,12,0,0,0,30,0,30,30
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",4084,3524,2355,607,2,410,0,75,75,0,75,560
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4500,4223,4036,43,7,100,0,0,37,0,37,277
"Asharoken village, New York: Summary level: 160, state:36> place:02737",610,602,592,0,0,7,0,0,3,0,3,8
"Athens village, New York: Summary level: 160, state:36> place:02902",1446,1390,1270,26,0,77,0,0,17,0,17,56
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1647,1580,1539,0,0,41,0,0,0,0,0,67
"Attica village, New York: Summary level: 160, state:36> place:03001",2707,2683,2573,43,15,23,0,0,29,0,29,24
"Auburn city, New York: Summary level: 160, state:36> place:03078",27571,26523,23067,2366,86,260,0,0,744,22,722,1048
"Aurora village, New York: Summary level: 160, state:36> place:03188",733,671,651,15,0,0,0,0,5,0,5,62
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",423,423,423,0,0,0,0,0,0,0,0,0
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1690,1615,1493,106,0,0,0,0,16,0,16,75
"Avoca village, New York: Summary level: 160, state:36> place:03331",976,951,932,7,0,0,0,0,12,0,12,25
"Avon village, New York: Summary level: 160, state:36> place:03353",3378,3281,3202,23,0,33,0,0,23,0,23,97
"Babylon village, New York: Summary level: 160, state:36> place:03408",12175,11315,10430,130,34,632,0,0,89,0,89,860
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1313,1224,1180,11,4,0,0,0,29,0,29,89
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",1565,1551,1536,9,0,6,0,0,0,0,0,14
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",23757,18143,9578,7131,0,776,0,213,445,92,353,5614
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",7921,6670,4185,2008,21,322,0,0,134,10,124,1251
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7384,7192,6531,231,20,113,0,0,297,12,285,192
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",5465,5296,5198,11,24,20,0,0,43,0,43,169
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",2944,2400,1998,246,0,139,0,0,17,0,17,544
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",4013,3719,2936,92,0,587,0,0,104,88,16,294
"Barker village, New York: Summary level: 160, state:36> place:04440",741,564,559,0,3,0,0,0,2,0,2,177
"Barneveld village, New York: Summary level: 160, state:36> place:04528",233,229,206,0,0,0,0,0,23,0,23,4
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2542,2021,1898,25,0,77,0,0,21,0,21,521
"Batavia city, New York: Summary level: 160, state:36> place:04715",15406,14717,12926,957,45,135,0,6,648,0,648,689
"Bath village, New York: Summary level: 160, state:36> place:04759",5763,5698,5220,395,19,10,0,0,54,0,54,65
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",885,804,696,3,0,88,0,0,17,0,17,81
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",1790,1635,1635,0,0,0,0,0,0,0,0,155
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",8533,8047,7482,312,9,102,0,35,107,0,107,486
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",28365,19067,12002,5741,0,991,0,36,297,63,234,9298
"Bayville village, New York: Summary level: 160, state:36> place:05034",6701,6441,6279,30,15,107,0,0,10,0,10,260
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7842,4645,3304,974,1,200,0,0,166,13,153,3197
"Beacon city, New York: Summary level: 160, state:36> place:05100",14724,11586,8503,2513,6,123,0,81,360,12,348,3138
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",2389,2069,2030,39,0,0,0,0,0,0,0,320
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2132,1828,1708,43,0,39,0,0,38,20,18,304
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",2944,1857,1551,278,0,28,0,0,0,0,0,1087
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",917,880,866,8,0,0,0,0,6,0,6,37
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1205,1163,1003,15,0,84,0,8,53,0,53,42
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",1991,1736,826,24,0,680,0,50,156,89,67,255
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",836,803,722,0,0,44,0,0,37,0,37,33
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",317,270,270,0,0,0,0,0,0,0,0,47
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",16377,15325,14345,51,0,731,0,7,191,5,186,1052
"Bellport village, New York: Summary level: 160, state:36> place:05771",2152,2066,1996,22,13,10,0,0,25,0,25,86
"Belmont village, New York: Summary level: 160, state:36> place:05815",1090,1060,1027,2,8,3,0,15,5,0,5,30
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",241,241,241,0,0,0,0,0,0,0,0,0
"Bergen village, New York: Summary level: 160, state:36> place:06046",1314,1292,1264,25,3,0,0,0,0,0,0,22
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",16624,15424,14058,23,0,1050,0,112,181,0,181,1200
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5552,5473,5083,19,0,279,0,0,92,0,92,79
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1486,1430,1430,0,0,0,0,0,0,0,0,56
"Binghamton city, New York: Summary level: 160, state:36> place:06607",46975,44007,34645,5025,109,2353,0,82,1793,33,1760,2968
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",6151,5605,3667,489,6,1262,0,8,173,55,118,546
"Black River village, New York: Summary level: 160, state:36> place:06794",1407,1323,1159,39,3,14,7,11,90,8,82,84
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2563,2522,2422,40,0,2,0,30,28,0,28,41
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5469,5113,4532,67,0,463,0,0,51,25,26,356
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",623,623,619,4,0,0,0,0,0,0,0,0
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",340,340,340,0,0,0,0,0,0,0,0,0
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1546,1544,1502,2,0,33,0,0,7,0,7,2
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",545,434,357,46,0,0,0,0,31,0,31,111
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",207,207,207,0,0,0,0,0,0,0,0,0
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4538,4314,4239,0,14,55,0,0,6,0,6,224
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",10644,9792,9482,43,0,202,0,0,65,0,65,852
"Bolivar village, New York: Summary level: 160, state:36> place:07190",1060,1060,1040,5,0,3,0,0,12,0,12,0
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",657,552,477,75,0,0,0,0,0,0,0,105
"Boonville village, New York: Summary level: 160, state:36> place:07355",1986,1967,1907,0,0,30,0,0,30,0,30,19
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",693,690,681,0,0,0,0,0,9,0,9,3
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",655,655,642,0,0,13,0,0,0,0,0,0
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",57361,18517,7736,8392,115,1273,0,412,589,3,586,38844
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",4373,4321,4121,0,0,68,0,0,132,0,132,52
"Brewster village, New York: Summary level: 160, state:36> place:08070",2447,1043,822,126,0,33,0,6,56,0,56,1404
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1581,1464,1320,35,0,29,0,0,80,15,65,117
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7943,7504,6366,226,0,688,0,23,201,34,167,439
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1349,1148,1079,44,0,25,0,0,0,0,0,201
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1327,1327,1307,0,20,0,0,0,0,0,0,0
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",484,484,482,0,0,0,0,0,2,0,2,0
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",36664,35598,28380,1804,22,4235,61,560,536,27,509,1066
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3105,2904,2759,8,0,100,0,0,37,0,37,201
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2763,2533,2278,108,0,102,0,10,35,15,20,230
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1597,1485,1467,0,0,0,0,0,18,0,18,112
"Brockport village, New York: Summary level: 160, state:36> place:08466",8369,7988,7198,239,86,207,0,0,258,0,258,381
"Brocton village, New York: Summary level: 160, state:36> place:08488",1562,1548,1500,14,0,0,0,0,34,0,34,14
"Bronxville village, New York: Summary level: 160, state:36> place:08532",6352,5941,5381,44,0,332,0,0,184,8,176,411
