,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Oneida County, New York: Summary level: 050, state:36> county:065",231332.0,218019.0,189072.0,14336.0,499.0,10563.0,0.0,95.0,3454.0,225.0,3229.0,13313.0
"Onondaga County, New York: Summary level: 050, state:36> county:067",465398.0,442667.0,356210.0,51323.0,1464.0,19377.0,114.0,537.0,13642.0,384.0,13258.0,22731.0
"Ontario County, New York: Summary level: 050, state:36> county:069",,,,,,,,,,,,
"Orange County, New York: Summary level: 050, state:36> county:071",382226.0,303369.0,244609.0,36556.0,1213.0,9694.0,271.0,3705.0,7321.0,1233.0,6088.0,78857.0
"Oswego County, New York: Summary level: 050, state:36> county:075",118478.0,115362.0,111340.0,1161.0,231.0,708.0,0.0,0.0,1922.0,0.0,1922.0,3116.0
"Putnam County, New York: Summary level: 050, state:36> county:079",99323.0,84288.0,77930.0,1698.0,0.0,1919.0,38.0,258.0,2445.0,91.0,2354.0,15035.0
"Queens County, New York: Summary level: 050, state:36> county:081",2358582.0,1698032.0,580529.0,404080.0,4895.0,611925.0,828.0,48191.0,47584.0,12597.0,34987.0,660550.0
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159722.0,151660.0,132325.0,8369.0,85.0,4489.0,0.0,355.0,6037.0,211.0,5826.0,8062.0
"Richmond County, New York: Summary level: 050, state:36> county:085",479458.0,390392.0,291222.0,45904.0,576.0,45579.0,0.0,604.0,6507.0,1524.0,4983.0,89066.0
"Rockland County, New York: Summary level: 050, state:36> county:087",328868.0,269778.0,205805.0,37321.0,485.0,19976.0,0.0,974.0,5217.0,199.0,5018.0,59090.0
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",109623.0,107044.0,100822.0,3286.0,462.0,1272.0,113.0,51.0,1038.0,0.0,1038.0,2579.0
"Saratoga County, New York: Summary level: 050, state:36> county:091",229869.0,222442.0,207192.0,3867.0,646.0,6761.0,0.0,156.0,3820.0,389.0,3431.0,7427.0
"Schenectady County, New York: Summary level: 050, state:36> county:093",155565.0,144750.0,113583.0,17197.0,306.0,7064.0,0.0,2029.0,4571.0,245.0,4326.0,10815.0
"Steuben County, New York: Summary level: 050, state:36> county:101",,,,,,,,,,,,
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492953.0,1201175.0,1001291.0,109802.0,2003.0,58893.0,0.0,8070.0,21116.0,2932.0,18184.0,291778.0
"Sullivan County, New York: Summary level: 050, state:36> county:105",,,,,,,,,,,,
"Tompkins County, New York: Summary level: 050, state:36> county:109",,,,,,,,,,,,
"Ulster County, New York: Summary level: 050, state:36> county:111",179417.0,160955.0,141503.0,9447.0,226.0,4211.0,0.0,438.0,5130.0,93.0,5037.0,18462.0
"Warren County, New York: Summary level: 050, state:36> county:113",,,,,,,,,,,,
"Wayne County, New York: Summary level: 050, state:36> county:117",,,,,,,,,,,,
"Westchester County, New York: Summary level: 050, state:36> county:119",980244.0,736524.0,521208.0,131790.0,1091.0,60075.0,555.0,4531.0,17274.0,1083.0,16191.0,243720.0
