,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Albany County, New York: Summary level: 050, state:36> county:001",309381.0,291173.0,225853.0,35399.0,613.0,19505.0,325.0,518.0,8960.0,213.0,8747.0,18208.0
"Bronx County, New York: Summary level: 050, state:36> county:005",1455444.0,653223.0,145316.0,426944.0,2971.0,52537.0,63.0,7693.0,17699.0,3212.0,14487.0,802221.0
"Broome County, New York: Summary level: 050, state:36> county:007",196567.0,188652.0,164966.0,10171.0,315.0,8347.0,65.0,63.0,4725.0,157.0,4568.0,7915.0
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",,,,,,,,,,,,
"Cayuga County, New York: Summary level: 050, state:36> county:011",,,,,,,,,,,,
"Chautauqua County, New York: Summary level: 050, state:36> county:013",130779.0,121313.0,114544.0,2945.0,729.0,844.0,142.0,226.0,1883.0,0.0,1883.0,9466.0
"Chemung County, New York: Summary level: 050, state:36> county:015",,,,,,,,,,,,
"Clinton County, New York: Summary level: 050, state:36> county:019",,,,,,,,,,,,
"Dutchess County, New York: Summary level: 050, state:36> county:027",295754.0,260770.0,212711.0,29187.0,409.0,11408.0,210.0,710.0,6135.0,452.0,5683.0,34984.0
"Erie County, New York: Summary level: 050, state:36> county:029",922578.0,874437.0,698706.0,123161.0,3838.0,31703.0,192.0,2732.0,14105.0,1134.0,12971.0,48141.0
"Jefferson County, New York: Summary level: 050, state:36> county:045",117635.0,109018.0,96298.0,7226.0,514.0,2320.0,186.0,0.0,2474.0,0.0,2474.0,8617.0
"Kings County, New York: Summary level: 050, state:36> county:047",2636735.0,2123493.0,941604.0,801354.0,4793.0,317185.0,343.0,12722.0,45492.0,4702.0,40790.0,513242.0
"Livingston County, New York: Summary level: 050, state:36> county:051",,,,,,,,,,,,
"Madison County, New York: Summary level: 050, state:36> county:053",,,,,,,,,,,,
"Monroe County, New York: Summary level: 050, state:36> county:055",749600.0,687092.0,531751.0,110139.0,1600.0,28502.0,99.0,1127.0,13874.0,774.0,13100.0,62508.0
"Nassau County, New York: Summary level: 050, state:36> county:059",1361350.0,1137167.0,832061.0,151665.0,1603.0,125239.0,116.0,9462.0,17021.0,3120.0,13901.0,224183.0
"New York County, New York: Summary level: 050, state:36> county:061",1644518.0,1217624.0,765068.0,206615.0,1600.0,199675.0,541.0,5022.0,39103.0,2850.0,36253.0,426894.0
"Niagara County, New York: Summary level: 050, state:36> county:063",212652.0,206794.0,182424.0,14792.0,1485.0,2853.0,0.0,249.0,4991.0,258.0,4733.0,5858.0
"Oneida County, New York: Summary level: 050, state:36> county:065",232500.0,219777.0,191423.0,12360.0,593.0,9268.0,533.0,308.0,5292.0,25.0,5267.0,12723.0
"Onondaga County, New York: Summary level: 050, state:36> county:067",468463.0,446048.0,360525.0,49626.0,2997.0,17396.0,109.0,1869.0,13526.0,342.0,13184.0,22415.0
"Ontario County, New York: Summary level: 050, state:36> county:069",,,,,,,,,,,,
"Orange County, New York: Summary level: 050, state:36> county:071",377647.0,302969.0,245065.0,38213.0,1101.0,9428.0,0.0,2250.0,6912.0,1095.0,5817.0,74678.0
"Oswego County, New York: Summary level: 050, state:36> county:075",,,,,,,,,,,,
"Putnam County, New York: Summary level: 050, state:36> county:079",,,,,,,,,,,,
"Queens County, New York: Summary level: 050, state:36> county:081",2339150.0,1683119.0,594806.0,400287.0,4081.0,587877.0,427.0,44577.0,51064.0,11260.0,39804.0,656031.0
"Rensselaer County, New York: Summary level: 050, state:36> county:083",,,,,,,,,,,,
"Richmond County, New York: Summary level: 050, state:36> county:085",474558.0,387821.0,294203.0,45160.0,362.0,38860.0,280.0,1257.0,7699.0,1153.0,6546.0,86737.0
"Rockland County, New York: Summary level: 050, state:36> county:087",326037.0,269225.0,204930.0,38433.0,143.0,19837.0,0.0,692.0,5190.0,758.0,4432.0,56812.0
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111007.0,108455.0,101979.0,2387.0,713.0,1207.0,0.0,0.0,2169.0,26.0,2143.0,2552.0
"Saratoga County, New York: Summary level: 050, state:36> county:091",,,,,,,,,,,,
"Schenectady County, New York: Summary level: 050, state:36> county:093",154604.0,144210.0,113082.0,13916.0,57.0,6916.0,0.0,3582.0,6657.0,1375.0,5282.0,10394.0
"Steuben County, New York: Summary level: 050, state:36> county:101",,,,,,,,,,,,
"Suffolk County, New York: Summary level: 050, state:36> county:103",1501587.0,1221724.0,1025387.0,108544.0,1774.0,62669.0,276.0,5400.0,17674.0,1805.0,15869.0,279863.0
"Sullivan County, New York: Summary level: 050, state:36> county:105",,,,,,,,,,,,
"Tompkins County, New York: Summary level: 050, state:36> county:109",,,,,,,,,,,,
"Ulster County, New York: Summary level: 050, state:36> county:111",180143.0,162001.0,143288.0,10448.0,37.0,3760.0,318.0,375.0,3775.0,125.0,3650.0,18142.0
"Warren County, New York: Summary level: 050, state:36> county:113",,,,,,,,,,,,
"Wayne County, New York: Summary level: 050, state:36> county:117",,,,,,,,,,,,
"Westchester County, New York: Summary level: 050, state:36> county:119",976396.0,740354.0,526578.0,130735.0,1449.0,58390.0,186.0,7903.0,15113.0,914.0,14199.0,236042.0
