,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Fairport village, New York: Summary level: 160, state:36> place:25076",5349,5263,5069,3,22,94,0,0,75,0,75,86
"Hilton village, New York: Summary level: 160, state:36> place:34847",5858,5543,5222,216,0,19,0,0,86,0,86,315
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1667,1612,1507,10,0,36,0,0,59,0,59,55
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",9206,8335,7542,30,0,729,0,0,34,0,34,871
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",24442,21727,19410,1432,0,641,0,40,204,0,204,2715
"Remsen village, New York: Summary level: 160, state:36> place:61115",418,390,390,0,0,0,0,0,0,0,0,28
"Sherrill city, New York: Summary level: 160, state:36> place:66993",3031,2949,2879,67,2,0,0,0,1,0,1,82
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",832,832,791,21,0,0,0,0,20,0,20,0
"Yorkville village, New York: Summary level: 160, state:36> place:84099",2607,2418,2353,15,0,26,0,0,24,0,24,189
"Camillus village, New York: Summary level: 160, state:36> place:11902",1194,1168,1069,38,0,7,0,0,54,0,54,26
"Fabius village, New York: Summary level: 160, state:36> place:24867",336,333,323,0,8,0,0,0,2,0,2,3
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",652,627,602,4,0,4,0,0,17,0,17,25
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",4853,4188,3900,44,0,148,0,0,96,0,96,665
"Portville village, New York: Summary level: 160, state:36> place:59498",965,930,909,0,0,0,0,9,12,0,12,35
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",831,823,769,41,0,8,0,0,5,1,4,8
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3841,3105,1616,939,7,437,0,0,106,0,106,736
"Glen Park village, New York: Summary level: 160, state:36> place:29322",568,557,524,2,0,4,0,0,27,0,27,11
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",1100,1012,934,8,0,40,0,0,30,0,30,88
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",355,354,333,0,0,11,0,0,10,0,10,1
"Oneonta city, New York: Summary level: 160, state:36> place:54881",13834,12718,11339,496,15,420,0,32,416,73,343,1116
"West End CDP, New York: Summary level: 160, state:36> place:79796",1887,1782,1704,64,0,0,0,8,6,0,6,105
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2120,2114,1850,79,0,173,0,0,12,0,12,6
"Galway village, New York: Summary level: 160, state:36> place:28101",221,214,212,2,0,0,0,0,0,0,0,7
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",737,608,478,64,0,0,0,0,66,0,66,129
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",2373,2215,1679,106,6,0,0,24,400,0,400,158
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4522,4000,3899,11,0,90,0,0,0,0,0,522
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",4327,3513,3010,280,0,210,0,0,13,0,13,814
"Patchogue village, New York: Summary level: 160, state:36> place:56660",12398,8651,7434,551,106,345,0,31,184,21,163,3747
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",747,625,625,0,0,0,0,0,0,0,0,122
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6117,5569,5482,12,0,59,0,0,16,0,16,548
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",2170,2022,1703,52,0,251,0,0,16,0,16,148
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",15600,13460,11567,332,0,1431,0,33,97,0,97,2140
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",16229,9807,220,9328,33,70,0,35,121,21,100,6422
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",932,893,654,0,0,222,0,7,10,0,10,39
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",31828,19597,6771,10929,19,985,0,190,703,117,586,12231
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",4202,3851,2160,41,0,1624,0,0,26,0,26,351
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",20116,15762,11803,2219,0,1265,0,47,428,67,361,4354
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",875,863,766,29,45,5,0,0,18,0,18,12
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",481,478,475,0,0,3,0,0,0,0,0,3
"Fredonia village, New York: Summary level: 160, state:36> place:27419",10637,9801,8929,368,73,111,5,0,315,4,311,836
"Constableville village, New York: Summary level: 160, state:36> place:17882",287,283,268,0,0,0,0,0,15,0,15,4
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",765,743,699,14,0,6,0,0,24,0,24,22
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",543,543,528,4,0,0,0,0,11,0,11,0
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",1521,1406,1328,26,0,47,0,0,5,0,5,115
"Richmondville village, New York: Summary level: 160, state:36> place:61588",869,863,826,1,8,23,0,0,5,5,0,6
"Ithaca city, New York: Summary level: 160, state:36> place:38077",30568,28495,19795,1880,57,5224,0,206,1333,79,1254,2073
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",1739,1668,1601,0,0,33,0,0,34,0,34,71
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",637,626,596,17,0,0,0,0,13,0,13,11
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",1654,1579,1440,120,0,0,0,0,19,0,19,75
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",492,491,482,5,4,0,0,0,0,0,0,1
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",977,972,960,5,0,0,0,0,7,0,7,5
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4882,4484,3855,77,0,331,0,0,221,0,221,398
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",547,527,462,0,3,0,0,0,62,11,51,20
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",2561,2490,2369,95,0,6,0,0,20,0,20,71
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",861,799,757,4,0,0,0,0,38,0,38,62
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",819,787,755,0,0,0,0,0,32,0,32,32
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",149,149,140,0,0,0,0,0,9,0,9,0
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",267,267,201,0,0,9,0,0,57,0,57,0
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",105,105,105,0,0,0,0,0,0,0,0,0
