,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",7001,6695,5282,200,0,1127,0,0,86,0,86,306
"Angola village, New York: Summary level: 160, state:36> place:02198",2199,2112,1958,46,95,0,0,0,13,0,13,87
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",3125,3125,3073,0,0,52,0,0,0,0,0,0
"Gowanda village, New York: Summary level: 160, state:36> place:29630",2820,2775,2481,16,86,23,2,0,167,0,167,45
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2835,2828,2811,0,0,0,0,0,17,0,17,7
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",11950,8284,7566,418,76,53,0,0,171,0,171,3666
"Panama village, New York: Summary level: 160, state:36> place:56231",412,408,408,0,0,0,0,0,0,0,0,4
"Croghan village, New York: Summary level: 160, state:36> place:19070",621,602,576,0,3,23,0,0,0,0,0,19
"Lowville village, New York: Summary level: 160, state:36> place:43720",3225,3208,3067,52,34,7,23,0,25,0,25,17
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1774,1757,1707,45,5,0,0,0,0,0,0,17
"Lodi village, New York: Summary level: 160, state:36> place:43214",351,348,347,0,1,0,0,0,0,0,0,3
"Waterloo village, New York: Summary level: 160, state:36> place:78553",4959,4892,4663,11,22,31,0,0,165,0,165,67
"Alfred village, New York: Summary level: 160, state:36> place:01198",4317,3985,3372,310,21,222,0,18,42,0,42,332
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",524,520,507,0,0,13,0,0,0,0,0,4
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",1761,1662,1392,131,6,119,0,0,14,0,14,99
"Hamilton village, New York: Summary level: 160, state:36> place:31709",3860,3615,2953,198,11,305,0,0,148,9,139,245
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5359,5224,4921,101,0,110,0,6,86,0,86,135
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",15495,13505,12105,322,0,680,0,277,121,0,121,1990
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",183,179,175,0,0,0,0,0,4,4,0,4
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9776,9047,8823,48,0,140,0,0,36,0,36,729
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",3667,2629,687,1757,0,42,0,0,143,0,143,1038
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",26286,23496,21643,592,192,638,66,7,358,26,332,2790
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2191,1869,1631,22,0,115,0,76,25,0,25,322
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",660,660,652,7,0,1,0,0,0,0,0,0
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",1008,966,966,0,0,0,0,0,0,0,0,42
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",1188,1184,1063,4,0,117,0,0,0,0,0,4
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",6591,5665,3615,419,0,1532,0,19,80,58,22,926
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",577,577,536,0,0,41,0,0,0,0,0,0
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",19559,18567,12814,98,19,5351,0,20,265,55,210,992
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",18078,16904,16340,74,0,298,0,77,115,13,102,1174
"Boonville village, New York: Summary level: 160, state:36> place:07355",2063,2054,2032,0,0,0,0,0,22,0,22,9
"Camden village, New York: Summary level: 160, state:36> place:11847",2570,2511,2400,23,1,15,0,0,72,0,72,59
"Utica city, New York: Summary level: 160, state:36> place:76540",60675,53249,35087,9232,214,6774,26,84,1832,24,1808,7426
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",2968,2883,2816,23,0,9,0,0,35,0,35,85
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1004,948,901,0,14,20,0,0,13,0,13,56
"Akron village, New York: Summary level: 160, state:36> place:00441",2857,2815,2685,20,9,16,0,0,85,7,78,42
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1384,1384,1384,0,0,0,0,0,0,0,0,0
"Depew village, New York: Summary level: 160, state:36> place:20313",15164,14744,14096,348,8,77,0,0,215,61,154,420
"East Aurora village, New York: Summary level: 160, state:36> place:21589",6193,6138,5916,94,0,42,0,0,86,0,86,55
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3244,3168,3168,0,0,0,0,0,0,0,0,76
"Naples village, New York: Summary level: 160, state:36> place:49429",1033,983,940,9,0,22,0,0,12,0,12,50
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1289,1130,1012,50,0,40,0,0,28,4,24,159
"Woodridge village, New York: Summary level: 160, state:36> place:82953",819,682,596,57,0,0,0,0,29,0,29,137
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",4176,3998,3962,12,21,3,0,0,0,0,0,178
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",724,696,665,5,3,4,0,0,19,0,19,28
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1474,1432,1375,0,0,38,0,0,19,0,19,42
"Batavia city, New York: Summary level: 160, state:36> place:04715",14719,14127,12712,744,35,125,0,11,500,25,475,592
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",7964,7450,6639,315,0,336,0,49,111,0,111,514
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4882,4436,4426,7,0,0,0,0,3,0,3,446
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",4540,4270,3879,262,29,22,0,0,78,0,78,270
"Esperance village, New York: Summary level: 160, state:36> place:24713",394,362,344,5,0,13,0,0,0,0,0,32
"Schoharie village, New York: Summary level: 160, state:36> place:65585",850,820,774,39,0,6,0,0,1,0,1,30
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1442,1433,1402,6,5,6,0,0,14,0,14,9
"New Berlin village, New York: Summary level: 160, state:36> place:49946",927,919,892,0,0,16,0,0,11,0,11,8
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1169,1169,1147,8,0,0,0,0,14,0,14,0
"Greene village, New York: Summary level: 160, state:36> place:30411",1704,1658,1595,13,0,13,0,0,37,0,37,46
"Munnsville village, New York: Summary level: 160, state:36> place:49220",497,492,450,0,1,0,0,0,41,0,41,5
"Wampsville village, New York: Summary level: 160, state:36> place:78113",650,632,590,34,8,0,0,0,0,0,0,18
"Brookville village, New York: Summary level: 160, state:36> place:10132",3564,3133,2471,165,0,397,0,0,100,37,63,431
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2902,2729,2526,66,0,39,0,1,97,0,97,173
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",32329,25365,19922,708,174,3533,0,205,823,68,755,6964
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",475,475,466,0,0,0,0,0,9,0,9,0
"Hempstead village, New York: Summary level: 160, state:36> place:33139",55399,29423,2779,24684,152,867,0,111,830,74,756,25976
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",4074,3934,1709,0,0,1743,44,258,180,131,49,140
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",6484,5634,4717,170,0,731,0,0,16,0,16,850
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",6317,5294,197,4739,0,150,0,3,205,0,205,1023
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",3594,3282,1478,95,0,1662,0,0,47,14,33,312
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",20269,18576,16651,248,0,1360,0,0,317,0,317,1693
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",18609,17771,17125,179,0,264,0,13,190,0,190,838
"Antwerp village, New York: Summary level: 160, state:36> place:02286",543,504,493,2,5,0,0,0,4,0,4,39
"Southampton village, New York: Summary level: 160, state:36> place:68462",3263,2929,2634,239,0,55,0,0,1,1,0,334
"Olean city, New York: Summary level: 160, state:36> place:54716",13805,13596,12344,656,60,215,0,1,320,7,313,209
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",1191,1191,1191,0,0,0,0,0,0,0,0,0
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",1552,1500,1384,106,0,1,0,0,9,0,9,52
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",14359,13683,12896,229,29,232,32,10,255,0,255,676
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",1085,1051,975,36,0,40,0,0,0,0,0,34
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",20780,18175,15999,722,15,1118,0,7,314,100,214,2605
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",14678,11155,9483,1273,64,148,0,96,91,0,91,3523
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",21045,7374,2676,3225,19,368,0,469,617,30,587,13671
"North Haven village, New York: Summary level: 160, state:36> place:52188",919,905,905,0,0,0,0,0,0,0,0,14
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",7871,7320,6437,143,0,587,0,0,153,0,153,551
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",3151,2683,1601,1010,0,20,0,1,51,51,0,468
"Selden CDP, New York: Summary level: 160, state:36> place:66212",19770,16424,13900,977,6,1346,0,33,162,20,142,3346
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",26298,24868,23086,314,7,1265,0,71,125,22,103,1430
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",8093,7496,7068,2,265,139,0,0,22,0,22,597
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",2898,2503,2341,117,0,38,0,0,7,0,7,395
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",1653,1427,1336,28,0,30,0,0,33,0,33,226
"Salamanca city, New York: Summary level: 160, state:36> place:64749",5553,5171,3557,132,1050,29,0,6,397,58,339,382
"Poquott village, New York: Summary level: 160, state:36> place:59157",992,930,788,11,0,106,0,5,20,0,20,62
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",12902,11835,11073,155,29,74,0,433,71,0,71,1067
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",1049,1049,1028,0,0,21,0,0,0,0,0,0
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",12641,11939,10363,140,0,1208,25,24,179,0,179,702
"Jordan village, New York: Summary level: 160, state:36> place:38825",1435,1433,1403,0,3,0,0,0,27,0,27,2
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",3856,3638,3148,95,0,118,0,0,277,0,277,218
"Manlius village, New York: Summary level: 160, state:36> place:45018",4520,4424,3887,167,19,239,0,0,112,0,112,96
"Minoa village, New York: Summary level: 160, state:36> place:47757",3474,3445,3181,115,0,12,0,0,137,0,137,29
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2316,2255,1399,508,210,46,0,0,92,0,92,61
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",2002,1883,1833,0,0,0,0,0,50,0,50,119
"Castile village, New York: Summary level: 160, state:36> place:12771",945,940,894,0,0,0,0,0,46,0,46,5
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",839,781,773,8,0,0,0,0,0,0,0,58
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",868,735,691,0,0,28,0,0,16,0,16,133
"Delanson village, New York: Summary level: 160, state:36> place:20082",376,364,359,2,0,3,0,0,0,0,0,12
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",20274,19320,17507,1019,11,127,0,13,643,12,631,954
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",3931,3813,3708,0,0,62,0,0,43,0,43,118
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1466,1420,1402,15,0,0,0,0,3,0,3,46
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6603,6257,5503,425,35,38,0,0,256,0,256,346
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",1370,1363,1284,10,0,0,0,0,69,0,69,7
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",688,673,673,0,0,0,0,0,0,0,0,15
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",2841,2758,2540,0,0,195,0,0,23,0,23,83
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9846,7691,4012,83,0,3337,54,18,187,174,13,2155
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",224,215,162,35,0,7,0,0,11,0,11,9
"Hillburn village, New York: Summary level: 160, state:36> place:34660",996,717,333,182,31,63,0,0,108,2,106,279
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",9637,7909,5753,882,0,985,0,0,289,0,289,1728
"West Winfield village, New York: Summary level: 160, state:36> place:81292",752,749,728,3,3,6,0,0,9,0,9,3
"Red Hook village, New York: Summary level: 160, state:36> place:60895",1963,1836,1702,45,0,76,0,0,13,0,13,127
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",5186,3994,3003,608,0,348,0,0,35,0,35,1192
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",1451,1437,1435,2,0,0,0,0,0,0,0,14
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1343,1187,1002,36,0,93,0,39,17,0,17,156
"Homer village, New York: Summary level: 160, state:36> place:35276",3134,3107,2930,2,0,127,0,0,48,0,48,27
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",2533,2376,1916,162,0,75,0,0,223,15,208,157
"Auburn city, New York: Summary level: 160, state:36> place:03078",26779,25701,22150,2408,68,168,0,0,907,18,889,1078
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",282,281,251,2,8,12,0,8,0,0,0,1
"Ovid village, New York: Summary level: 160, state:36> place:55816",531,510,489,11,0,0,0,0,10,4,6,21
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",483,479,466,0,0,8,0,0,5,0,5,4
"Solvay village, New York: Summary level: 160, state:36> place:68286",6364,5851,4908,205,47,137,0,0,554,0,554,513
"Ossining village, New York: Summary level: 160, state:36> place:55530",25174,13732,8136,3854,12,1116,0,105,509,0,509,11442
"Sands Point village, New York: Summary level: 160, state:36> place:65035",2857,2712,2385,51,1,251,0,9,15,0,15,145
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",598,594,576,0,5,7,0,0,6,0,6,4
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4468,3005,2762,193,0,17,0,21,12,0,12,1463
"Waverly village, New York: Summary level: 160, state:36> place:78806",4214,4171,4056,75,0,18,0,0,22,0,22,43
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",3710,3593,3478,17,11,0,0,0,87,0,87,117
"Greenport village, New York: Summary level: 160, state:36> place:30576",1945,1629,1258,338,0,14,0,0,19,6,13,316
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1574,1488,1401,38,23,17,0,0,9,0,9,86
"Windsor village, New York: Summary level: 160, state:36> place:82524",972,961,939,6,0,0,0,0,16,0,16,11
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",454,262,238,9,0,0,0,0,15,0,15,192
"Leicester village, New York: Summary level: 160, state:36> place:41872",516,510,492,0,0,5,0,0,13,0,13,6
"Barker village, New York: Summary level: 160, state:36> place:04440",588,569,569,0,0,0,0,0,0,0,0,19
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",968,934,858,64,0,12,0,0,0,0,0,34
"Stamford village, New York: Summary level: 160, state:36> place:70618",1374,1334,1282,18,0,31,0,0,3,0,3,40
"Saltaire village, New York: Summary level: 160, state:36> place:64881",8,8,8,0,0,0,0,0,0,0,0,0
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",249,172,162,0,2,8,0,0,0,0,0,77
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1886,1854,1584,78,8,143,0,15,26,10,16,32
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",5144,4970,4628,130,14,32,0,0,166,0,166,174
"Floral Park village, New York: Summary level: 160, state:36> place:26264",16209,14596,13101,126,18,1138,0,4,209,33,176,1613
"Freeport village, New York: Summary level: 160, state:36> place:27485",43128,25200,10622,12586,0,770,3,124,1095,26,1069,17928
"Garden City village, New York: Summary level: 160, state:36> place:28178",22533,21421,20087,362,0,694,0,0,278,46,232,1112
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",6143,4673,3158,782,6,469,0,24,234,7,227,1470
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",954,897,842,13,0,0,0,0,42,0,42,57
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",8807,8695,8294,38,12,283,0,0,68,0,68,112
"Tannersville village, New York: Summary level: 160, state:36> place:73143",992,992,968,0,0,24,0,0,0,0,0,0
"Painted Post village, New York: Summary level: 160, state:36> place:56088",1727,1716,1592,10,0,91,0,9,14,0,14,11
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",1520,1517,1470,19,0,0,0,0,28,0,28,3
"Lockport city, New York: Summary level: 160, state:36> place:43082",20580,19716,17147,1564,57,266,11,0,671,0,671,864
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",5595,5125,4306,397,0,248,0,13,161,0,161,470
"Port Chester village, New York: Summary level: 160, state:36> place:59223",29418,10223,8786,843,12,382,12,63,125,0,125,19195
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",17805,16927,13501,200,0,2639,10,48,529,125,404,878
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",2452,1740,1598,98,0,44,0,0,0,0,0,712
"Yonkers city, New York: Summary level: 160, state:36> place:84000",199745,125910,77102,30854,305,13760,80,867,2942,290,2652,73835
"Round Lake village, New York: Summary level: 160, state:36> place:63957",736,723,697,5,0,5,0,0,16,0,16,13
"Franklin village, New York: Summary level: 160, state:36> place:27221",399,399,387,12,0,0,0,0,0,0,0,0
"Hancock village, New York: Summary level: 160, state:36> place:31940",1070,1011,944,25,36,0,0,0,6,0,6,59
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",4964,4891,4511,255,0,0,0,27,98,0,98,73
"Attica village, New York: Summary level: 160, state:36> place:03001",3190,3107,2962,0,36,0,0,0,109,0,109,83
"Gainesville village, New York: Summary level: 160, state:36> place:27969",232,232,219,0,13,0,0,0,0,0,0,0
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",17927,12511,11371,582,9,95,0,85,369,0,369,5416
"Airmont village, New York: Summary level: 160, state:36> place:00408",8776,7724,7016,152,0,402,14,28,112,7,105,1052
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8406,7245,5873,318,43,764,0,99,148,5,143,1161
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",22073,21547,21113,422,0,0,0,0,12,4,8,526
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",457,457,456,0,0,1,0,0,0,0,0,0
"Springville village, New York: Summary level: 160, state:36> place:70442",4306,4244,4141,23,47,24,0,0,9,0,9,62
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",14873,14490,14017,6,79,39,0,18,331,0,331,383
"Canastota village, New York: Summary level: 160, state:36> place:12188",4605,4605,4573,0,0,0,0,0,32,23,9,0
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",57280,54614,49699,2674,64,1007,10,0,1160,54,1106,2666
"Madison village, New York: Summary level: 160, state:36> place:44424",468,445,445,0,0,0,0,0,0,0,0,23
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",2714,2689,2652,35,2,0,0,0,0,0,0,25
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",616,585,209,33,6,273,0,0,64,0,64,31
"Mayville village, New York: Summary level: 160, state:36> place:46239",1412,1347,1254,84,0,0,0,7,2,0,2,65
"Webster village, New York: Summary level: 160, state:36> place:78960",5565,5299,4195,233,0,527,0,0,344,0,344,266
"Nichols village, New York: Summary level: 160, state:36> place:51110",601,601,595,0,0,0,0,3,3,0,3,0
"Dexter village, New York: Summary level: 160, state:36> place:20500",1022,1013,982,11,0,0,0,0,20,0,20,9
"Nassau village, New York: Summary level: 160, state:36> place:49506",1048,1033,1011,2,1,0,0,1,18,0,18,15
"Troy city, New York: Summary level: 160, state:36> place:75484",49610,44505,31730,7811,23,2028,0,226,2687,51,2636,5105
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",27226,19805,14797,2296,69,1354,0,800,489,40,449,7421
"Johnson City village, New York: Summary level: 160, state:36> place:38748",14575,13763,10849,1024,5,1419,25,0,441,0,441,812
"Le Roy village, New York: Summary level: 160, state:36> place:42026",4220,4029,3701,119,0,38,0,0,171,0,171,191
"Lisle village, New York: Summary level: 160, state:36> place:42642",215,213,207,0,0,0,0,0,6,0,6,2
"Mohawk village, New York: Summary level: 160, state:36> place:47823",2578,2451,2343,46,0,35,0,0,27,0,27,127
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",1812,1788,1663,63,0,9,0,0,53,0,53,24
"Millbrook village, New York: Summary level: 160, state:36> place:47273",1421,1302,1227,21,2,28,0,0,24,0,24,119
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",2583,2436,2186,93,0,141,0,0,16,0,16,147
"Greece CDP, New York: Summary level: 160, state:36> place:30279",14826,13615,11973,662,0,365,0,16,599,0,599,1211
"Nyack village, New York: Summary level: 160, state:36> place:54100",7188,5876,3408,1954,0,228,0,110,176,19,157,1312
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",16495,15322,13819,384,105,834,0,0,180,0,180,1173
"Suffern village, New York: Summary level: 160, state:36> place:71894",10926,8767,7211,415,0,840,0,40,261,8,253,2159
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",802,793,754,3,2,13,0,0,21,0,21,9
"Palmyra village, New York: Summary level: 160, state:36> place:56187",3383,3115,3051,42,0,0,0,0,22,0,22,268
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4032,3999,3683,55,0,120,0,0,141,0,141,33
"Horseheads village, New York: Summary level: 160, state:36> place:35694",6510,6279,5728,101,0,188,0,0,262,0,262,231
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",518,518,494,2,0,0,0,0,22,0,22,0
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2102,2088,1967,83,0,7,0,19,12,7,5,14
"Lima village, New York: Summary level: 160, state:36> place:42323",2369,2204,2097,7,0,48,0,2,50,14,36,165
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",1367,1312,1140,124,0,0,0,0,48,0,48,55
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",4239,3909,3466,109,0,284,0,22,28,0,28,330
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",543,543,543,0,0,0,0,0,0,0,0,0
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",898,773,718,0,0,7,0,0,48,0,48,125
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",307,274,265,0,0,7,0,0,2,0,2,33
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",17775,15148,9716,2618,0,2231,0,16,567,59,508,2627
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",4200,3693,3043,149,0,448,0,0,53,4,49,507
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",32281,22584,9935,11255,8,803,6,345,232,20,212,9697
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",9174,6769,3553,2306,48,600,0,88,174,16,158,2405
"Harriman village, New York: Summary level: 160, state:36> place:32325",2926,2152,1239,698,0,168,0,22,25,0,25,774
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",23536,22974,22951,4,0,0,0,0,19,19,0,562
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",6348,4818,3101,1307,24,90,0,0,296,0,296,1530
"Waterville village, New York: Summary level: 160, state:36> place:78663",1598,1580,1563,8,0,0,0,0,9,0,9,18
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",283,283,263,0,0,0,0,0,20,0,20,0
"Black River village, New York: Summary level: 160, state:36> place:06794",1210,1188,1005,13,0,130,0,0,40,0,40,22
"Carthage village, New York: Summary level: 160, state:36> place:12683",3473,3352,3118,71,0,0,0,0,163,0,163,121
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",359,334,334,0,0,0,0,0,0,0,0,25
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",664,661,647,2,0,8,0,0,4,0,4,3
"Delhi village, New York: Summary level: 160, state:36> place:20126",3178,2881,2341,369,2,46,8,2,113,5,108,297
"Morristown village, New York: Summary level: 160, state:36> place:48571",292,281,269,7,0,2,0,0,3,0,3,11
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",2971,2913,2808,22,25,0,2,0,56,0,56,58
"Salem CDP, New York: Summary level: 160, state:36> place:64771",690,677,653,1,6,0,0,17,0,0,0,13
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",221,221,198,0,0,23,0,0,0,0,0,0
"Wells CDP, New York: Summary level: 160, state:36> place:79048",654,652,650,2,0,0,0,0,0,0,0,2
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",66,66,66,0,0,0,0,0,0,0,0,0
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",1189,1165,1138,0,6,0,0,0,21,0,21,24
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",495,495,448,0,29,0,0,0,18,0,18,0
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",448,448,444,0,0,0,0,0,4,0,4,0
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",627,595,533,0,0,4,0,0,58,0,58,32
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",403,392,387,0,0,0,0,1,4,0,4,11
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",112,110,106,2,0,1,0,0,1,1,0,2
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",1984,1878,1815,36,0,5,6,0,16,0,16,106
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",319,315,315,0,0,0,0,0,0,0,0,4
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",1114,1110,1062,7,4,0,0,4,33,4,29,4
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",10253,4831,2657,1239,43,457,0,316,119,0,119,5422
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6996,6309,5161,44,0,1056,0,0,48,0,48,687
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",5858,5724,5491,43,0,152,0,5,33,5,28,134
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1441,1408,1326,56,22,0,0,0,4,0,4,33
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",30356,25178,12071,11063,52,368,15,95,1514,19,1495,5178
"Tivoli village, New York: Summary level: 160, state:36> place:74023",1100,1047,991,8,0,43,0,0,5,0,5,53
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",2747,2629,2521,49,0,59,0,0,0,0,0,118
"Southport CDP, New York: Summary level: 160, state:36> place:69606",6940,6939,6492,290,22,14,0,0,121,0,121,1
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",6390,5453,4705,440,17,180,0,31,80,23,57,937
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2132,1864,1652,136,0,21,0,9,46,8,38,268
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19983,18685,16190,299,48,1610,0,117,421,33,388,1298
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4993,2868,1084,1306,27,354,0,9,88,0,88,2125
