,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Malverne village, New York: Summary level: 160, state:36> place:44787",1542,119500,52164,3108,69,32,63,46,69,44,92,25,69,183,271,307,376,341,531,590
"Plandome village, New York: Summary level: 160, state:36> place:58475",-666666666,250001,115216,395,0,6,0,2,0,0,6,0,9,16,22,17,10,17,50,240
"New Square village, New York: Summary level: 160, state:36> place:50705",1376,23578,6971,1431,140,152,276,230,92,112,61,26,19,30,99,60,75,30,12,17
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1639,101641,47745,1163,9,42,12,29,34,36,69,83,0,34,137,86,167,24,119,282
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1515,63419,28796,1729,74,86,140,88,107,38,103,43,74,62,89,155,76,139,148,307
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",643,35140,21561,1721,79,207,233,198,52,84,222,49,94,143,67,135,45,0,60,53
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",880,43750,24735,127,11,6,18,4,5,6,11,4,2,8,11,22,6,9,0,4
"Newark village, New York: Summary level: 160, state:36> place:49891",731,41988,27247,3816,193,347,136,225,364,269,273,221,117,314,443,433,212,124,73,72
"Elmira city, New York: Summary level: 160, state:36> place:24229",728,33958,17666,9931,1386,1024,632,796,519,741,373,441,400,688,934,953,489,285,191,79
"Van Etten village, New York: Summary level: 160, state:36> place:76881",744,54792,21317,209,4,18,4,15,13,9,10,13,11,24,17,31,14,20,2,4
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",924,72733,44495,2204,81,65,71,66,39,65,130,61,117,218,306,344,134,207,117,183
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",684,42019,24355,1224,122,79,126,65,19,130,29,99,54,95,133,150,82,34,0,7
"Corfu village, New York: Summary level: 160, state:36> place:18201",731,51597,29854,309,29,19,18,5,11,18,18,9,16,39,26,43,21,7,26,4
"Sodus village, New York: Summary level: 160, state:36> place:68209",675,36500,20606,694,65,58,45,61,51,46,52,29,37,54,55,94,22,12,13,0
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",623,42144,21200,4029,254,432,380,318,138,200,169,230,165,299,339,625,225,136,62,57
"Waddington village, New York: Summary level: 160, state:36> place:77728",753,43250,32328,450,11,67,37,35,32,2,29,19,18,15,21,61,28,42,13,20
"Clyde village, New York: Summary level: 160, state:36> place:16573",760,45714,21241,746,66,9,22,49,37,102,43,39,31,102,54,66,56,40,17,13
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",1159,78632,37869,2179,83,16,0,32,73,104,107,58,98,171,269,401,353,210,78,126
"Geneseo village, New York: Summary level: 160, state:36> place:28618",869,30593,14755,1922,329,293,96,119,110,67,107,71,93,86,123,186,99,34,85,24
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",1427,122500,46045,3820,87,32,94,55,98,13,26,34,147,208,331,440,415,610,500,730
"Addison village, New York: Summary level: 160, state:36> place:00276",623,56667,24145,658,34,51,40,27,22,48,33,38,9,44,58,130,60,25,33,6
"Hornell city, New York: Summary level: 160, state:36> place:35672",648,41861,20389,3358,243,320,230,174,289,135,221,239,126,347,362,369,169,79,36,19
"Riverside village, New York: Summary level: 160, state:36> place:62061",965,44091,28702,240,9,16,18,15,15,12,19,20,16,22,15,44,12,4,0,3
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1362,97212,51313,871,29,15,38,43,20,39,27,42,15,53,48,72,133,71,107,119
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",1602,86505,38808,3069,20,126,38,78,100,66,138,108,120,226,331,417,459,279,317,246
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1546,93060,39224,1287,27,17,16,21,8,44,21,34,62,159,97,170,178,151,189,93
"Port Byron village, New York: Summary level: 160, state:36> place:59212",685,51429,23526,408,15,29,11,49,39,20,13,3,13,44,44,62,40,24,2,0
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",643,58333,26292,170,7,2,11,17,3,2,13,15,7,10,17,38,4,6,18,0
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",-666666666,57368,45816,688,8,76,0,17,9,24,0,75,33,112,78,101,36,31,10,78
"Redford CDP, New York: Summary level: 160, state:36> place:60884",-666666666,-666666666,18319,141,14,35,14,16,0,0,0,0,0,0,48,5,0,0,9,0
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",450,37054,53939,183,7,8,31,18,13,3,16,11,0,12,9,2,29,12,3,9
"Brocton village, New York: Summary level: 160, state:36> place:08488",574,37782,23100,649,48,46,59,66,48,28,57,50,25,36,91,52,18,11,14,0
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",-666666666,58600,30169,728,0,40,56,16,34,51,79,32,28,42,68,126,87,0,69,0
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",509,32321,20013,339,30,41,25,18,36,31,6,8,10,43,29,43,3,12,4,0
"Freeville village, New York: Summary level: 160, state:36> place:27529",745,57500,38713,194,18,14,6,15,7,11,2,11,9,4,32,16,24,8,4,13
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",-666666666,-666666666,38333,280,15,18,0,87,30,0,0,0,17,0,0,26,42,45,0,0
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",1053,60750,35597,849,23,5,44,79,37,43,52,11,52,74,74,112,86,56,83,18
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",761,33726,21947,1985,214,140,230,204,110,121,65,57,93,89,163,239,208,29,23,0
"Lewiston village, New York: Summary level: 160, state:36> place:42147",839,47891,35438,1378,47,152,38,59,90,98,81,45,106,117,132,173,141,25,63,11
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",576,45476,26316,3255,202,245,285,163,194,181,98,238,239,134,385,356,299,99,109,28
"Youngstown village, New York: Summary level: 160, state:36> place:84143",756,65625,33996,802,46,10,36,46,30,25,54,18,20,95,55,143,94,42,54,34
"Almond village, New York: Summary level: 160, state:36> place:01440",714,61458,24427,177,9,4,13,10,14,5,5,12,6,7,33,28,17,6,8,0
"Canisteo village, New York: Summary level: 160, state:36> place:12254",595,53458,30092,893,21,69,49,71,62,57,42,21,25,64,98,185,77,20,15,17
"Corning city, New York: Summary level: 160, state:36> place:18256",808,49539,32128,5069,473,295,253,242,303,373,186,204,233,409,565,570,426,146,230,161
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",1460,65510,43245,3670,195,257,74,178,190,222,124,124,177,241,277,286,300,241,172,612
