,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",1161,106607,36898,572,19,0,0,9,0,21,0,19,7,106,47,31,99,40,69,105
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",3501,156875,141439,101,6,0,5,2,2,2,0,0,2,5,0,10,6,9,17,35
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",790,58000,30597,3210,148,142,143,134,184,141,155,186,139,257,276,584,301,184,157,79
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",822,51667,26961,1952,162,50,137,80,100,65,105,59,180,213,95,332,146,150,78,0
"Valatie village, New York: Summary level: 160, state:36> place:76617",704,62031,27722,559,21,34,36,49,17,7,26,15,4,64,70,67,67,22,51,9
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",-666666666,84583,30781,164,0,0,0,27,0,12,0,0,15,0,13,18,15,40,24,0
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",850,74231,48762,656,18,21,22,18,17,42,12,15,35,65,67,88,96,49,36,55
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",919,52969,28812,953,39,101,88,36,46,34,17,7,89,68,126,149,56,60,20,17
"Fairport village, New York: Summary level: 160, state:36> place:25076",956,75212,44097,2477,51,57,105,34,99,34,127,97,51,263,315,359,395,154,164,172
"Hilton village, New York: Summary level: 160, state:36> place:34847",1004,59864,28981,2295,72,86,66,125,145,96,110,106,57,289,410,199,275,153,54,52
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1201,98295,61762,729,3,3,11,8,24,25,19,30,17,61,85,86,88,63,67,139
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2074,114953,44158,2972,9,36,30,27,59,47,65,121,70,82,356,321,332,305,585,527
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",1627,114483,61730,9458,300,239,220,435,307,323,207,245,131,274,455,1088,687,842,942,2763
"Remsen village, New York: Summary level: 160, state:36> place:61115",658,48542,21957,167,16,19,2,0,9,11,13,8,9,16,20,26,16,0,2,0
"Sherrill city, New York: Summary level: 160, state:36> place:66993",736,63204,34296,1271,45,93,40,82,45,83,37,33,57,79,185,132,87,110,79,84
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",1078,44063,22327,346,18,27,26,0,20,25,10,53,18,18,53,31,29,18,0,0
"Yorkville village, New York: Summary level: 160, state:36> place:84099",756,54531,27284,1080,64,31,75,62,15,50,32,94,66,162,144,199,45,15,17,9
"Camillus village, New York: Summary level: 160, state:36> place:11902",713,49183,26359,563,39,19,44,30,32,32,19,34,41,72,87,34,29,37,11,3
"Fabius village, New York: Summary level: 160, state:36> place:24867",631,64821,32488,135,2,1,2,10,7,5,1,9,7,13,23,16,11,12,12,4
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",616,47563,26908,289,7,11,10,6,19,30,19,24,38,29,22,23,27,8,12,4
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1978,132069,52588,1632,30,10,18,23,20,30,34,40,22,41,145,193,148,176,342,360
"Portville village, New York: Summary level: 160, state:36> place:59498",601,45714,24867,424,3,28,56,48,21,27,10,11,28,41,64,28,22,16,17,4
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",688,42500,31952,456,46,42,17,34,49,19,13,20,27,37,17,50,39,16,26,4
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1277,51597,22946,1591,27,10,19,34,87,105,151,148,134,344,204,252,60,7,0,9
"Glen Park village, New York: Summary level: 160, state:36> place:29322",968,54375,24141,199,10,9,5,7,14,14,20,6,4,20,24,22,19,12,7,6
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",1771,61324,20935,374,26,0,0,70,27,0,12,10,13,20,60,73,43,16,0,4
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",641,66136,31958,168,11,6,17,15,14,1,2,0,6,4,27,26,24,4,4,7
"Oneonta city, New York: Summary level: 160, state:36> place:54881",882,44029,20447,4322,566,331,226,276,236,185,168,241,156,396,364,461,378,104,150,84
"West End CDP, New York: Summary level: 160, state:36> place:79796",806,42623,29609,961,159,92,0,35,74,35,83,51,35,100,52,68,77,29,59,12
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",-666666666,123194,52897,775,0,0,19,26,21,13,18,9,8,48,48,95,89,139,145,97
"Galway village, New York: Summary level: 160, state:36> place:28101",860,61364,21765,80,10,2,4,0,2,0,3,6,6,1,27,5,5,9,0,0
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",1132,38667,14616,230,11,0,23,26,9,32,30,0,28,10,32,29,0,0,0,0
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",1105,55781,18933,720,81,20,36,21,59,27,36,14,33,85,95,52,63,19,69,10
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1883,91964,70523,1887,98,53,0,19,46,71,44,94,61,163,131,191,190,228,159,339
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",2093,84554,44772,1524,32,34,45,27,52,81,64,24,47,145,136,222,118,113,65,319
"Patchogue village, New York: Summary level: 160, state:36> place:56660",1401,74752,39500,5250,354,305,179,284,188,197,217,154,96,264,399,854,567,301,468,423
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",-666666666,-666666666,60246,384,0,19,0,19,53,10,30,23,34,12,8,54,0,27,34,61
"Southold CDP, New York: Summary level: 160, state:36> place:69452",1463,81221,46583,2493,53,34,201,89,58,36,52,109,94,185,152,461,254,236,245,234
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",-666666666,233750,116861,738,8,0,0,4,19,0,0,4,0,21,21,61,40,50,78,432
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",1789,127813,70485,5713,220,75,131,137,200,98,148,101,92,218,349,539,505,484,587,1829
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",1848,77113,26424,4292,220,153,113,107,110,93,163,282,93,412,318,526,596,278,508,320
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",2000,180625,80100,324,6,2,8,3,3,0,5,11,15,14,12,30,19,24,28,144
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",1848,80166,27496,7964,285,242,325,319,254,182,364,306,179,600,715,1159,942,539,692,861
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",1552,115536,63044,1615,69,34,25,56,21,41,51,48,38,108,79,205,57,117,257,409
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",1900,116638,40952,5782,119,116,107,140,114,120,102,135,183,236,377,793,580,561,1005,1094
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",575,34091,19187,384,52,27,55,23,24,15,18,20,13,42,25,33,19,15,3,0
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",922,49464,23284,177,9,10,7,17,11,11,7,11,7,6,20,24,26,1,9,1
"Fredonia village, New York: Summary level: 160, state:36> place:27419",696,51351,25683,3627,326,199,149,284,148,142,159,150,223,196,318,488,293,262,194,96
"Constableville village, New York: Summary level: 160, state:36> place:17882",-666666666,53438,21370,108,3,2,4,5,7,10,6,1,10,19,19,11,7,4,0,0
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",829,47768,26103,357,24,23,33,11,26,32,11,15,16,19,51,61,11,18,4,2
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",638,45294,24026,232,0,20,17,7,26,14,25,5,26,12,24,25,16,9,6,0
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",686,52500,29590,704,59,53,21,31,15,20,65,49,28,32,89,131,45,41,25,0
"Richmondville village, New York: Summary level: 160, state:36> place:61588",683,56500,26445,334,22,33,8,21,10,0,31,10,12,26,50,61,18,2,19,11
"Ithaca city, New York: Summary level: 160, state:36> place:38077",1106,32712,20767,10239,2408,928,509,455,453,609,426,341,199,561,638,844,595,412,434,427
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",757,35167,21086,718,50,65,40,65,67,71,15,29,52,76,45,65,29,13,36,0
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",465,34250,27138,275,22,20,38,20,19,20,6,11,12,16,25,21,17,13,9,6
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",1375,114345,44273,615,20,0,0,19,10,9,32,34,10,19,30,79,71,154,89,39
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",792,53958,24409,177,4,9,19,6,26,3,6,5,7,20,0,29,7,26,3,7
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",993,52167,24806,406,13,31,13,0,32,9,38,28,13,81,69,19,18,33,9,0
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1183,111053,46651,1656,88,0,24,12,55,33,0,102,21,53,146,150,308,160,230,274
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",924,62212,22836,193,24,0,0,0,4,13,0,11,27,6,39,30,25,14,0,0
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",564,39175,23024,1043,102,125,67,85,38,62,60,6,53,44,72,181,40,42,66,0
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",787,45893,27347,345,33,43,9,14,11,6,0,54,7,22,94,28,5,12,0,7
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",859,59881,34027,350,10,27,18,8,3,26,13,16,17,38,43,30,35,29,29,8
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",-666666666,-666666666,58844,66,0,0,0,0,9,0,0,0,19,0,0,0,14,8,0,16
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",-666666666,-666666666,18575,129,0,13,0,38,15,0,0,21,0,9,33,0,0,0,0,0
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",-666666666,72500,24913,36,0,0,0,0,8,0,0,6,0,0,8,3,11,0,0,0
"Hall CDP, New York: Summary level: 160, state:36> place:31533",-666666666,62750,35909,65,0,0,0,5,0,0,0,17,5,5,17,0,5,11,0,0
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",722,47262,25020,2030,74,77,90,185,159,78,209,105,86,114,159,266,187,129,56,56
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",890,68333,31352,370,19,64,15,0,0,19,11,18,0,31,25,45,68,33,9,13
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",786,70893,31538,250,0,24,0,11,13,4,15,17,8,19,23,42,27,5,42,0
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",-666666666,55781,22346,194,0,44,0,15,0,17,16,0,0,16,76,10,0,0,0,0
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",-666666666,41250,24954,68,3,5,7,4,3,8,4,3,3,0,11,6,5,6,0,0
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",885,41979,18672,302,0,18,0,46,0,68,0,24,0,28,54,16,48,0,0,0
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",650,47969,37492,103,0,0,5,4,0,0,41,0,8,0,8,30,0,0,7,0
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",-666666666,51000,23559,48,8,7,2,2,2,0,0,0,1,7,6,2,3,8,0,0
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",983,74924,36461,802,63,20,67,21,20,37,8,7,36,33,90,85,131,75,87,22
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",2125,124773,75827,650,0,15,10,0,7,0,0,21,10,20,8,103,132,23,71,230
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",-666666666,43056,21629,172,22,11,13,28,5,5,0,9,5,27,13,21,13,0,0,0
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",1518,62697,11866,87,0,0,0,0,7,7,0,0,8,20,19,0,13,0,0,13
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",-666666666,63516,24384,67,3,0,13,4,0,3,0,0,0,4,19,10,4,4,0,3
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",844,45315,16734,335,26,19,0,62,0,0,33,14,107,11,14,0,49,0,0,0
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",1007,53491,25885,303,7,0,24,28,10,14,6,20,25,50,68,20,7,0,9,15
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",-666666666,59167,32228,36,0,0,0,0,0,10,0,0,0,12,0,6,0,0,8,0
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",-666666666,101656,37947,141,0,0,0,18,0,0,0,0,11,15,0,0,97,0,0,0
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",875,58750,24289,120,6,9,0,11,2,6,4,3,2,20,13,19,7,7,4,7
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",-666666666,53611,18065,40,2,0,3,5,3,0,3,0,0,21,0,0,3,0,0,0
"Machias CDP, New York: Summary level: 160, state:36> place:44226",757,43125,20864,166,18,6,5,9,9,9,6,39,12,0,21,13,0,13,0,6
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",665,53750,23146,248,37,17,12,6,11,9,4,16,5,46,17,19,17,8,21,3
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",-666666666,36923,34526,142,0,0,0,11,0,0,78,0,0,19,7,0,0,0,0,27
"Marion CDP, New York: Summary level: 160, state:36> place:45634",761,42075,26012,661,113,47,0,29,34,21,45,76,17,48,80,65,23,37,19,7
"Sherburne village, New York: Summary level: 160, state:36> place:66883",561,40833,29078,680,37,74,65,35,40,37,50,6,24,53,82,55,51,36,22,13
"Farnham village, New York: Summary level: 160, state:36> place:25428",1027,56667,23594,170,4,12,7,13,2,13,11,14,1,12,26,26,14,10,0,5
"Sherman village, New York: Summary level: 160, state:36> place:66949",-666666666,35000,18536,300,32,31,29,12,17,29,21,20,15,14,19,35,13,0,11,2
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",768,40375,24497,213,14,33,19,16,4,6,13,12,10,27,13,15,17,5,5,4
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",1925,133586,56794,469,0,0,0,11,0,10,32,33,0,12,0,39,60,82,44,146
"Island Park village, New York: Summary level: 160, state:36> place:37847",1695,88882,38059,1610,24,62,63,82,65,39,30,69,0,87,164,268,203,79,193,182
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",-666666666,166875,76444,236,6,0,0,13,12,0,6,6,2,9,7,22,20,10,28,95
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",-666666666,82063,41656,530,12,0,0,36,0,0,16,30,0,52,67,148,45,69,30,25
"Angelica village, New York: Summary level: 160, state:36> place:02176",589,58000,35068,324,17,23,21,9,17,12,18,19,13,21,62,39,29,15,4,5
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",2332,105192,41854,12217,320,122,443,374,307,238,407,279,240,667,890,1571,1468,1214,1741,1936
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",1824,123935,51029,7191,113,98,161,135,59,137,183,131,120,371,601,813,685,702,1150,1732
"Celoron village, New York: Summary level: 160, state:36> place:13288",664,34231,22634,454,44,29,53,43,22,44,5,37,15,34,87,17,5,8,0,11
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",-666666666,59643,26393,120,0,2,3,1,5,26,7,5,3,9,20,13,13,7,4,2
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",943,42500,14856,150,20,8,10,12,4,4,6,26,21,8,8,15,2,6,0,0
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",654,53750,22977,297,21,11,16,4,23,25,5,9,22,30,36,49,20,10,6,10
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",2357,127474,51686,603,0,0,13,14,9,0,20,0,22,15,66,17,78,85,111,153
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",-666666666,58056,23216,456,24,42,37,15,11,0,32,44,15,36,105,14,0,41,40,0
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1212,85208,43552,1201,56,33,45,49,47,27,7,6,0,82,147,186,129,81,89,217
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1346,81563,34362,674,37,0,51,14,0,67,0,63,13,12,19,186,27,18,107,60
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",726,55707,26837,237,0,12,30,23,10,26,0,6,5,25,23,30,27,12,0,8
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",807,47729,27733,4299,136,222,258,251,325,214,316,314,257,418,357,528,286,205,195,17
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",637,35556,22660,220,22,12,28,9,5,32,14,10,15,22,17,26,4,4,0,0
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",-666666666,-666666666,80126,31,0,0,0,0,0,0,0,0,0,0,23,0,0,0,8,0
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",-666666666,47115,30476,234,0,17,15,6,19,12,37,0,31,23,15,25,25,9,0,0
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",583,40082,28927,971,0,143,116,39,76,0,110,76,0,108,84,95,42,42,26,14
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",-666666666,48636,15554,34,2,0,0,3,5,2,0,0,11,0,2,7,0,2,0,0
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",1115,90049,40910,186,0,30,0,0,0,0,9,0,0,10,11,96,11,0,7,12
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",844,54625,23991,281,18,9,15,22,10,0,20,5,10,71,23,34,33,5,6,0
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",-666666666,-666666666,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",809,95223,39015,217,0,0,0,0,0,0,15,0,23,10,31,55,17,17,9,40
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",833,45909,23731,226,2,11,16,13,13,23,12,19,11,19,26,29,15,15,0,2
"Milford village, New York: Summary level: 160, state:36> place:47229",628,53333,32748,180,14,14,14,6,11,8,3,8,3,19,26,20,7,12,5,10
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",701,38269,23444,492,28,48,43,26,44,30,36,22,13,33,64,54,32,12,2,5
"North Hornell village, New York: Summary level: 160, state:36> place:53055",613,71667,37038,310,4,3,10,12,9,18,24,8,3,32,46,39,49,29,14,10
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",1086,94732,50322,2433,93,92,106,44,20,75,82,41,86,72,263,350,262,243,278,326
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",1883,96088,59493,7027,244,247,155,223,207,278,253,134,176,353,490,886,725,421,632,1603
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",1335,57109,30435,25248,2038,1126,1227,1545,1324,1119,1057,909,1008,1722,2299,3272,2098,1495,1494,1515
"Peekskill city, New York: Summary level: 160, state:36> place:56979",1374,54494,31075,9628,416,571,569,471,595,500,426,219,595,915,821,980,1094,382,477,597
"Rye city, New York: Summary level: 160, state:36> place:64309",2133,180958,105340,5573,181,170,49,56,70,136,107,126,39,252,218,334,326,331,601,2577
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",-666666666,176750,115670,296,0,0,0,20,9,26,0,8,0,8,0,0,20,18,49,138
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",1804,119826,64492,4413,110,45,124,144,161,128,155,41,84,210,298,449,376,292,775,1021
"Johnstown city, New York: Summary level: 160, state:36> place:38781",813,50027,27428,3447,216,265,145,179,43,195,265,220,194,355,363,445,242,160,66,94
"Central Square village, New York: Summary level: 160, state:36> place:13585",688,40926,30773,890,99,56,73,79,76,21,31,33,29,24,96,92,79,35,55,12
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",658,42708,27705,173,3,9,7,20,5,24,13,22,10,12,14,14,11,0,7,2
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",-666666666,49609,52854,249,0,7,26,19,0,0,18,14,48,32,12,0,50,9,0,14
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",1203,73255,30737,1697,34,26,34,34,35,60,68,75,65,177,274,278,159,88,202,88
"Otisville village, New York: Summary level: 160, state:36> place:55673",1137,74375,29672,403,30,8,12,15,10,7,9,10,6,60,39,49,35,53,47,13
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",972,39404,30417,3897,418,280,296,323,263,215,179,78,230,220,306,342,308,184,150,105
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",1722,96160,41624,4926,190,184,87,357,147,264,53,100,100,289,341,460,299,336,813,906
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",-666666666,185833,108066,522,10,19,0,3,7,20,12,4,12,7,28,44,21,29,82,224
