,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",585,70417,39055.0,1009,59,51,30,29,43,36,69,41,70,13,79,127,157,108,36,61
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",1043,94028,40060.0,752,14,10,0,20,0,25,26,47,12,101,85,43,75,128,93,73
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",797,49719,27642.0,976,88,62,0,63,13,33,73,33,132,166,125,102,34,25,0,27
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",678,60891,24660.0,1587,123,58,81,32,75,90,54,37,61,139,266,230,163,64,36,78
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",938,71250,43008.0,381,14,0,15,0,13,0,32,0,12,46,80,38,59,50,22,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",924,54737,27717.0,804,42,75,51,40,37,28,19,27,46,79,51,115,123,30,27,14
"Clayville village, New York: Summary level: 160, state:36> place:16111",686,43125,24394.0,174,5,11,13,2,24,14,12,12,9,12,40,9,9,2,0,0
"Cleveland village, New York: Summary level: 160, state:36> place:16188",890,49063,23923.0,302,10,15,25,24,17,26,5,21,11,25,31,48,39,0,3,2
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",596,48482,25522.0,813,43,49,66,42,60,23,51,61,20,44,88,92,95,43,36,0
"Clinton village, New York: Summary level: 160, state:36> place:16419",922,68424,37801.0,899,76,17,36,31,29,6,44,100,30,46,77,177,44,62,48,76
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",890,53060,32345.0,524,15,7,0,36,41,63,26,37,0,103,26,24,52,32,38,24
"Clyde village, New York: Summary level: 160, state:36> place:16573",656,41471,20546.0,736,50,72,43,41,47,52,53,46,23,68,58,86,60,8,22,7
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",741,41034,24837.0,1640,170,281,114,71,51,87,34,45,82,96,160,119,146,28,42,114
"Cohocton village, New York: Summary level: 160, state:36> place:16727",679,36979,17892.0,397,16,8,37,33,52,24,43,13,4,52,41,23,37,14,0,0
"Cohoes city, New York: Summary level: 160, state:36> place:16749",795,43342,26139.0,7346,615,448,561,399,436,448,339,679,277,758,778,628,373,367,125,115
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",817,33194,17791.0,141,0,13,16,30,8,10,12,5,10,7,9,15,3,3,0,0
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1228,66667,45665.0,858,57,72,33,26,27,52,26,7,23,60,94,84,59,41,117,80
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",691,138520,62820.0,1707,16,16,70,18,28,21,45,19,8,17,133,170,165,193,238,550
"Colonie village, New York: Summary level: 160, state:36> place:17332",1247,75784,37850.0,3219,10,127,140,36,100,66,150,216,154,172,393,684,447,210,211,103
"Colton CDP, New York: Summary level: 160, state:36> place:17398",598,39792,23525.0,195,38,0,11,14,22,7,6,14,12,8,17,27,13,6,0,0
"Commack CDP, New York: Summary level: 160, state:36> place:17530",1708,113081,42807.0,11643,265,171,313,200,234,305,282,284,254,578,911,1372,1321,1234,1872,2047
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",941,40833,14611.0,120,25,12,10,6,5,0,0,19,6,12,15,10,0,0,0,0
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",977,77163,41392.0,1429,30,10,119,86,12,38,57,43,102,120,75,264,198,57,137,81
"Congers CDP, New York: Summary level: 160, state:36> place:17739",1444,107034,42750.0,2903,68,87,67,36,96,36,62,26,46,154,268,396,360,220,451,530
"Constableville village, New York: Summary level: 160, state:36> place:17882",594,53125,29188.0,125,5,13,10,6,2,4,4,5,5,28,18,9,8,5,1,2
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1146,67625,28387.0,377,80,0,11,0,0,29,3,0,7,48,59,37,49,18,24,12
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",-666666666,45469,36072.0,247,0,0,0,30,33,28,31,0,8,37,5,8,0,67,0,0
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",830,54266,41877.0,1011,43,42,54,97,39,70,19,21,68,109,102,104,68,43,39,93
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",-666666666,67396,32414.0,281,0,11,21,4,24,32,0,0,3,11,45,52,26,31,15,6
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",1009,54688,25556.0,252,8,11,2,4,27,11,22,14,19,16,40,40,24,6,8,0
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",1529,72432,30126.0,7448,250,343,273,237,295,374,224,319,182,603,712,1289,713,600,503,531
"Coram CDP, New York: Summary level: 160, state:36> place:18157",1661,79773,34693.0,14674,622,333,358,555,346,603,329,562,506,1073,1740,1883,1868,1400,1579,917
"Corfu village, New York: Summary level: 160, state:36> place:18201",647,47375,29217.0,314,25,12,32,6,21,16,17,9,22,36,52,33,14,12,0,7
"Corinth village, New York: Summary level: 160, state:36> place:18212",809,46597,20254.0,952,41,72,71,42,22,71,89,45,57,115,116,147,39,6,14,5
"Corning city, New York: Summary level: 160, state:36> place:18256",689,44905,29362.0,5253,528,333,325,289,286,223,342,306,201,320,519,632,401,201,189,158
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",1250,85563,45726.0,1194,52,54,28,0,36,44,28,34,18,99,109,227,128,90,133,114
"Cortland city, New York: Summary level: 160, state:36> place:18388",646,38841,18499.0,6592,773,637,458,471,405,284,332,573,321,551,622,547,259,121,174,64
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",-666666666,83304,31958.0,501,61,0,25,0,0,0,9,19,0,13,74,150,49,13,88,0
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",-666666666,113140,42393.0,730,0,0,0,0,0,6,18,20,0,25,25,153,230,102,89,62
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",1344,208125,186471.0,84,0,6,0,0,0,0,0,3,0,1,3,9,2,5,12,43
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",685,54323,29345.0,1113,53,68,52,43,62,75,126,23,37,75,103,113,121,87,42,33
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",-666666666,69821,37124.0,223,0,0,0,47,0,9,0,25,9,15,7,56,31,0,14,10
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",-666666666,60000,34626.0,92,0,6,0,0,3,7,2,0,7,21,16,13,0,7,5,5
"Croghan village, New York: Summary level: 160, state:36> place:19070",475,35000,22881.0,270,17,30,11,45,27,5,19,17,10,14,8,33,22,6,6,0
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",-666666666,141563,56063.0,718,10,0,0,22,25,0,7,37,16,22,25,96,59,70,175,154
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",1509,131086,57409.0,2884,25,95,16,47,31,128,47,68,58,147,159,291,248,358,496,670
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",1129,78424,32962.0,1032,45,5,31,9,8,77,30,65,19,56,144,210,154,84,71,24
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1095,45119,28873.0,810,57,45,85,28,83,39,58,8,61,71,87,54,33,10,35,56
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",779,38654,24704.0,236,11,25,10,31,27,8,13,32,11,0,10,8,25,7,18,0
"Cuba village, New York: Summary level: 160, state:36> place:19356",614,45093,23862.0,684,43,22,52,62,46,44,46,26,43,59,73,93,30,19,23,3
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",750,71902,39507.0,667,0,38,8,26,24,28,35,41,0,45,94,120,52,48,45,63
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",-666666666,33984,21846.0,93,16,11,10,0,0,16,10,0,0,21,0,9,0,0,0,0
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",2001,91587,45652.0,1328,12,0,17,32,73,28,127,35,8,109,133,135,242,147,103,127
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",715,62019,21066.0,135,0,0,0,5,0,32,0,0,0,20,20,42,16,0,0,0
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",688,67574,26476.0,141,0,4,4,0,17,6,5,8,11,15,17,19,14,21,0,0
"Dannemora village, New York: Summary level: 160, state:36> place:19642",655,44712,5618.0,409,9,34,35,38,29,24,21,16,31,61,31,30,35,9,6,0
"Dansville village, New York: Summary level: 160, state:36> place:19664",626,38288,21790.0,2113,250,208,206,91,119,101,113,116,70,120,263,238,110,100,8,0
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",-666666666,61250,29209.0,170,0,10,0,23,8,7,16,0,14,0,42,40,0,0,0,10
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",1492,80278,32817.0,9422,315,371,337,324,384,321,318,234,426,603,754,1200,1143,933,1102,657
"Deferiet village, New York: Summary level: 160, state:36> place:19994",788,57500,26537.0,110,0,5,3,14,9,2,10,3,4,9,8,27,4,10,2,0
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",-666666666,52574,22803.0,155,22,0,5,5,0,10,8,0,5,39,12,29,20,0,0,0
"Delanson village, New York: Summary level: 160, state:36> place:20082",1375,77656,31454.0,141,0,3,8,9,0,1,6,2,6,18,17,17,25,19,10,0
"Delevan village, New York: Summary level: 160, state:36> place:20115",477,36953,17795.0,501,44,47,56,27,36,28,24,27,42,51,41,54,11,0,13,0
"Delhi village, New York: Summary level: 160, state:36> place:20126",782,41450,15268.0,861,109,72,63,51,40,44,37,35,46,76,80,95,78,25,4,6
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",797,41771,14523.0,305,0,50,47,11,10,6,3,36,0,88,13,4,37,0,0,0
"Depew village, New York: Summary level: 160, state:36> place:20313",723,47917,23968.0,6509,376,244,327,396,423,489,383,410,364,571,886,938,384,210,82,26
"Deposit village, New York: Summary level: 160, state:36> place:20346",591,31528,18756.0,800,76,80,102,81,39,53,24,42,29,65,91,53,43,12,4,6
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",-666666666,-666666666,64733.0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",503,37000,19785.0,212,8,28,14,8,30,14,9,8,11,31,15,6,23,7,0,0
"Dexter village, New York: Summary level: 160, state:36> place:20500",488,49625,22681.0,482,11,33,54,40,23,26,14,12,31,46,53,73,25,19,19,3
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",1661,140361,56112.0,8227,93,93,182,115,263,115,106,157,119,343,452,727,890,643,1313,2616
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",1551,105000,47914.0,3736,36,42,99,49,153,144,66,90,119,257,242,474,473,355,369,768
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",606,40938,20220.0,884,68,80,51,70,58,50,56,40,55,71,85,148,38,10,4,0
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",765,51121,31567.0,626,106,0,22,7,0,27,19,35,84,96,55,57,51,37,4,26
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",559,40750,16893.0,264,86,6,16,8,0,0,10,25,11,24,45,21,12,0,0,0
"Dresden village, New York: Summary level: 160, state:36> place:20896",867,44375,18443.0,119,10,10,5,9,10,6,4,7,6,9,16,14,1,0,8,4
"Dryden village, New York: Summary level: 160, state:36> place:20951",761,50500,26039.0,828,59,41,95,28,9,45,38,45,49,61,105,101,63,38,29,22
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",-666666666,91225,46569.0,169,0,0,0,0,0,0,14,0,0,14,32,50,31,15,13,0
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",-666666666,77813,23035.0,106,0,38,0,0,0,0,0,0,0,0,13,45,10,0,0,0
"Dundee village, New York: Summary level: 160, state:36> place:21050",566,37813,20078.0,801,84,107,48,75,45,23,43,81,37,36,101,70,41,0,10,0
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",614,37461,20483.0,5608,781,492,404,313,339,349,250,362,417,398,403,511,423,67,71,28
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",550,21635,11699.0,223,77,14,12,13,14,48,0,0,13,10,0,12,0,0,10,0
"Earlville village, New York: Summary level: 160, state:36> place:21523",785,42019,22784.0,358,18,22,31,39,16,21,11,32,13,25,38,31,20,8,18,15
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",2001,132656,69420.0,897,14,0,19,19,18,18,16,0,16,10,56,69,139,194,33,276
"East Aurora village, New York: Summary level: 160, state:36> place:21589",705,66310,36733.0,2542,42,50,125,81,124,107,78,101,191,211,343,361,235,151,137,205
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",-666666666,77946,19760.0,165,0,0,12,36,0,11,0,16,0,0,0,90,0,0,0,0
"Monroe village, New York: Summary level: 160, state:36> place:47988",1200,112560,42391.0,2618,49,102,53,88,33,35,50,73,61,147,138,288,436,211,331,523
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",1351,34564,11619.0,3536,358,517,305,219,227,157,79,155,122,231,221,323,218,70,228,106
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",1329,68528,47893.0,1737,127,68,81,58,85,67,66,118,27,80,156,246,209,92,107,150
"Montebello village, New York: Summary level: 160, state:36> place:48090",1729,134406,71035.0,1457,12,50,29,23,14,0,47,16,0,60,87,245,115,56,141,562
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1053,77341,30362.0,1383,17,51,43,36,29,66,178,28,33,27,132,198,190,193,134,28
"Monticello village, New York: Summary level: 160, state:36> place:48175",739,21668,14526.0,2869,666,209,406,327,64,144,328,63,169,152,105,94,74,32,27,9
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",538,33407,18906.0,759,65,70,97,60,51,69,26,49,21,58,82,51,23,25,11,1
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1409,93719,46220.0,1049,13,18,62,27,38,15,9,49,17,49,73,230,68,81,163,137
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",441,22895,14118.0,176,85,0,0,19,39,0,0,19,0,0,14,0,0,0,0,0
"Moravia village, New York: Summary level: 160, state:36> place:48296",476,57434,26189.0,575,35,49,30,34,25,24,7,18,25,47,83,113,37,25,18,5
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1425,65162,39796.0,1127,12,35,35,45,56,97,25,62,100,91,142,210,106,43,17,51
"Morris village, New York: Summary level: 160, state:36> place:48483",602,45208,27258.0,233,10,31,14,1,17,18,6,19,8,17,24,24,41,3,0,0
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",955,53750,26146.0,796,86,9,58,25,13,51,83,49,12,46,101,75,68,63,48,9
"Morristown village, New York: Summary level: 160, state:36> place:48571",877,59375,26874.0,198,9,4,2,8,12,13,12,8,4,28,39,29,14,7,4,5
"Morrisville village, New York: Summary level: 160, state:36> place:48593",646,42500,9617.0,296,39,19,18,19,11,10,14,24,17,20,41,34,12,10,0,8
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",-666666666,84861,36637.0,582,0,0,15,0,0,0,0,0,20,91,113,110,147,34,18,34
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",1493,65574,31009.0,2700,148,101,83,57,95,103,91,168,26,345,410,366,391,71,127,118
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",1398,60902,35465.0,4128,206,184,140,219,106,218,173,177,139,480,292,546,296,296,271,385
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",649,33873,18925.0,1133,169,64,65,117,59,120,33,17,45,130,111,114,67,8,14,0
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",1951,103561,45626.0,4172,103,110,65,82,171,109,85,36,170,198,286,571,458,402,647,679
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",1167,49328,27454.0,25998,2373,1528,1392,1505,1182,1539,1198,1364,1085,1949,2332,2912,2116,1255,997,1271
"Munnsville village, New York: Summary level: 160, state:36> place:49220",646,53750,25134.0,164,12,5,4,4,9,5,13,4,7,22,32,24,12,5,1,5
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",-666666666,197750,81081.0,747,6,10,4,5,4,24,9,8,0,46,24,55,36,50,97,369
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",789,39468,19529.0,957,56,44,95,25,70,118,82,60,57,123,63,83,31,26,24,0
"Muttontown village, New York: Summary level: 160, state:36> place:49330",1417,215938,98689.0,1054,6,11,11,0,26,4,0,6,5,43,25,88,126,70,85,548
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",1663,90919,38186.0,2195,43,30,9,25,43,148,70,22,62,110,214,411,313,265,261,169
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",1594,91184,38538.0,6721,216,220,241,199,152,230,136,215,172,359,548,1127,664,706,850,686
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",880,51875,27659.0,521,29,24,15,7,52,0,41,48,34,37,41,42,84,36,31,0
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",-666666666,56000,41318.0,90,12,20,0,0,0,0,7,0,0,17,0,16,0,0,9,9
"Naples village, New York: Summary level: 160, state:36> place:49429",681,50313,24362.0,441,26,23,21,14,28,18,33,41,16,25,42,77,52,13,12,0
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",1009,51875,24704.0,199,15,8,12,19,10,14,11,6,0,19,30,33,10,1,4,7
"Nassau village, New York: Summary level: 160, state:36> place:49506",658,51750,29426.0,509,10,38,47,15,26,28,41,7,39,21,51,74,77,25,6,4
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",-666666666,12180,11023.0,181,53,43,0,0,0,11,16,10,0,0,0,0,48,0,0,0
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",875,49688,23722.0,866,55,30,25,47,43,79,36,81,38,37,123,175,70,2,5,20
"Nelliston village, New York: Summary level: 160, state:36> place:49748",558,31250,21236.0,297,15,25,35,40,28,11,11,39,11,15,25,27,12,0,3,0
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",1500,100833,36994.0,244,0,2,8,5,15,6,16,9,6,15,22,17,56,14,34,19
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",1459,107747,40033.0,4457,75,116,156,38,57,74,93,144,41,244,451,542,662,466,658,640
"Newark village, New York: Summary level: 160, state:36> place:49891",656,40246,21253.0,3761,421,310,217,232,216,298,174,247,318,370,221,447,128,74,61,27
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",610,46500,23967.0,422,38,13,32,20,18,32,29,14,30,49,35,44,18,23,18,9
"New Berlin village, New York: Summary level: 160, state:36> place:49946",667,39516,20266.0,448,41,36,45,27,26,18,37,35,30,31,20,50,9,12,31,0
"Newburgh city, New York: Summary level: 160, state:36> place:50034",1014,35731,16918.0,9236,1349,566,796,544,719,554,587,486,258,407,762,897,582,372,295,62
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",1292,73048,20132.0,3109,122,155,206,42,170,80,148,83,7,262,356,445,283,276,333,141
"New City CDP, New York: Summary level: 160, state:36> place:50100",1417,119993,47165.0,11001,177,181,245,228,157,259,160,220,171,432,845,1329,1414,1214,1642,2327
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",598,51228,24065.0,1304,51,86,97,40,50,116,79,25,51,191,104,220,107,46,41,0
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",-666666666,61583,28853.0,287,0,12,13,35,0,9,24,24,0,17,104,0,13,36,0,0
"New Hartford village, New York: Summary level: 160, state:36> place:50298",935,51098,35189.0,828,46,57,35,45,21,40,46,63,43,91,61,80,90,32,38,40
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",2001,111803,28929.0,1165,0,13,8,18,30,50,23,28,52,29,49,197,216,61,253,138
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",1361,96902,37360.0,3248,30,69,79,57,97,46,52,159,164,183,282,489,312,453,407,369
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1165,39059,19083.0,2128,442,107,86,75,158,69,162,89,48,77,209,264,153,44,70,75
"Newport village, New York: Summary level: 160, state:36> place:50573",388,30625,23940.0,218,9,27,26,33,12,19,12,6,4,5,25,14,16,7,0,3
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",1304,67094,40705.0,28202,1628,1212,1252,1581,1046,1087,908,1369,799,1959,2269,2908,2710,1588,2220,3666
"New Square village, New York: Summary level: 160, state:36> place:50705",1336,23451,5444.0,1240,57,226,233,148,105,94,65,57,56,80,54,36,25,0,0,4
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",1750,67188,49479.0,173,1,0,23,10,12,9,4,9,4,4,11,9,22,16,27,12
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",1125,68835,31663.0,3415,52,89,223,149,122,235,63,154,161,197,478,502,440,180,207,163
"New York city, New York: Summary level: 160, state:36> place:51000",1200,52259,32010.0,3070298,320667,188096,169362,159338,142044,142154,122075,129259,108240,213515,267736,334299,235360,149125,169393,219635
"New York Mills village, New York: Summary level: 160, state:36> place:51011",709,35047,22626.0,1582,203,122,155,97,90,122,107,61,20,118,150,211,62,18,46,0
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",627,32326,20549.0,21737,2711,2316,1661,1813,1640,1352,1189,709,982,1766,1995,1639,1010,442,278,234
"Nichols village, New York: Summary level: 160, state:36> place:51110",422,57778,27008.0,166,21,13,10,3,3,5,7,8,6,15,15,28,6,10,14,2
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1068,95750,38347.0,1803,59,30,12,0,14,31,53,26,12,208,238,254,401,185,204,76
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1857,164044,81893.0,541,16,7,7,11,5,0,0,4,3,9,13,33,70,46,87,230
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",641,88250,36207.0,719,0,0,12,41,14,41,14,63,56,65,12,108,139,76,55,23
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",663,31310,18340.0,504,81,60,72,17,0,51,49,10,0,42,44,33,17,28,0,0
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",1385,65100,21275.0,5407,266,252,296,232,265,343,136,25,216,459,423,1224,569,340,212,149
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",-666666666,51875,25406.0,183,0,0,0,33,11,0,9,25,0,18,34,5,20,0,28,0
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",1672,88801,34685.0,6027,114,67,146,195,238,133,124,163,310,192,687,1100,960,725,533,340
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",745,63083,29894.0,557,14,13,85,24,40,0,20,34,0,13,80,28,137,36,12,21
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",1452,67434,21086.0,4751,97,201,160,98,203,233,234,301,154,343,571,438,641,361,556,160
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",1813,101025,36199.0,6485,163,29,101,61,235,396,156,218,147,441,419,840,989,644,867,779
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",2001,70179,24576.0,3551,307,66,125,138,178,200,70,147,75,210,362,674,397,197,280,125
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",668,63026,29248.0,1090,34,47,55,57,109,54,53,62,15,42,156,169,133,39,51,14
"North Collins village, New York: Summary level: 160, state:36> place:51792",680,51250,19460.0,439,30,29,26,18,37,12,26,25,7,55,51,62,22,28,11,0
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",529,25833,17112.0,176,28,13,3,36,40,5,10,11,0,13,0,9,5,0,3,0
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",1142,68317,34473.0,1152,60,61,47,37,36,40,28,68,51,72,111,163,96,85,109,88
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",730,39778,22780.0,4213,155,381,325,314,232,357,363,115,365,243,554,337,186,127,108,51
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1722,99481,34376.0,1216,17,28,34,10,0,18,29,33,37,63,114,236,174,98,202,123
"North Haven village, New York: Summary level: 160, state:36> place:52188",2001,123333,102612.0,390,9,3,11,6,6,7,24,5,14,18,24,25,47,41,39,111
"North Hills village, New York: Summary level: 160, state:36> place:53022",1574,119167,98025.0,2400,48,57,85,101,0,83,46,21,71,154,295,157,119,137,185,841
"North Hornell village, New York: Summary level: 160, state:36> place:53055",703,55724,33794.0,335,23,9,12,22,34,13,14,4,9,41,33,46,33,17,16,9
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",1375,74236,28005.0,3736,115,96,103,114,106,84,102,174,192,377,427,686,435,261,297,167
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",-666666666,96326,40467.0,221,23,0,0,0,0,7,7,27,6,0,0,56,0,0,73,22
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",1431,96824,37280.0,6185,126,129,178,147,158,186,165,61,216,406,537,865,776,625,1054,556
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",2001,107222,41120.0,3822,72,34,80,38,101,101,107,120,98,190,313,543,368,450,639,568
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",2001,107866,40547.0,4622,66,94,69,117,107,75,92,119,140,190,346,555,730,542,825,555
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",1727,87813,29487.0,2260,39,100,47,44,53,104,47,124,92,161,106,405,407,194,258,79
"Northport village, New York: Summary level: 160, state:36> place:53396",1424,114651,55380.0,2773,69,30,77,78,82,50,150,56,27,72,195,211,430,170,362,714
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",-666666666,52708,21528.0,243,9,0,0,34,0,19,15,40,0,30,46,39,0,5,6,0
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1877,78241,51813.0,1830,62,10,68,31,77,57,85,36,44,131,268,252,172,136,186,215
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",749,44708,26204.0,3303,170,234,319,250,183,127,185,196,264,196,358,464,264,43,33,17
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",646,45967,27778.0,13937,1022,709,1106,780,961,759,839,654,570,1181,1142,1833,1137,583,452,209
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",1463,98223,33840.0,5229,286,145,72,142,74,150,96,103,44,467,472,636,802,409,808,523
"Northville village, New York: Summary level: 160, state:36> place:53770",633,44850,25885.0,403,25,21,17,34,41,24,9,32,39,30,39,25,37,16,5,9
"Northville CDP, New York: Summary level: 160, state:36> place:53775",-666666666,73068,36771.0,659,0,41,0,73,29,16,17,103,11,15,33,71,87,29,103,31
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",955,96452,39766.0,4157,46,130,132,76,71,93,93,58,87,327,417,601,568,359,656,443
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",2001,95625,60076.0,1724,57,0,20,73,15,24,15,19,14,167,207,313,114,276,165,245
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",921,51500,40746.0,522,22,55,33,33,23,44,0,17,28,20,58,66,11,22,53,37
"Norwich city, New York: Summary level: 160, state:36> place:53979",584,31643,20325.0,2924,443,273,117,315,245,184,106,170,67,130,276,324,135,35,49,55
"Norwood village, New York: Summary level: 160, state:36> place:54012",668,42742,20445.0,650,51,36,57,39,34,52,29,55,28,67,67,62,51,13,2,7
