,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",1599,98350,35569.0,7497,190,164,155,174,136,175,208,257,113,371,668,1222,971,968,977,748
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",2001,100698,38979.0,2626,112,38,37,57,57,35,45,64,33,229,225,369,310,331,414,270
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",723,51577,25872.0,3115,194,265,177,149,212,137,185,64,107,287,385,400,325,111,61,56
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",908,53935,27729.0,2423,134,143,181,166,170,99,130,85,88,98,469,273,153,125,78,31
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1250,70395,32280.0,1096,52,46,0,9,24,56,58,41,56,115,107,191,159,60,48,74
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",619,118472,47007.0,1393,13,19,128,69,58,69,11,40,9,33,58,87,184,115,209,291
"Barker village, New York: Summary level: 160, state:36> place:04440",581,45694,15106.0,219,3,29,4,12,10,15,17,17,11,33,26,31,4,5,2,0
"Barneveld village, New York: Summary level: 160, state:36> place:04528",644,57000,33837.0,106,2,0,0,8,12,10,2,11,1,8,25,1,9,7,9,1
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2001,91853,38398.0,807,5,9,0,8,7,16,48,36,9,48,137,134,90,60,86,114
"Batavia city, New York: Summary level: 160, state:36> place:04715",707,38592,22351.0,6379,715,499,472,392,484,430,322,344,251,397,611,698,284,187,219,74
"Bath village, New York: Summary level: 160, state:36> place:04759",542,40234,24346.0,2822,230,289,179,148,270,177,108,157,125,328,174,334,119,115,69,0
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",1736,109375,74233.0,361,4,9,23,9,8,11,0,7,0,24,21,55,28,13,43,106
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",-666666666,97668,46757.0,747,0,0,13,14,52,36,16,17,16,57,100,129,61,46,104,86
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",1459,77196,40673.0,3217,112,113,114,107,97,75,67,229,44,264,318,397,321,242,215,502
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",1337,69597,28664.0,9491,483,483,451,352,298,248,419,311,318,591,1145,1499,1054,616,715,508
"Bayville village, New York: Summary level: 160, state:36> place:05034",1530,98362,42827.0,2458,84,80,34,152,91,45,91,15,17,126,220,293,297,223,305,385
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",1191,85231,25890.0,2143,7,61,58,47,50,81,71,100,106,199,195,328,359,205,213,63
"Beacon city, New York: Summary level: 160, state:36> place:05100",984,56480,28792.0,5528,293,388,434,337,366,204,234,183,147,316,522,687,577,327,311,202
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",-666666666,107596,35178.0,797,0,0,29,0,20,24,0,59,8,39,38,73,258,115,101,33
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",1253,140625,69504.0,737,14,0,0,46,15,8,45,9,8,62,0,71,32,66,67,294
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1326,51161,30114.0,1177,10,80,60,90,116,129,58,16,23,120,74,53,116,87,113,32
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",483,32458,16936.0,425,53,62,21,25,22,37,31,29,20,51,41,22,8,3,0,0
"Bellerose village, New York: Summary level: 160, state:36> place:05639",-666666666,126500,52206.0,394,6,14,6,11,6,0,3,12,0,13,20,69,34,26,51,123
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",1830,92750,31802.0,572,14,0,27,32,0,25,52,0,3,40,24,127,85,22,49,72
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",-666666666,171607,76519.0,277,21,6,2,2,2,0,1,4,2,6,6,23,30,14,50,108
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",838,27647,7782.0,88,11,0,25,6,34,0,0,0,0,0,12,0,0,0,0,0
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",1603,113556,47076.0,5522,71,88,130,130,106,142,122,126,156,304,402,658,629,554,842,1062
"Bellport village, New York: Summary level: 160, state:36> place:05771",1566,77500,52772.0,1038,36,34,28,50,46,37,37,43,51,54,80,161,94,87,88,112
"Belmont village, New York: Summary level: 160, state:36> place:05815",532,42629,19393.0,451,35,41,32,33,26,18,21,47,37,47,38,43,19,5,9,0
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",393,42404,37374.0,109,12,3,12,3,6,2,4,13,0,6,6,13,10,7,7,5
"Bergen village, New York: Summary level: 160, state:36> place:06046",572,48083,21363.0,489,22,7,14,55,27,48,39,29,15,52,51,57,49,14,10,0
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",1636,91109,40791.0,5803,122,67,248,153,203,239,163,187,168,275,457,898,684,601,792,546
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",941,62991,31181.0,2241,108,61,74,201,40,145,50,50,48,313,275,214,293,148,137,84
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",630,68750,36252.0,586,25,22,54,11,81,29,0,11,3,27,34,73,40,53,65,58
"Binghamton city, New York: Summary level: 160, state:36> place:06607",640,30978,20576.0,20079,3444,2155,1751,1369,1085,1143,1002,856,929,1473,1311,1506,798,441,473,343
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",-666666666,-666666666,2467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black River village, New York: Summary level: 160, state:36> place:06794",794,60694,28331.0,579,30,26,22,24,14,24,19,20,35,73,61,89,75,43,22,2
"Blasdell village, New York: Summary level: 160, state:36> place:06849",615,40194,22909.0,1131,85,113,69,82,76,32,105,57,22,106,125,160,51,15,23,10
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1529,120272,45096.0,1697,67,35,90,20,41,4,25,56,23,99,127,154,177,190,236,353
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",500,41875,19437.0,225,9,28,21,3,20,0,30,9,13,8,23,30,25,6,0,0
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",938,58306,21021.0,126,0,5,0,0,14,8,10,0,0,47,8,34,0,0,0,0
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",721,54667,25234.0,608,33,26,50,35,20,38,30,31,12,56,73,101,25,35,35,8
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",909,55189,20171.0,211,19,21,8,8,13,12,7,5,8,41,22,28,19,0,0,0
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",-666666666,53750,24593.0,93,3,0,11,3,11,0,6,8,3,6,15,18,7,2,0,0
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1772,103068,42742.0,1652,26,41,53,49,33,48,24,49,33,66,201,198,202,159,277,193
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",1706,90996,35549.0,3564,101,58,175,112,146,98,47,100,69,123,344,555,653,243,429,311
"Bolivar village, New York: Summary level: 160, state:36> place:07190",581,40000,26544.0,458,70,37,25,15,22,38,22,15,15,35,51,39,34,6,19,15
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",866,55469,35409.0,297,0,14,31,12,7,18,19,17,22,42,32,41,0,5,7,30
"Boonville village, New York: Summary level: 160, state:36> place:07355",534,37594,23038.0,838,75,89,77,57,66,49,57,51,21,60,85,64,30,25,5,27
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",535,27298,15596.0,263,27,16,28,32,65,14,0,1,1,8,39,8,15,6,3,0
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",-666666666,61477,25208.0,237,0,22,8,14,0,11,0,0,21,36,11,0,114,0,0,0
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",1160,69380,20942.0,13973,499,476,357,389,601,609,593,758,728,1004,1527,2211,1672,1079,1060,410
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",954,56031,25549.0,1705,148,145,105,23,126,150,39,35,41,92,185,365,91,37,63,60
"Brewster village, New York: Summary level: 160, state:36> place:08070",1211,51776,21834.0,877,53,55,54,90,50,38,16,26,43,90,158,66,53,40,34,11
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1549,82981,37385.0,625,28,12,35,27,10,0,10,47,0,53,43,127,67,66,55,45
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",1129,142893,75880.0,2674,110,68,72,89,10,79,26,19,59,89,131,158,253,276,217,1018
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1180,82625,64528.0,593,13,11,19,52,16,10,24,11,21,38,52,63,47,42,71,103
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",586,43906,23346.0,605,37,62,54,17,14,53,61,8,66,108,63,32,12,0,0,18
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",638,38281,16916.0,184,5,14,32,17,11,0,24,9,5,12,33,15,4,3,0,0
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",917,63353,40371.0,15567,1003,417,495,648,619,880,705,786,577,1242,1588,2132,1276,1021,1001,1177
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",1344,115909,53063.0,1076,25,5,15,24,12,18,29,0,18,23,86,160,163,55,196,247
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",1543,100294,36687.0,962,11,9,0,43,27,23,43,13,53,48,42,163,181,121,107,78
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",759,56563,25883.0,626,18,6,79,31,14,31,28,34,19,96,74,67,32,60,34,3
"Brockport village, New York: Summary level: 160, state:36> place:08466",741,42656,17998.0,2504,347,240,198,91,105,132,89,110,59,146,255,366,148,112,67,39
"Brocton village, New York: Summary level: 160, state:36> place:08488",548,37125,20956.0,661,69,47,79,44,26,40,55,26,20,38,76,68,23,23,27,0
"Bronxville village, New York: Summary level: 160, state:36> place:08532",1983,195337,103154.0,2203,7,23,65,63,46,17,13,35,20,165,46,169,146,128,191,1069
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",1389,82056,38930.0,1063,35,9,74,27,26,10,29,63,39,53,130,155,61,78,144,130
"Brookville village, New York: Summary level: 160, state:36> place:10132",2001,221875,84179.0,792,0,9,19,0,0,0,22,0,0,9,5,109,68,57,70,424
