,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Livingston County, New York: Summary level: 050, state:36> county:051",642,50640,22516,23854,1709,1653,1336,1059,773,1387,1475,1521,786,2129,2563,3806,2002,730,613,312
"Madison County, New York: Summary level: 050, state:36> county:053",691,53006,23661,26243,1572,1891,1208,895,1101,1955,1256,1389,1195,2692,3785,3212,1731,956,703,702
"Monroe County, New York: Summary level: 050, state:36> county:055",755,49532,26805,294661,26316,14857,16394,16194,15494,16529,14819,14175,13609,24917,29655,35196,23013,13207,10797,9489
"Nassau County, New York: Summary level: 050, state:36> county:059",1429,91104,39935,442729,13768,10351,14197,12572,13252,12493,12981,14701,13163,28419,37087,55198,54102,38711,51605,60129
"New York County, New York: Summary level: 050, state:36> county:061",1305,63832,56556,726090,74266,36539,33408,32972,26011,26703,23092,26623,21270,42476,58164,69353,60273,31118,50360,113462
"Niagara County, New York: Summary level: 050, state:36> county:063",626,43991,24292,87627,7892,6469,5533,5875,3793,5408,5214,4271,2990,6964,9539,9601,6367,3368,2642,1701
"Oneida County, New York: Summary level: 050, state:36> county:065",665,47286,23043,89382,7053,4692,5203,5828,5237,4482,5304,5025,4486,6509,10410,9919,7034,4382,2804,1014
"Onondaga County, New York: Summary level: 050, state:36> county:067",708,50426,26908,184589,16101,9403,10555,11023,10293,8789,10257,7283,7635,15875,17815,22738,16590,7737,6585,5910
"Ontario County, New York: Summary level: 050, state:36> county:069",689,53567,29436,43670,1635,1843,2349,3154,2833,2450,1359,1967,2470,4328,5302,5119,3775,1653,1993,1440
"Orange County, New York: Summary level: 050, state:36> county:071",1077,65891,27862,124627,5209,5033,5611,5446,4164,6454,5236,4271,4411,10506,12659,18815,13429,9186,8460,5737
"Oswego County, New York: Summary level: 050, state:36> county:075",683,44643,21648,44780,4784,2526,2675,3040,2025,2673,2162,2687,2098,4125,4308,4904,3669,1329,1373,402
"Putnam County, New York: Summary level: 050, state:36> county:079",1169,81233,35526,34727,1406,815,1064,955,1658,1733,873,1249,661,2402,3130,4774,4139,3063,2875,3930
"Queens County, New York: Summary level: 050, state:36> county:081",1242,53054,24530,772332,56655,36674,40472,43158,37424,40980,36142,35217,34810,65317,81619,96655,64053,39778,38920,24458
"Rensselaer County, New York: Summary level: 050, state:36> county:083",796,51653,27443,65219,4032,4114,3570,4110,3417,3389,3152,2599,2959,5876,6072,9157,5110,3232,2875,1555
"Richmond County, New York: Summary level: 050, state:36> county:085",1141,70560,30122,163816,11750,6443,7190,7398,5957,6247,6493,4548,4755,9922,15057,21057,19664,12266,14951,10118
"Rockland County, New York: Summary level: 050, state:36> county:087",1262,84027,33228,98207,4093,3252,3946,3335,2942,3601,3499,2858,2186,6065,8208,12766,11502,7594,11017,11343
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",640,40163,22056,43123,3257,3705,2605,4503,2170,2504,2757,2025,1742,2588,4247,5598,2465,1088,984,885
"Saratoga County, New York: Summary level: 050, state:36> county:091",882,66212,33155,90445,3568,4124,3268,4032,4409,3097,3229,3641,3544,7451,11387,13613,10435,6040,4678,3929
"Schenectady County, New York: Summary level: 050, state:36> county:093",804,52331,26512,58773,3726,3000,3122,4552,1998,2893,3149,2280,2516,5969,6169,7169,5246,3032,2336,1616
"Steuben County, New York: Summary level: 050, state:36> county:101",612,45995,24435,41052,3133,2527,2434,2508,2252,2616,2581,1979,2167,3954,4486,4375,2418,1434,1426,762
"Suffolk County, New York: Summary level: 050, state:36> county:103",1362,81551,34582,496266,16720,12963,16889,16469,13940,15426,14360,19799,15913,30841,52759,74812,58477,44246,48792,43860
"Sullivan County, New York: Summary level: 050, state:36> county:105",813,43578,23547,31599,2936,2840,1546,2376,881,2300,1947,1279,981,3057,2978,3876,1880,860,1178,684
"Tompkins County, New York: Summary level: 050, state:36> county:109",890,52064,25041,37812,4312,1988,1813,1793,1410,2029,2108,1464,1316,3008,4066,4262,3498,2331,1654,760
"Ulster County, New York: Summary level: 050, state:36> county:111",979,51301,26701,68581,4667,3832,4039,3271,3481,3620,3595,3966,2676,6552,6548,7987,5672,3131,3342,2202
"Warren County, New York: Summary level: 050, state:36> county:113",781,52715,28360,28809,971,1341,1583,1260,2467,1696,1049,1649,1533,2503,2929,4416,2804,1350,739,519
"Wayne County, New York: Summary level: 050, state:36> county:117",636,50363,24337,36603,1822,1868,1850,2293,2122,2158,1754,2666,1562,3715,3720,5554,3335,677,1038,469
"Westchester County, New York: Summary level: 050, state:36> county:119",1237,77415,45554,344475,15067,12484,12719,13332,12698,11029,11812,11288,10019,23452,31736,41860,34332,21741,29495,51411
