,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",865,53965,29914,120485,8522,7970,6205,6868,6182,5980,5413,4749,3829,10007,12098,12663,12461,6302,7415,3821
"Bronx County, New York: Summary level: 050, state:36> county:005",974,32568,16671,471912,79341,43327,37359,31890,28328,23676,23857,22742,21438,34843,38817,39187,21697,10488,9307,5615
"Broome County, New York: Summary level: 050, state:36> county:007",647,44473,23066,80018,6814,5661,4080,5398,4407,4946,4440,4730,4461,6716,8404,9332,4303,2434,1894,1998
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",568,41578,21084,32183,2253,1970,2274,2707,2322,1866,1868,1882,1648,3096,3487,3706,1780,461,544,319
"Cayuga County, New York: Summary level: 050, state:36> county:011",651,49136,22629,30975,1781,1489,1783,2009,1668,1700,1849,2059,1549,3752,3023,3996,2010,1148,789,370
"Chautauqua County, New York: Summary level: 050, state:36> county:013",557,40443,20358,55362,5522,3992,3879,4029,4001,2653,3312,2695,2799,5402,5037,6373,3249,1318,810,291
"Chemung County, New York: Summary level: 050, state:36> county:015",624,47643,24437,35534,2007,1996,3029,2649,2711,1563,1168,1533,2087,3515,3396,4447,2042,1130,1317,944
"Clinton County, New York: Summary level: 050, state:36> county:019",668,43600,21666,31659,3461,2605,1818,2087,1464,1760,1151,1978,663,2260,3776,4040,2073,1279,936,308
"Dutchess County, New York: Summary level: 050, state:36> county:027",1031,69613,31796,106934,4975,4288,2937,5320,3719,4280,4628,3939,3694,8231,11635,17023,11546,7372,7004,6343
"Erie County, New York: Summary level: 050, state:36> county:029",681,46816,25387,376954,33458,22609,24197,23206,20791,18704,17148,21169,18034,33387,37325,45530,26253,13781,12683,8679
"Jefferson County, New York: Summary level: 050, state:36> county:045",831,43557,22514,45163,3681,2625,1994,2887,3097,2817,3387,2733,2386,4054,4920,4832,2957,874,1164,755
"Kings County, New York: Summary level: 050, state:36> county:047",1079,42143,23218,905317,112296,62769,53533,55200,49981,48303,44228,45482,36707,65988,73212,88934,60567,39690,37648,30779
