,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Ontario County, New York: Summary level: 050, state:36> county:069",786,58165,30405,43028,2086,1663,2408,1772,2636,2016,1899,1757,1564,4786,3795,6409,3565,2424,2288,1960
"Orange County, New York: Summary level: 050, state:36> county:071",1139,68950,30587,123977,6483,4291,5862,5519,4507,5180,4334,5210,4870,7453,13249,16155,12670,8907,11328,7959
"Oswego County, New York: Summary level: 050, state:36> county:075",718,46533,23101,45327,3530,2444,3092,2775,2520,3137,1669,3068,1493,2969,4436,6981,2834,1980,1520,879
"Putnam County, New York: Summary level: 050, state:36> county:079",1228,93746,40315,32251,1171,386,1407,712,1016,1175,771,452,504,2124,2680,4503,3898,3486,4131,3835
"Queens County, New York: Summary level: 050, state:36> county:081",1333,56599,26463,784243,57242,36334,39469,40392,36114,36228,34075,38711,31062,59984,76061,103872,73062,41560,45649,34428
"Rensselaer County, New York: Summary level: 050, state:36> county:083",824,57438,28844,63981,3926,4262,2201,2666,2843,2934,3480,2802,3088,5401,6925,8463,6075,3233,3795,1887
"Richmond County, New York: Summary level: 050, state:36> county:085",1161,69633,32375,167629,11574,6161,7234,7584,5885,6139,6678,5679,3752,12881,15833,20186,19269,10925,15154,12695
"Rockland County, New York: Summary level: 050, state:36> county:087",1355,80942,33429,98294,4625,5337,2921,5375,2478,3594,2971,2769,2352,4891,8302,12492,11709,6885,9932,11661
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",629,45157,21771,41299,4100,2419,3160,2122,1908,2278,2471,2142,1816,4617,4248,4495,2650,1427,814,632
"Saratoga County, New York: Summary level: 050, state:36> county:091",996,70673,35265,90397,3475,2728,4068,3599,3301,3745,3049,3588,3375,7140,9105,13659,11739,6542,5966,5318
"Schenectady County, New York: Summary level: 050, state:36> county:093",832,54293,26833,57526,3730,4081,3159,2202,2945,2346,2657,3036,2608,4478,5997,7159,5206,3071,3286,1565
"Steuben County, New York: Summary level: 050, state:36> county:101",665,47046,26121,41241,2935,2431,3174,1992,2918,2778,2102,1311,2043,3605,4322,5217,2765,1614,988,1046
"Suffolk County, New York: Summary level: 050, state:36> county:103",1512,85439,36639,496958,18129,15849,17747,14273,17087,16763,15048,15068,15250,31345,42874,67485,63434,39277,52195,55134
"Sullivan County, New York: Summary level: 050, state:36> county:105",823,47805,24141,27508,2237,2769,1312,1015,1346,1480,1659,862,1665,2910,3011,2652,1557,1439,899,695
"Tompkins County, New York: Summary level: 050, state:36> county:109",904,48516,26677,37524,3318,2088,2044,1833,2351,2329,1780,2030,1464,2567,3443,4466,2448,1588,1891,1884
"Ulster County, New York: Summary level: 050, state:36> county:111",1001,58429,29821,68650,3808,3513,2422,3624,4068,4320,2169,2660,2277,6124,8233,8231,5918,3830,4311,3142
"Warren County, New York: Summary level: 050, state:36> county:113",858,55593,31671,27228,972,1792,1153,1321,1485,1492,1440,1130,1307,2607,3484,3251,2031,1634,923,1206
"Wayne County, New York: Summary level: 050, state:36> county:117",667,50242,23882,35349,1672,1743,1518,2712,1745,2871,1396,1618,2285,3740,4222,4735,1979,1577,903,633
"Westchester County, New York: Summary level: 050, state:36> county:119",1345,84220,47305,341755,16392,13319,11295,13529,11000,11403,11245,11724,8027,19014,27797,39347,34613,24589,31710,56751
