,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",905,55778,32367,123251,7473,6632,6345,6390,5286,6762,5720,5545,4494,9964,11384,15930,10997,7235,7294,5800
"Bronx County, New York: Summary level: 050, state:36> county:005",1056,33009,17907,481143,80215,43684,35242,31081,27520,29314,24649,21015,16417,34600,38342,42810,26004,10793,11498,7959
"Broome County, New York: Summary level: 050, state:36> county:007",639,45560,24992,76714,6606,4945,5659,4884,3927,4409,4085,3425,3199,5872,7874,9309,4989,2582,2571,2378
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",601,40362,22369,32271,2119,2496,2136,2322,2379,2574,1984,1877,1546,1974,3401,3691,1775,922,609,466
"Cayuga County, New York: Summary level: 050, state:36> county:011",639,50154,25909,30784,2562,1412,2315,1584,1516,1625,1966,1422,936,2722,3129,3517,2948,1132,1044,954
"Chautauqua County, New York: Summary level: 050, state:36> county:013",586,40413,22058,54551,5305,3980,3819,3059,4234,3679,2945,2585,2775,4698,5543,6037,3098,1074,1260,460
"Chemung County, New York: Summary level: 050, state:36> county:015",677,45237,25674,35838,2798,2650,2365,2762,1381,1732,2460,1665,1964,2827,3199,4178,2305,1112,1495,945
"Clinton County, New York: Summary level: 050, state:36> county:019",717,43892,24575,31862,1953,1959,2643,1849,1992,2471,1799,1500,1306,3342,2593,3320,2211,914,1185,825
"Dutchess County, New York: Summary level: 050, state:36> county:027",1120,70056,33716,107752,4378,3213,4657,4829,5246,5227,3381,3738,3357,8281,10037,16122,11241,7501,9258,7286
"Erie County, New York: Summary level: 050, state:36> county:029",732,51245,28182,381927,32418,21897,21811,20370,18969,19740,18072,17870,15370,32647,40491,47079,28449,17986,16087,12671
"Jefferson County, New York: Summary level: 050, state:36> county:045",943,46683,22784,42466,3314,2848,1889,2085,1508,3201,2894,2732,1662,4437,4525,4238,3623,1629,1209,672
"Kings County, New York: Summary level: 050, state:36> county:047",1192,47520,26641,925489,108318,62956,52506,47528,44381,47322,40024,40609,31929,62750,87475,95643,68711,40641,45105,49591
"Livingston County, New York: Summary level: 050, state:36> county:051",688,52061,24486,23853,1526,1059,1393,1161,1486,1322,1174,1488,629,2022,2293,3517,2210,1175,898,500
"Madison County, New York: Summary level: 050, state:36> county:053",686,52300,25560,26518,1500,967,1797,1802,1109,1456,1625,959,1171,2354,3123,2835,2798,1372,991,659
"Monroe County, New York: Summary level: 050, state:36> county:055",816,51665,28824,298314,24601,15992,15265,16772,16536,14162,14818,13129,12399,26821,28877,36279,23119,13409,14345,11790
"Nassau County, New York: Summary level: 050, state:36> county:059",1494,96193,42183,438588,13824,10943,12470,15891,12452,11490,12265,11973,13835,22730,35179,53674,49535,38810,51129,72388
"New York County, New York: Summary level: 050, state:36> county:061",1490,72190,63336,726357,73812,35786,34355,29119,21516,26771,18182,24666,18786,38058,48343,68038,57230,43485,57555,130655
"Niagara County, New York: Summary level: 050, state:36> county:063",628,46775,25710,87970,6540,5188,5692,5293,6411,5164,4709,3498,3510,7466,9606,10224,6666,2959,3559,1485
"Oneida County, New York: Summary level: 050, state:36> county:065",691,43702,23226,89648,7896,5901,5820,6136,5473,5915,4046,4570,4253,7343,8930,10321,6354,2624,2371,1695
"Onondaga County, New York: Summary level: 050, state:36> county:067",749,52110,29022,184316,15833,9835,8036,9012,10614,9135,9644,8286,7479,14229,19671,22945,14627,8219,8774,7977
