,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Rensselaer County, New York: Summary level: 050, state:36> county:083",977,71648,34381,64614,3242,1891,2284,2004,3269,1772,1744,2844,2394,5869,7077,10241,7733,5191,4509,2550
"Chautauqua County, New York: Summary level: 050, state:36> county:013",646,45479,25964,53429,3557,4856,3301,4034,2650,3077,2507,2420,2277,4340,4942,6473,4355,2050,1459,1131
"Clinton County, New York: Summary level: 050, state:36> county:019",827,56704,27980,31392,1982,1403,1452,1170,1248,1106,2433,1323,947,3412,3078,4388,3068,1803,1512,1067
"New York County, New York: Summary level: 050, state:36> county:061",1746,85066,74911,752258,63965,37382,29128,30018,18709,20268,20913,19149,17500,34216,51545,72674,59548,46304,60381,170558
"Saratoga County, New York: Summary level: 050, state:36> county:091",1119,83765,43386,94156,2510,2653,2215,3334,2728,2915,3311,3185,3402,6734,9080,13279,12028,8893,9430,8459
"Tompkins County, New York: Summary level: 050, state:36> county:109",1153,57276,32370,40250,2899,2486,1226,1949,1663,2263,2012,1967,1270,2970,4064,4726,2959,3054,1900,2842
"Oneida County, New York: Summary level: 050, state:36> county:065",758,54593,27883,88871,6084,5011,4611,4659,4168,5210,4547,2936,4074,7077,9808,11082,7407,4144,4655,3398
"Oswego County, New York: Summary level: 050, state:36> county:075",764,54264,29304,46270,3616,2298,2489,1804,2163,2824,2206,2068,2128,3522,4193,5696,4227,3043,1622,2371
"Nassau County, New York: Summary level: 050, state:36> county:059",1806,116304,50397,447123,14171,9180,10337,11471,11062,10965,10645,9583,9722,16514,29614,48991,47243,41182,64960,101483
"Orange County, New York: Summary level: 050, state:36> county:071",1243,75825,34279,128259,5846,4489,6672,4695,3713,6792,3328,4724,5092,7969,10076,15946,11493,9733,13784,13907
"Rockland County, New York: Summary level: 050, state:36> county:087",1469,89812,37371,99502,3561,3989,4236,3520,3004,3194,3494,2202,2230,5867,7761,11777,9095,8345,10824,16403
"Ontario County, New York: Summary level: 050, state:36> county:069",891,62522,36344,44079,1945,1574,2201,1825,1673,1852,2151,2061,1624,3930,4759,6987,3013,2967,2389,3128
"Chemung County, New York: Summary level: 050, state:36> county:015",794,53005,30185,34325,2848,2044,1048,2145,2347,1560,873,1969,1435,2755,3979,4424,2866,2144,764,1124
"Jefferson County, New York: Summary level: 050, state:36> county:045",958,53146,26769,44657,3698,1447,1608,2227,3214,2509,1911,1908,2410,4211,5795,6007,3067,2218,1488,939
"Erie County, New York: Summary level: 050, state:36> county:029",836,56369,32795,390341,26160,19457,17904,20537,19068,19941,16750,16358,15558,33750,37288,49921,33703,20939,24351,18656
"Ulster County, New York: Summary level: 050, state:36> county:111",1163,63889,35400,69154,3619,3359,2896,2905,3207,2326,3286,2195,2479,6282,6290,9162,5871,4298,5639,5340
"Westchester County, New York: Summary level: 050, state:36> county:119",1483,94811,56893,352498,16360,12093,11166,11733,11260,10340,9465,9033,9359,18945,25639,37141,34217,25928,33110,76709
"Warren County, New York: Summary level: 050, state:36> county:113",876,56482,33270,28007,1238,829,1761,1681,1153,1289,1183,1850,977,2941,2486,3961,2250,1594,1389,1425
"Niagara County, New York: Summary level: 050, state:36> county:063",684,55306,32240,89765,6607,5733,4871,3770,4086,4237,4312,4031,3050,7258,8350,11593,8289,4440,5770,3368
"Putnam County, New York: Summary level: 050, state:36> county:079",1350,102525,46846,35425,593,955,573,988,877,581,678,752,1482,2005,3607,4334,4350,3483,4287,5880
"Livingston County, New York: Summary level: 050, state:36> county:051",807,61609,28134,23746,1110,1393,1331,1044,360,1351,988,1139,1185,1602,3112,3574,2632,1025,1342,558
"Suffolk County, New York: Summary level: 050, state:36> county:103",1732,100468,43905,496784,17619,14407,12524,13524,12155,12153,13149,11588,13651,25711,38777,61364,58013,46260,65867,80022
"Cayuga County, New York: Summary level: 050, state:36> county:011",767,52376,29116,30083,1551,1302,1724,1291,1344,1468,1838,2521,1304,2208,2764,3986,2883,1863,1014,1022
"Kings County, New York: Summary level: 050, state:36> county:047",1433,61220,34709,969317,88792,58010,45661,46831,37963,38839,34060,34905,30656,60074,75428,108389,82221,56507,74552,96429
"Onondaga County, New York: Summary level: 050, state:36> county:067",848,59883,33325,185046,12158,8970,9143,8853,8028,7661,7061,7030,8611,15148,16703,23370,19428,11160,11603,10119
"Albany County, New York: Summary level: 050, state:36> county:001",993,64435,36931,126578,7509,3549,5465,7434,4262,6126,5074,4957,5492,9338,11148,15610,13568,8888,9093,9065
"Madison County, New York: Summary level: 050, state:36> county:053",760,59678,28421,26127,1148,950,1362,1089,1254,1112,1319,1021,1329,2570,2909,3969,2248,1612,1260,975
"Queens County, New York: Summary level: 050, state:36> county:081",1588,69320,31866,788110,43159,31741,29202,35049,31437,33713,28492,32585,25557,55210,77272,102014,79818,57345,64162,61354
"Wayne County, New York: Summary level: 050, state:36> county:117",719,61515,33106,35927,1121,1891,1275,2115,1321,1355,2096,1702,1290,3175,4239,5448,3118,2716,1671,1394
"Bronx County, New York: Summary level: 050, state:36> county:005",1188,38467,21712,507370,76862,44578,32695,31427,24143,27887,21670,21189,20421,37516,41416,49680,29134,15391,17938,15423
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",685,49681,25682,41680,2717,2567,2989,2295,2042,1938,1884,2656,1869,3390,3719,4695,3549,2150,1979,1241
"Richmond County, New York: Summary level: 050, state:36> county:085",1291,82166,35966,167441,11541,6933,5087,5728,4133,5384,3272,5497,5261,10131,12472,20925,17819,14455,20648,18155
"Schenectady County, New York: Summary level: 050, state:36> county:093",972,64847,31851,55262,3107,3200,2445,2175,2461,2254,2225,2132,1756,3754,5795,7888,6041,3320,3725,2984
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",688,48179,25133,32079,1771,1902,2017,2108,2010,1965,1631,1773,1422,2958,2927,4390,2442,1202,811,750
