,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Oneida County, New York: Summary level: 050, state:36> county:065",733,48023,27216,90396,7179,5119,5568,4476,5939,4827,6311,3678,3058,8705,8516,10759,5881,4347,3170,2863
"Onondaga County, New York: Summary level: 050, state:36> county:067",834,57365,30691,182581,13529,8701,8589,8474,8421,8275,7952,7774,8436,14334,18960,24062,17213,9287,11330,7244
"Ontario County, New York: Summary level: 050, state:36> county:069",844,57711,33987,43692,1928,1580,2103,1956,1724,2873,2212,2438,2123,3484,4063,5658,4972,2351,2181,2046
"Orange County, New York: Summary level: 050, state:36> county:071",1176,73031,31609,125470,6384,4383,3995,4915,4938,5094,4799,4748,3794,8560,12314,17003,14284,10737,10181,9341
"Oswego County, New York: Summary level: 050, state:36> county:075",701,49767,23949,45115,3323,2272,2115,2532,2754,2198,2891,1775,2811,4061,5228,5957,3662,1591,996,949
"Putnam County, New York: Summary level: 050, state:36> county:079",1224,90538,39455,34181,1205,597,1068,630,1151,1462,1146,587,704,2303,2949,5116,3553,2721,4943,4046
"Queens County, New York: Summary level: 050, state:36> county:081",1434,60422,27778,774752,51225,31129,36609,36940,32495,38278,36484,30410,30913,59289,82282,98830,71703,45173,52561,40431
"Rensselaer County, New York: Summary level: 050, state:36> county:083",871,60810,32551,62585,3621,2573,2628,3282,3289,3127,1746,2723,2838,4874,7124,8050,5707,4052,4390,2561
"Richmond County, New York: Summary level: 050, state:36> county:085",1208,71622,31284,167462,15945,6287,7235,5349,4718,5474,5401,5439,5582,9466,16502,20593,18269,14392,14775,12035
"Rockland County, New York: Summary level: 050, state:36> county:087",1374,85392,34662,99875,3999,3566,4286,4225,3253,3255,2917,3664,2569,5354,7251,12296,11751,8138,9940,13411
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",722,42144,21718,42771,3987,2623,2708,3531,2362,2436,2592,2066,1810,3505,3756,5643,2516,1303,1418,515
"Saratoga County, New York: Summary level: 050, state:36> county:091",1044,75761,36182,90999,2451,1961,4015,2571,2083,2942,3220,4079,3215,7093,11399,14125,11423,6817,8388,5217
"Schenectady County, New York: Summary level: 050, state:36> county:093",859,61108,29998,52514,2633,2332,2229,2424,2612,1490,2608,2691,2262,4353,5187,8124,4229,3709,3177,2454
"Steuben County, New York: Summary level: 050, state:36> county:101",636,47146,27080,39517,2742,2599,2832,2092,2270,2509,1826,2098,1582,3480,3776,4693,3222,1483,1177,1136
"Suffolk County, New York: Summary level: 050, state:36> county:103",1567,88340,38599,481796,17786,11469,14204,17684,14300,14912,14047,14902,14103,28191,41760,65903,55883,39532,56384,60736
"Sullivan County, New York: Summary level: 050, state:36> county:105",876,51761,28292,28394,2055,1238,1977,1505,1632,1604,1458,1588,787,2042,3232,2810,2590,1492,1224,1160
"Tompkins County, New York: Summary level: 050, state:36> county:109",1080,58084,29738,38112,3295,2310,1742,1943,1592,1767,1097,1441,1143,3297,4393,4563,2668,1812,2633,2416
"Ulster County, New York: Summary level: 050, state:36> county:111",996,59758,30010,69594,4520,3852,2862,3385,2883,3465,2967,3454,2962,4525,8068,8585,7166,3601,4846,2453
"Warren County, New York: Summary level: 050, state:36> county:113",872,57541,30178,24222,1478,1297,976,1534,1326,1024,690,1016,1349,1542,3240,3243,2132,1427,1043,905
"Wayne County, New York: Summary level: 050, state:36> county:117",705,50561,26766,35841,1837,2151,1274,1680,2097,2965,1746,1826,2148,3407,3386,4174,2844,1886,1437,983
"Westchester County, New York: Summary level: 050, state:36> county:119",1393,86108,50046,338319,20010,10730,12193,12620,12449,11065,9347,9893,8806,18968,25386,34247,31816,24416,34409,61964
