,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",926,57042,33551,123862,8025,7122,5492,6247,5816,6478,4996,4359,4603,11001,12144,16354,9576,6333,7771,7545
"Bronx County, New York: Summary level: 050, state:36> county:005",1107,35176,18880,495513,81612,43148,39434,28694,30138,23813,22972,22837,19579,34721,42261,41273,25609,15615,14069,9738
"Broome County, New York: Summary level: 050, state:36> county:007",699,46152,25783,78398,6264,5194,5304,5050,3533,5033,4070,3838,3018,5622,8411,8878,5347,4187,2597,2052
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",617,40016,21270,31174,2454,1960,2522,2213,2241,2444,1748,1337,1117,3123,3457,2812,1884,1042,483,337
"Cayuga County, New York: Summary level: 050, state:36> county:011",694,53146,27232,31368,1248,1528,1562,2345,1506,1496,1140,2139,1644,2682,4110,4153,2475,1398,1390,552
"Chautauqua County, New York: Summary level: 050, state:36> county:013",595,44460,23578,51579,4330,3537,3486,3662,2555,2886,2723,2893,2587,3905,5713,6122,3587,1382,1384,827
"Chemung County, New York: Summary level: 050, state:36> county:015",750,53119,26372,34546,2631,1495,1760,1632,1831,2044,1297,1543,1675,3854,4237,4183,2927,1740,861,836
"Clinton County, New York: Summary level: 050, state:36> county:019",741,45377,22553,31249,2444,1587,2449,1485,1856,2108,1588,1967,1626,2167,3863,3184,2464,1272,887,302
"Dutchess County, New York: Summary level: 050, state:36> county:027",1158,71864,34269,106319,5924,4468,2884,4329,3748,4538,3260,4244,3243,7949,10278,14657,13446,6320,10081,6950
"Erie County, New York: Summary level: 050, state:36> county:029",746,52214,29594,383099,33203,22323,21325,20102,17754,19081,17501,13913,16964,27526,36058,52660,33208,21259,17432,12790
"Jefferson County, New York: Summary level: 050, state:36> county:045",909,51107,23872,43145,2745,1832,2128,2746,2111,3005,1970,2581,1926,4462,4510,6090,3301,2159,833,746
"Kings County, New York: Summary level: 050, state:36> county:047",1283,51141,28898,940176,101679,59907,54265,47215,45312,44718,39706,35019,31072,62053,83554,99181,74475,45655,55037,61328
"Livingston County, New York: Summary level: 050, state:36> county:051",756,53441,25288,24189,1358,1903,1106,1288,1403,550,1450,1441,559,1764,2728,3717,2729,1095,498,600
"Madison County, New York: Summary level: 050, state:36> county:053",738,60286,27551,26305,1785,767,1172,1056,1017,1339,569,874,1329,3178,2609,4336,2667,1382,1303,922
"Monroe County, New York: Summary level: 050, state:36> county:055",855,54077,30073,298151,23523,15556,14155,14431,13418,14669,15250,14022,13915,21770,29080,39271,25839,15508,15084,12660
"Nassau County, New York: Summary level: 050, state:36> county:059",1656,101830,44358,436567,13060,9548,11377,12568,10275,10225,12610,11550,11353,24680,33248,51269,49029,40940,58729,76106
"New York County, New York: Summary level: 050, state:36> county:061",1611,75575,67255,751244,66746,41660,31111,28564,22222,25022,22994,19495,17701,40079,57515,69411,64452,39388,59561,145323
"Niagara County, New York: Summary level: 050, state:36> county:063",667,48160,27529,84893,6523,5108,5345,5819,4040,4494,4696,4298,2850,5850,9118,10725,6376,3601,4291,1759
